Y_dimension(mm),Button,True_depth(m),meas
0.0,0.0,197.888778125,9.86802e-09
0.0,0.0,197.888528125,9.177986666666665e-09
0.0,0.0,197.888278125,9.388449999999999e-09
0.0,0.0,197.888028125,9.473484999999999e-09
0.0,0.0,197.887778125,8.706749999999998e-09
0.0,0.0,197.887528125,9.265885e-09
0.0,0.0,197.887278125,9.64267e-09
0.0,0.0,197.887028125,1.048735e-08
0.0,0.0,197.886778125,1.124395e-08
0.0,0.0,197.886528125,1.1755750000000001e-08
0.0,0.0,197.886278125,1.23769e-08
0.0,0.0,197.886028125,1.267215e-08
0.0,0.0,197.885778125,1.32834e-08
0.0,0.0,197.885528125,1.42923e-08
0.0,0.0,197.885278125,1.46355e-08
0.0,0.0,197.885028125,1.62139e-08
0.0,0.0,197.884778125,2.56003e-08
0.0,0.0,197.884528125,2.6753e-08
0.0,0.0,197.884278125,2.842615e-08
0.0,0.0,197.884028125,2.918135e-08
0.0,0.0,197.883778125,3.03118e-08
0.0,0.0,197.883528125,3.1595950000000004e-08
0.0,0.0,197.883278125,3.200515e-08
0.0,0.0,197.883028125,3.3003900000000003e-08
0.0,0.0,197.882778125,3.3695e-08
0.0,0.0,197.882528125,3.41042e-08
0.0,0.0,197.882278125,3.4469300000000005e-08
0.0,0.0,197.882028125,3.4717450000000004e-08
0.0,0.0,197.881778125,3.56311e-08
0.0,0.0,197.881528125,3.5156450000000005e-08
0.0,0.0,197.881278125,3.55706e-08
0.0,0.0,197.881028125,3.5682900000000004e-08
0.0,0.0,197.880778125,3.58529e-08
0.0,0.0,197.880528125,3.582385e-08
0.0,0.0,197.880278125,3.645495e-08
0.0,0.0,197.880028125,3.7101750000000003e-08
0.0,0.0,197.879778125,3.6811350000000004e-08
0.0,0.0,197.879528125,3.718985e-08
0.0,0.0,197.879278125,3.68044e-08
0.0,0.0,197.879028125,3.716675e-08
0.0,0.0,197.878778125,3.68037e-08
0.0,0.0,197.878528125,3.72846e-08
0.0,0.0,197.878278125,3.68525e-08
