Y_dimension(mm),Button,True_depth(m),meas
0.0,0.0,203.7662578125,-2.3003833333333326e-10
0.0,0.0,203.7660078125,-2.256208e-10
0.0,0.0,203.7657578125,-2.215015e-10
0.0,0.0,203.7655078125,-1.260939e-10
0.0,0.0,203.7652578125,-3.6496e-11
0.0,0.0,203.7650078125,-1.0343049999999999e-10
0.0,0.0,203.7647578125,-9.72506e-11
0.0,0.0,203.7645078125,7.0891435e-11
0.0,0.0,203.7642578125,1.5091e-10
0.0,0.0,203.7640078125,3.549993333333333e-10
0.0,0.0,203.7637578125,5.76244e-10
0.0,0.0,203.7635078125,7.130119999999999e-10
0.0,0.0,203.7632578125,8.671284999999999e-10
0.0,0.0,203.7630078125,1.1600899999999997e-09
0.0,0.0,203.7627578125,1.13435e-09
0.0,0.0,203.7625078125,1.2998299999999998e-09
0.0,0.0,203.7622578125,1.5512849999999998e-09
0.0,0.0,203.7620078125,1.6481299999999998e-09
0.0,0.0,203.7617578125,1.7203849999999997e-09
0.0,0.0,203.7615078125,1.99855e-09
0.0,0.0,203.7612578125,2.1425e-09
0.0,0.0,203.7610078125,2.8659849999999996e-09
0.0,0.0,203.7607578125,3.1196899999999996e-09
0.0,0.0,203.7605078125,3.2332249999999997e-09
0.0,0.0,203.7602578125,3.3516599999999996e-09
0.0,0.0,203.7600078125,3.3598499999999997e-09
0.0,0.0,203.7597578125,3.3180799999999998e-09
0.0,0.0,203.7595078125,3.26547e-09
0.0,0.0,203.7592578125,3.120355e-09
0.0,0.0,203.7590078125,4.656234999999999e-09
0.0,0.0,203.7587578125,4.981409999999999e-09
0.0,0.0,203.7585078125,5.020449999999999e-09
0.0,0.0,203.7582578125,5.187385e-09
0.0,0.0,203.7580078125,5.77724e-09
0.0,0.0,203.7577578125,6.483705000000001e-09
0.0,0.0,203.7575078125,6.8968600000000005e-09
0.0,0.0,203.7572578125,7.394459999999998e-09
0.0,0.0,203.7570078125,7.867384999999999e-09
0.0,0.0,203.7567578125,8.19458e-09
0.0,0.0,203.7565078125,8.900949999999999e-09
0.0,0.0,203.7562578125,9.181685e-09
0.0,0.0,203.7560078125,9.812895e-09
0.0,0.0,203.7557578125,1.04338e-08
0.0,0.0,203.7555078125,1.11676e-08
0.0,0.0,203.7552578125,1.157935e-08
0.0,0.0,203.7550078125,1.244755e-08
0.0,0.0,203.7547578125,1.31242e-08
0.0,0.0,203.7545078125,1.408365e-08
0.0,0.0,203.7542578125,1.464825e-08
0.0,0.0,203.7540078125,1.5354449999999998e-08
0.0,0.0,203.7537578125,1.63129e-08
