Y_dimension(mm),Button,True_depth(m),meas
0.626,0.0,203.72416875,2.208195e-05
0.626,0.0,203.72416875,-2.37285e-06
0.626,0.0,203.7241145638583,-1.420878e-06
0.626,0.0,203.72399848888267,-9.439391e-07
0.626,0.0,203.7238570685328,-4.1762540000000006e-07
0.626,0.0,203.72365866767956,-2.520537e-07
0.626,0.0,203.7234231771864,1.887383e-08
0.626,0.0,203.72315763409307,2.9859070000000003e-07
0.626,0.0,203.7228544240648,4.2618190000000003e-07
0.626,0.0,203.72250801577053,5.34259e-07
0.626,0.0,203.72210656382785,6.641203000000001e-07
0.626,0.0,203.72169839624368,6.885675e-07
0.626,0.0,203.7212713284161,8.068455e-07
0.626,0.0,203.7208630299293,6.876653e-07
0.626,0.0,203.72044892841484,8.535426000000001e-07
0.626,0.0,203.72002688927296,9.872456e-07
0.626,0.0,203.71961890643013,9.828364e-07
0.626,0.0,203.7192047516805,1.017062e-06
0.626,0.0,203.71877182598257,1.180335e-06
0.626,0.0,203.7183499508682,1.153981e-06
0.626,0.0,203.71796512302024,1.104563e-06
0.626,0.0,203.71752103299576,1.086504e-06
0.626,0.0,203.71710067110843,1.016131e-06
0.626,0.0,203.71669724022547,9.719515e-07
0.626,0.0,203.71627497194373,9.893120000000001e-07
0.626,0.0,203.71584339024824,9.927899e-07
0.626,0.0,203.71542627356652,1.033157e-06
0.626,0.0,203.71499942022433,1.020249e-06
0.626,0.0,203.71455503932484,1.064356e-06
0.626,0.0,203.7141575281387,1.01031e-06
0.626,0.0,203.71373373082457,1.111315e-06
0.626,0.0,203.71329821336144,1.059889e-06
0.626,0.0,203.71291107435496,1.100911e-06
0.626,0.0,203.71248234692575,1.181223e-06
0.626,0.0,203.71206325918564,1.210137e-06
0.626,0.0,203.7116538690869,1.20046e-06
0.626,0.0,203.71120953538377,1.198758e-06
0.626,0.0,203.71082241137285,1.127875e-06
0.626,0.0,203.710408917694,1.166467e-06
0.626,0.0,203.71000179209597,1.20941e-06
0.626,0.0,203.70957114162195,1.008113e-06
0.626,0.0,203.70917501754056,1.17367e-06
0.626,0.0,203.70874268936683,1.095163e-06
0.626,0.0,203.7083157036273,1.021021e-06
0.626,0.0,203.70793794938157,1.068824e-06
0.626,0.0,203.7074929576,1.018401e-06
0.626,0.0,203.7070556593844,1.06942e-06
0.626,0.0,203.7066255172033,1.041946e-06
0.626,0.0,203.7062229355872,1.040331e-06
0.626,0.0,203.7058136387926,1.122142e-06
0.626,0.0,203.70539685154944,1.146254e-06
0.626,0.0,203.70496020744676,1.263092e-06
0.626,0.0,203.70455316478316,1.246342e-06
0.626,0.0,203.70411021262296,1.171153e-06
0.626,0.0,203.70368167585707,1.155393e-06
0.626,0.0,203.70329427410823,1.166292e-06
0.626,0.0,203.7028850997662,1.112116e-06
0.626,0.0,203.702472243922,1.056207e-06
0.626,0.0,203.7020482121601,8.105271e-07
0.626,0.0,203.70161110221,1.097666e-06
0.626,0.0,203.70120385591267,1.096327e-06
0.626,0.0,203.700801205537,1.093125e-06
0.626,0.0,203.7004001567989,1.03924e-06
0.626,0.0,203.69997302114777,1.088934e-06
0.626,0.0,203.6995526919572,1.096472e-06
0.626,0.0,203.6991338976512,1.094304e-06
0.626,0.0,203.6987110218155,1.176188e-06
0.626,0.0,203.6982950697779,1.121181e-06
0.626,0.0,203.69788004447577,1.098902e-06
0.626,0.0,203.6974564974692,1.124441e-06
0.626,0.0,203.69703756612435,1.14119e-06
0.626,0.0,203.69661761980257,1.134496e-06
0.626,0.0,203.69619099287368,1.045453e-06
0.626,0.0,203.6957790691252,1.151042e-06
0.626,0.0,203.6953482398769,1.162785e-06
0.626,0.0,203.69494251606707,1.124339e-06
0.626,0.0,203.69450942932212,1.090943e-06
0.626,0.0,203.6940785966072,1.068111e-06
0.626,0.0,203.69364924316724,1.165885e-06
0.626,0.0,203.69325486048552,1.148554e-06
0.626,0.0,203.69283939508065,1.150795e-06
0.626,0.0,203.69244367178075,1.145818e-06
0.626,0.0,203.6919995709547,1.131877e-06
0.626,0.0,203.69158443489496,1.16929e-06
0.626,0.0,203.69117719162747,1.171968e-06
0.626,0.0,203.69076835752756,1.162785e-06
