Y_dimension(mm),Button,True_depth(m),meas
0.0,0.0,203.9984875,5.194659999999999e-10
0.0,0.0,203.9982375,5.450286666666667e-10
0.0,0.0,203.9979875,5.88269e-10
0.0,0.0,203.9977375,5.855905e-10
0.0,0.0,203.9974875,5.249314999999999e-10
0.0,0.0,203.9972375,5.080725e-10
0.0,0.0,203.9969875,5.38833e-10
0.0,0.0,203.9967375,3.56824e-10
0.0,0.0,203.9964875,5.759705e-10
0.0,0.0,203.9962375,6.545605e-10
0.0,0.0,203.9959875,6.243389999999999e-10
0.0,0.0,203.9957375,6.524195e-10
0.0,0.0,203.9954875,8.49716e-10
0.0,0.0,203.9952375,7.856124999999998e-10
0.0,0.0,203.9949875,8.497769999999999e-10
0.0,0.0,203.9947375,1.019471e-09
0.0,0.0,203.9944875,1.170595e-09
0.0,0.0,203.9942375,1.2743199999999998e-09
0.0,0.0,203.9939875,1.4297549999999997e-09
0.0,0.0,203.9937375,1.7363049999999998e-09
0.0,0.0,203.9934875,2.48579e-09
0.0,0.0,203.9932375,2.8207899999999997e-09
0.0,0.0,203.9929875,3.3564999999999997e-09
0.0,0.0,203.9927375,3.3997399999999997e-09
0.0,0.0,203.9924875,3.6181199999999995e-09
0.0,0.0,203.9922375,4.3134699999999996e-09
0.0,0.0,203.9919875,5.239784999999999e-09
0.0,0.0,203.9917375,5.475595e-09
0.0,0.0,203.9914875,5.819269999999999e-09
0.0,0.0,203.9912375,6.304405e-09
0.0,0.0,203.9909875,6.51365e-09
0.0,0.0,203.9907375,6.7728149999999994e-09
0.0,0.0,203.9904875,7.098629999999999e-09
0.0,0.0,203.9902375,7.435449999999998e-09
0.0,0.0,203.9899875,7.726399999999998e-09
0.0,0.0,203.9897375,7.897124999999998e-09
0.0,0.0,203.9894875,8.157314999999998e-09
0.0,0.0,203.9892375,8.750205000000001e-09
0.0,0.0,203.9889875,9.395355e-09
0.0,0.0,203.9887375,9.878635e-09
0.0,0.0,203.9884875,1.025945e-08
0.0,0.0,203.9882375,1.06592e-08
0.0,0.0,203.9879875,1.1242800000000001e-08
0.0,0.0,203.9877375,1.1592650000000001e-08
0.0,0.0,203.9874875,1.21621e-08
0.0,0.0,203.9872375,1.271225e-08
0.0,0.0,203.9869875,1.31693e-08
0.0,0.0,203.9867375,1.349755e-08
0.0,0.0,203.9864875,1.36729e-08
0.0,0.0,203.9862375,1.41386e-08
0.0,0.0,203.9859875,1.42532e-08
0.0,0.0,203.9857375,1.45948e-08
0.0,0.0,203.9854875,1.480165e-08
0.0,0.0,203.9852375,1.5160700000000003e-08
0.0,0.0,203.9849875,1.54942e-08
0.0,0.0,203.9847375,1.556505e-08
0.0,0.0,203.9844875,1.5804566666666667e-08
0.0,0.0,203.9842375,1.599355e-08
0.0,0.0,203.9839875,1.59756e-08
0.0,0.0,203.9837375,1.57609e-08
0.0,0.0,203.9834875,1.593545e-08
0.0,0.0,203.9832375,1.6025050000000002e-08
0.0,0.0,203.9829875,1.6143e-08
0.0,0.0,203.9827375,1.61581e-08
0.0,0.0,203.9824875,1.6199266666666665e-08
0.0,0.0,203.9822375,1.61824e-08
0.0,0.0,203.9819875,1.65682e-08
0.0,0.0,203.9817375,1.6692150000000003e-08
0.0,0.0,203.9814875,1.655815e-08
0.0,0.0,203.9812375,1.6513700000000002e-08
0.0,0.0,203.9809875,1.67477e-08
0.0,0.0,203.9807375,1.66326e-08
0.0,0.0,203.9804875,1.665805e-08
0.0,0.0,203.9802375,1.61567e-08
0.0,0.0,203.9799875,1.5916899999999997e-08
0.0,0.0,203.9797375,1.58982e-08
0.0,0.0,203.9794875,1.592125e-08
0.0,0.0,203.9792375,1.603915e-08
0.0,0.0,203.9789875,1.60596e-08
0.0,0.0,203.9787375,1.57953e-08
0.0,0.0,203.9784875,1.5730399999999998e-08
0.0,0.0,203.9782375,1.55914e-08
0.0,0.0,203.9779875,1.54187e-08
0.0,0.0,203.9777375,1.50774e-08
0.0,0.0,203.9774875,1.30432e-08
0.0,0.0,203.9772375,1.242275e-08
0.0,0.0,203.9769875,9.071485e-09
0.0,0.0,203.9767375,9.073614999999999e-09
0.0,0.0,203.9764875,8.842624999999998e-09
0.0,0.0,203.9762375,7.460070000000001e-09
0.0,0.0,203.9759875,6.40463e-09
0.0,0.0,203.9757375,6.394609999999999e-09
0.0,0.0,203.9754875,6.22539e-09
0.0,0.0,203.9752375,6.2740049999999996e-09
0.0,0.0,203.9749875,6.253514999999999e-09
0.0,0.0,203.9747375,6.211855e-09
0.0,0.0,203.9744875,6.271039999999999e-09
0.0,0.0,203.9742375,6.1916399999999995e-09
0.0,0.0,203.9739875,6.3644950000000006e-09
0.0,0.0,203.9737375,6.430144999999999e-09
0.0,0.0,203.9734875,6.366314999999999e-09
0.0,0.0,203.9732375,6.403945e-09
0.0,0.0,203.9729875,6.21424e-09
0.0,0.0,203.9727375,6.165855e-09
0.0,0.0,203.9724875,5.525750000000001e-09
0.0,0.0,203.9722375,5.346989999999999e-09
0.0,0.0,203.9719875,5.429764999999999e-09
0.0,0.0,203.9717375,5.450975e-09
0.0,0.0,203.9714875,5.390599999999999e-09
0.0,0.0,203.9712375,5.292504999999999e-09
0.0,0.0,203.9709875,5.409335e-09
0.0,0.0,203.9707375,5.42849e-09
0.0,0.0,203.9704875,5.52616e-09
0.0,0.0,203.9702375,5.471649999999999e-09
0.0,0.0,203.9699875,5.630259999999999e-09
0.0,0.0,203.9697375,5.7376149999999995e-09
0.0,0.0,203.9694875,5.740019999999999e-09
0.0,0.0,203.9692375,5.919069999999999e-09
0.0,0.0,203.9689875,5.8965399999999996e-09
0.0,0.0,203.9687375,6.065295e-09
0.0,0.0,203.9684875,6.230655e-09
0.0,0.0,203.9682375,6.1602699999999994e-09
0.0,0.0,203.9679875,6.020844999999999e-09
0.0,0.0,203.9677375,5.95511e-09
0.0,0.0,203.9674875,6.133019999999999e-09
0.0,0.0,203.9672375,6.830199999999999e-09
0.0,0.0,203.9669875,6.764445e-09
0.0,0.0,203.9667375,7.260934999999998e-09
0.0,0.0,203.9664875,7.664479999999998e-09
0.0,0.0,203.9662375,7.895875e-09
0.0,0.0,203.9659875,1.0881995e-08
0.0,0.0,203.9657375,1.225225e-08
0.0,0.0,203.9654875,1.24768e-08
0.0,0.0,203.9652375,1.25283e-08
0.0,0.0,203.9649875,1.2685800000000001e-08
0.0,0.0,203.9647375,1.280265e-08
0.0,0.0,203.9644875,1.29402e-08
0.0,0.0,203.9642375,1.316795e-08
0.0,0.0,203.9639875,1.31765e-08
0.0,0.0,203.9637375,1.336515e-08
0.0,0.0,203.9634875,1.334935e-08
0.0,0.0,203.9632375,1.34336e-08
0.0,0.0,203.9629875,1.348075e-08
0.0,0.0,203.9627375,1.3561450000000001e-08
0.0,0.0,203.9624875,1.35976e-08
0.0,0.0,203.9622375,1.365535e-08
0.0,0.0,203.9619875,1.378975e-08
0.0,0.0,203.9617375,1.38787e-08
0.0,0.0,203.9614875,1.3901600000000001e-08
0.0,0.0,203.9612375,1.39289e-08
0.0,0.0,203.9609875,1.40453e-08
0.0,0.0,203.9607375,1.404825e-08
0.0,0.0,203.9604875,1.412135e-08
0.0,0.0,203.9602375,1.43132e-08
0.0,0.0,203.9599875,1.42393e-08
0.0,0.0,203.9597375,1.431235e-08
0.0,0.0,203.9594875,1.43826e-08
0.0,0.0,203.9592375,1.43892e-08
0.0,0.0,203.9589875,1.44815e-08
0.0,0.0,203.9587375,1.46272e-08
0.0,0.0,203.9584875,1.46468e-08
0.0,0.0,203.9582375,1.47667e-08
0.0,0.0,203.9579875,1.4721e-08
0.0,0.0,203.9577375,1.469435e-08
0.0,0.0,203.9574875,1.473505e-08
0.0,0.0,203.9572375,1.4946199999999998e-08
0.0,0.0,203.9569875,1.500955e-08
0.0,0.0,203.9567375,1.5012500000000003e-08
0.0,0.0,203.9564875,1.50078e-08
0.0,0.0,203.9562375,1.50915e-08
0.0,0.0,203.9559875,1.5188950000000002e-08
0.0,0.0,203.9557375,1.520425e-08
0.0,0.0,203.9554875,1.5142200000000002e-08
0.0,0.0,203.9552375,1.51465e-08
0.0,0.0,203.9549875,1.511113333333333e-08
0.0,0.0,203.9547375,1.52093e-08
0.0,0.0,203.9544875,1.51039e-08
0.0,0.0,203.9542375,1.52183e-08
0.0,0.0,203.9539875,1.510445e-08
0.0,0.0,203.9537375,1.51182e-08
0.0,0.0,203.9534875,1.5132449999999997e-08
0.0,0.0,203.9532375,1.50506e-08
0.0,0.0,203.9529875,1.50423e-08
0.0,0.0,203.9527375,1.5067550000000002e-08
0.0,0.0,203.9524875,1.50771e-08
0.0,0.0,203.9522375,1.495975e-08
0.0,0.0,203.9519875,1.5019499999999998e-08
0.0,0.0,203.9517375,1.48716e-08
0.0,0.0,203.9514875,1.49497e-08
0.0,0.0,203.9512375,1.492885e-08
0.0,0.0,203.9509875,1.4979849999999998e-08
0.0,0.0,203.9507375,1.49224e-08
0.0,0.0,203.9504875,1.483145e-08
0.0,0.0,203.9502375,1.490525e-08
0.0,0.0,203.9499875,1.47836e-08
0.0,0.0,203.9497375,1.480305e-08
0.0,0.0,203.9494875,1.4745e-08
0.0,0.0,203.9492375,1.46597e-08
0.0,0.0,203.9489875,1.478095e-08
0.0,0.0,203.9487375,1.46617e-08
0.0,0.0,203.9484875,1.47024e-08
0.0,0.0,203.9482375,1.462855e-08
0.0,0.0,203.9479875,1.46146e-08
0.0,0.0,203.9477375,1.469255e-08
0.0,0.0,203.9474875,1.46107e-08
0.0,0.0,203.9472375,1.47267e-08
0.0,0.0,203.9469875,1.473605e-08
0.0,0.0,203.9467375,1.4713950000000001e-08
0.0,0.0,203.9464875,1.47489e-08
0.0,0.0,203.9462375,1.480435e-08
0.0,0.0,203.9459875,1.4786866666666669e-08
0.0,0.0,203.9457375,1.4763850000000001e-08
0.0,0.0,203.9454875,1.46625e-08
0.0,0.0,203.9452375,1.47291e-08
0.0,0.0,203.9449875,1.490315e-08
0.0,0.0,203.9447375,1.482325e-08
