Y_dimension(mm),Button,True_depth(m),meas
5.0,0.0,203.9685953125,2.143079e-05
5.0,0.0,203.96855795204047,-2.901375e-06
5.0,0.0,203.96846686578343,-1.898661e-06
5.0,0.0,203.96837570584773,-1.107081e-06
5.0,0.0,203.96822513997287,-5.228212e-07
5.0,0.0,203.96803124219971,-8.411006999999999e-09
5.0,0.0,203.96779540527527,3.6631540000000006e-07
5.0,0.0,203.9675214010992,4.561007e-07
5.0,0.0,203.96720870700415,5.235634000000001e-07
5.0,0.0,203.9668650764299,7.366762e-07
5.0,0.0,203.96648176466,4.0655140000000005e-07
5.0,0.0,203.96605481203937,1.724547e-07
5.0,0.0,203.96565366754913,6.574992e-07
5.0,0.0,203.96523851187067,6.422342e-07
5.0,0.0,203.96484931505617,4.5873460000000004e-07
5.0,0.0,203.9644191126845,1.308275e-06
5.0,0.0,203.963977876684,1.126275e-06
5.0,0.0,203.96357959399256,1.212204e-06
5.0,0.0,203.96315854426544,1.255597e-06
5.0,0.0,203.96271936863667,1.270382e-06
5.0,0.0,203.96233337888367,1.341672e-06
5.0,0.0,203.9619094008772,1.380351e-06
5.0,0.0,203.9614782993432,1.388136e-06
5.0,0.0,203.96104704552783,1.452412e-06
5.0,0.0,203.9606434055338,1.444656e-06
5.0,0.0,203.960227917877,1.420296e-06
5.0,0.0,203.95981684349235,1.351582e-06
5.0,0.0,203.9593835580812,1.280889e-06
5.0,0.0,203.95898017649037,1.260894e-06
5.0,0.0,203.95854538550523,1.283071e-06
5.0,0.0,203.95812146002885,1.2823e-06
5.0,0.0,203.9576900906245,1.395398e-06
5.0,0.0,203.95727671162769,1.442502e-06
5.0,0.0,203.9568505983569,1.376276e-06
5.0,0.0,203.95644318676656,1.517357e-06
5.0,0.0,203.9560124098208,1.623557e-06
5.0,0.0,203.95561675453897,1.603432e-06
5.0,0.0,203.9551967212496,1.608787e-06
5.0,0.0,203.95477573557864,1.649692e-06
5.0,0.0,203.95437755096373,1.690889e-06
5.0,0.0,203.95394995271977,1.558423e-06
5.0,0.0,203.95352584204468,1.569424e-06
5.0,0.0,203.95311525885623,1.50202e-06
5.0,0.0,203.952700117448,1.582463e-06
5.0,0.0,203.95229059630304,1.530731e-06
5.0,0.0,203.95188739093732,1.441062e-06
5.0,0.0,203.95145687035355,1.50867e-06
5.0,0.0,203.95103228173417,1.500099e-06
5.0,0.0,203.9506242527551,1.492197e-06
