Y_dimension(mm),Button,True_depth(m),meas
0.0,0.0,204.8803515625,2.9685233333333325e-09
0.0,0.0,204.8801015625,3.105825e-09
0.0,0.0,204.8798515625,2.8606950000000003e-09
0.0,0.0,204.8796015625,3.0587149999999996e-09
0.0,0.0,204.8793515625,3.1008e-09
0.0,0.0,204.8791015625,3.1333999999999995e-09
0.0,0.0,204.8788515625,3.83056e-09
0.0,0.0,204.8786015625,4.0802499999999994e-09
0.0,0.0,204.8783515625,4.5750749999999995e-09
0.0,0.0,204.8781015625,5.12698e-09
0.0,0.0,204.8778515625,5.163449999999999e-09
0.0,0.0,204.8776015625,5.3148150000000005e-09
0.0,0.0,204.8773515625,5.625056666666665e-09
0.0,0.0,204.8771015625,5.7397999999999996e-09
0.0,0.0,204.8768515625,5.973874999999999e-09
0.0,0.0,204.8766015625,6.2954099999999995e-09
0.0,0.0,204.8763515625,6.560005e-09
0.0,0.0,204.8761015625,6.918169999999999e-09
0.0,0.0,204.8758515625,7.682279999999999e-09
0.0,0.0,204.8756015625,7.718319999999998e-09
0.0,0.0,204.8753515625,7.975443333333332e-09
0.0,0.0,204.8751015625,9.08568e-09
0.0,0.0,204.8748515625,9.635064999999999e-09
0.0,0.0,204.8746015625,1.046765e-08
0.0,0.0,204.8743515625,1.097695e-08
0.0,0.0,204.8741015625,1.1673e-08
0.0,0.0,204.8738515625,1.21229e-08
0.0,0.0,204.8736015625,1.25038e-08
0.0,0.0,204.8733515625,1.30316e-08
0.0,0.0,204.8731015625,1.36155e-08
0.0,0.0,204.8728515625,1.39255e-08
0.0,0.0,204.8726015625,1.4376950000000001e-08
0.0,0.0,204.8723515625,1.48869e-08
0.0,0.0,204.8721015625,2.1787000000000002e-08
0.0,0.0,204.8718515625,2.25544e-08
0.0,0.0,204.8716015625,2.3932850000000002e-08
0.0,0.0,204.8713515625,2.483075e-08
0.0,0.0,204.8711015625,2.636425e-08
0.0,0.0,204.8708515625,2.787245e-08
0.0,0.0,204.8706015625,2.885275e-08
0.0,0.0,204.8703515625,2.9814100000000004e-08
0.0,0.0,204.8701015625,3.13379e-08
0.0,0.0,204.8698515625,3.186155e-08
0.0,0.0,204.8696015625,3.284565e-08
0.0,0.0,204.8693515625,3.39399e-08
0.0,0.0,204.8691015625,3.506985e-08
0.0,0.0,204.8688515625,3.570865e-08
0.0,0.0,204.8686015625,3.63969e-08
0.0,0.0,204.8683515625,3.6778e-08
0.0,0.0,204.8681015625,3.7539e-08
0.0,0.0,204.8678515625,3.7547e-08
0.0,0.0,204.8676015625,3.78857e-08
0.0,0.0,204.8673515625,3.83769e-08
0.0,0.0,204.8671015625,3.85647e-08
0.0,0.0,204.8668515625,3.87768e-08
0.0,0.0,204.8666015625,3.88094e-08
0.0,0.0,204.8663515625,3.8944e-08
0.0,0.0,204.8661015625,3.9200550000000004e-08
0.0,0.0,204.8658515625,3.92511e-08
0.0,0.0,204.8656015625,3.940335e-08
0.0,0.0,204.8653515625,3.953565e-08
0.0,0.0,204.8651015625,3.96777e-08
0.0,0.0,204.8648515625,3.937865e-08
0.0,0.0,204.8646015625,3.9505150000000004e-08
0.0,0.0,204.8643515625,3.93179e-08
0.0,0.0,204.8641015625,3.92464e-08
0.0,0.0,204.8638515625,3.93018e-08
0.0,0.0,204.8636015625,3.8933150000000003e-08
0.0,0.0,204.8633515625,3.91364e-08
0.0,0.0,204.8631015625,3.9218300000000004e-08
0.0,0.0,204.8628515625,3.888195e-08
0.0,0.0,204.8626015625,3.88784e-08
0.0,0.0,204.8623515625,3.864915e-08
0.0,0.0,204.8621015625,3.862380000000001e-08
0.0,0.0,204.8618515625,3.82217e-08
0.0,0.0,204.8616015625,3.846335e-08
0.0,0.0,204.8613515625,3.85779e-08
0.0,0.0,204.8611015625,3.837875e-08
0.0,0.0,204.8608515625,3.814875e-08
0.0,0.0,204.8606015625,3.7939800000000003e-08
0.0,0.0,204.8603515625,3.7910800000000004e-08
0.0,0.0,204.8601015625,3.80466e-08
0.0,0.0,204.8598515625,3.783856666666666e-08
0.0,0.0,204.8596015625,3.77268e-08
0.0,0.0,204.8593515625,3.767615e-08
0.0,0.0,204.8591015625,3.75979e-08
0.0,0.0,204.8588515625,3.752945e-08
0.0,0.0,204.8586015625,3.757875e-08
0.0,0.0,204.8583515625,3.74824e-08
0.0,0.0,204.8581015625,3.7441e-08
0.0,0.0,204.8578515625,3.7431600000000005e-08
0.0,0.0,204.8576015625,3.74211e-08
0.0,0.0,204.8573515625,3.7156700000000003e-08
0.0,0.0,204.8571015625,3.7120600000000004e-08
0.0,0.0,204.8568515625,3.693045000000001e-08
0.0,0.0,204.8566015625,3.692055e-08
0.0,0.0,204.8563515625,3.67111e-08
0.0,0.0,204.8561015625,3.685335000000001e-08
0.0,0.0,204.8558515625,3.672925e-08
0.0,0.0,204.8556015625,3.660405e-08
0.0,0.0,204.8553515625,3.661635e-08
0.0,0.0,204.8551015625,3.64028e-08
0.0,0.0,204.8548515625,3.657425e-08
0.0,0.0,204.8546015625,3.62939e-08
0.0,0.0,204.8543515625,3.63852e-08
0.0,0.0,204.8541015625,3.633305e-08
0.0,0.0,204.8538515625,3.622655e-08
0.0,0.0,204.8536015625,3.632865e-08
0.0,0.0,204.8533515625,3.6012350000000004e-08
0.0,0.0,204.8531015625,3.580305e-08
0.0,0.0,204.8528515625,3.562405e-08
0.0,0.0,204.8526015625,3.5507650000000004e-08
0.0,0.0,204.8523515625,3.53739e-08
0.0,0.0,204.8521015625,3.537575e-08
0.0,0.0,204.8518515625,3.522975e-08
0.0,0.0,204.8516015625,3.5144399999999995e-08
0.0,0.0,204.8513515625,3.49438e-08
0.0,0.0,204.8511015625,3.505505e-08
0.0,0.0,204.8508515625,3.484296666666667e-08
0.0,0.0,204.8506015625,3.47763e-08
0.0,0.0,204.8503515625,3.465015e-08
0.0,0.0,204.8501015625,3.457395e-08
0.0,0.0,204.8498515625,3.46311e-08
0.0,0.0,204.8496015625,3.456585e-08
0.0,0.0,204.8493515625,3.42887e-08
0.0,0.0,204.8491015625,3.421255e-08
0.0,0.0,204.8488515625,3.419115e-08
0.0,0.0,204.8486015625,3.4077900000000004e-08
0.0,0.0,204.8483515625,3.38162e-08
0.0,0.0,204.8481015625,3.363915e-08
0.0,0.0,204.8478515625,3.3614700000000004e-08
0.0,0.0,204.8476015625,3.3337e-08
0.0,0.0,204.8473515625,3.34369e-08
0.0,0.0,204.8471015625,3.3404200000000003e-08
0.0,0.0,204.8468515625,3.3268500000000004e-08
0.0,0.0,204.8466015625,3.335835e-08
0.0,0.0,204.8463515625,3.29141e-08
0.0,0.0,204.8461015625,3.2962e-08
0.0,0.0,204.8458515625,3.288835e-08
0.0,0.0,204.8456015625,3.27294e-08
0.0,0.0,204.8453515625,3.2574350000000003e-08
0.0,0.0,204.8451015625,3.25865e-08
0.0,0.0,204.8448515625,3.243025e-08
0.0,0.0,204.8446015625,3.24287e-08
0.0,0.0,204.8443515625,3.21553e-08
0.0,0.0,204.8441015625,3.2027600000000005e-08
0.0,0.0,204.8438515625,3.194775e-08
0.0,0.0,204.8436015625,3.191035e-08
0.0,0.0,204.8433515625,3.1849750000000004e-08
0.0,0.0,204.8431015625,3.1693350000000004e-08
0.0,0.0,204.8428515625,3.158705e-08
0.0,0.0,204.8426015625,3.1604e-08
0.0,0.0,204.8423515625,3.14972e-08
0.0,0.0,204.8421015625,3.12114e-08
0.0,0.0,204.8418515625,3.12451e-08
0.0,0.0,204.8416015625,3.112165e-08
0.0,0.0,204.8413515625,3.10776e-08
0.0,0.0,204.8411015625,3.0774050000000004e-08
0.0,0.0,204.8408515625,3.0764250000000004e-08
0.0,0.0,204.8406015625,3.05621e-08
0.0,0.0,204.8403515625,3.054835e-08
0.0,0.0,204.8401015625,3.04157e-08
0.0,0.0,204.8398515625,3.04706e-08
0.0,0.0,204.8396015625,3.03895e-08
0.0,0.0,204.8393515625,3.031395e-08
0.0,0.0,204.8391015625,3.02639e-08
0.0,0.0,204.8388515625,3.004635e-08
0.0,0.0,204.8386015625,3.03096e-08
0.0,0.0,204.8383515625,3.021835e-08
0.0,0.0,204.8381015625,3.003225e-08
0.0,0.0,204.8378515625,3.0076e-08
0.0,0.0,204.8376015625,2.99064e-08
0.0,0.0,204.8373515625,3.004835e-08
0.0,0.0,204.8371015625,2.99561e-08
0.0,0.0,204.8368515625,2.99662e-08
0.0,0.0,204.8366015625,2.99556e-08
0.0,0.0,204.8363515625,2.99603e-08
0.0,0.0,204.8361015625,2.99082e-08
0.0,0.0,204.8358515625,3.003065e-08
0.0,0.0,204.8356015625,3.01567e-08
0.0,0.0,204.8353515625,2.9935500000000004e-08
0.0,0.0,204.8351015625,2.9915550000000003e-08
0.0,0.0,204.8348515625,2.994775e-08
0.0,0.0,204.8346015625,3.0031049999999995e-08
0.0,0.0,204.8343515625,2.9932000000000006e-08
0.0,0.0,204.8341015625,2.98937e-08
0.0,0.0,204.8338515625,2.995385e-08
0.0,0.0,204.8336015625,3.01807e-08
0.0,0.0,204.8333515625,2.97741e-08
0.0,0.0,204.8331015625,2.9850450000000004e-08
0.0,0.0,204.8328515625,2.9834050000000004e-08
0.0,0.0,204.8326015625,2.9796950000000006e-08
0.0,0.0,204.8323515625,2.9905150000000004e-08
0.0,0.0,204.8321015625,2.9723e-08
0.0,0.0,204.8318515625,2.978895e-08
0.0,0.0,204.8316015625,2.96851e-08
0.0,0.0,204.8313515625,2.971625e-08
0.0,0.0,204.8311015625,2.98448e-08
0.0,0.0,204.8308515625,2.966825e-08
0.0,0.0,204.8306015625,2.96485e-08
0.0,0.0,204.8303515625,2.99111e-08
0.0,0.0,204.8301015625,2.95712e-08
0.0,0.0,204.8298515625,2.96345e-08
0.0,0.0,204.8296015625,2.94861e-08
0.0,0.0,204.8293515625,2.93282e-08
0.0,0.0,204.8291015625,2.96135e-08
0.0,0.0,204.8288515625,2.9446e-08
0.0,0.0,204.8286015625,2.96139e-08
0.0,0.0,204.8283515625,2.959353333333333e-08
0.0,0.0,204.8281015625,2.935785e-08
0.0,0.0,204.8278515625,2.94032e-08
0.0,0.0,204.8276015625,2.93067e-08
0.0,0.0,204.8273515625,2.92402e-08
0.0,0.0,204.8271015625,2.917985e-08
0.0,0.0,204.8268515625,2.93835e-08
0.0,0.0,204.8266015625,2.92919e-08
0.0,0.0,204.8263515625,2.936585e-08
0.0,0.0,204.8261015625,2.927295e-08
0.0,0.0,204.8258515625,2.92676e-08
0.0,0.0,204.8256015625,2.904845e-08
0.0,0.0,204.8253515625,2.924545e-08
0.0,0.0,204.8251015625,2.9179e-08
0.0,0.0,204.8248515625,2.9118e-08
0.0,0.0,204.8246015625,2.91639e-08
