Y_dimension(mm),Button,True_depth(m),meas
0.0,0.0,204.8448815625,2.282432e-05
0.0,0.0,204.8448815625,-1.629363e-06
0.0,0.0,204.8448815625,-6.437767000000001e-07
0.0,0.0,204.8448336603264,-1.0119400000000001e-07
0.0,0.0,204.84468222581205,9.815267000000001e-08
0.0,0.0,204.84449060667671,3.7046270000000005e-07
0.0,0.0,204.84425292791423,6.593327e-07
0.0,0.0,204.84397862162487,7.923953999999999e-07
0.0,0.0,204.84368265089768,9.65767e-07
0.0,0.0,204.84332938136805,1.068882e-06
0.0,0.0,204.842942878426,1.194509e-06
0.0,0.0,204.84253100380556,1.300228e-06
0.0,0.0,204.84213214795204,1.381777e-06
0.0,0.0,204.84168912985135,1.4369e-06
0.0,0.0,204.8412740224902,1.438777e-06
0.0,0.0,204.84088525088,1.429245e-06
0.0,0.0,204.84045506526,1.485256e-06
0.0,0.0,204.84002408819995,1.539011e-06
0.0,0.0,204.8396386863208,1.500157e-06
0.0,0.0,204.8391969600256,1.492983e-06
0.0,0.0,204.83878139577865,1.421271e-06
0.0,0.0,204.83836599551492,1.391469e-06
0.0,0.0,204.8379382823425,1.374487e-06
0.0,0.0,204.8374953268084,1.365537e-06
0.0,0.0,204.8370994591947,1.406865e-06
0.0,0.0,204.83667694669225,1.438049e-06
0.0,0.0,204.83624842794327,1.453562e-06
0.0,0.0,204.8358276562041,1.442371e-06
0.0,0.0,204.8354336275912,1.470631e-06
0.0,0.0,204.83500239694172,1.462598e-06
0.0,0.0,204.83456043242015,1.509441e-06
0.0,0.0,204.83417505328129,1.527034e-06
0.0,0.0,204.83374150866976,1.534325e-06
0.0,0.0,204.83335649957667,1.576627e-06
0.0,0.0,204.83293250130455,1.587396e-06
0.0,0.0,204.83249711782963,1.532651e-06
0.0,0.0,204.83207173741596,1.459208e-06
0.0,0.0,204.8316640099777,1.51062e-06
0.0,0.0,204.831248868934,1.495835e-06
0.0,0.0,204.83084207474704,1.510576e-06
0.0,0.0,204.83043939610937,1.520399e-06
0.0,0.0,204.83000349701663,1.556371e-06
0.0,0.0,204.8295728465426,1.583045e-06
0.0,0.0,204.8291682550444,1.566994e-06
0.0,0.0,204.828757004102,1.532782e-06
0.0,0.0,204.82834153541484,1.491251e-06
0.0,0.0,204.82791773969825,1.500157e-06
0.0,0.0,204.82750956606247,1.591747e-06
0.0,0.0,204.82707852900407,1.514491e-06
0.0,0.0,204.82665091017867,1.517779e-06
0.0,0.0,204.82622539054483,1.381748e-06
0.0,0.0,204.82579252064784,1.528679e-06
0.0,0.0,204.82537789167472,1.557462e-06
0.0,0.0,204.82497868975503,1.564709e-06
0.0,0.0,204.8245388705093,1.5033e-06
0.0,0.0,204.82410809356347,1.500433e-06
0.0,0.0,204.8237069643156,1.606008e-06
0.0,0.0,204.8233000940515,1.613342e-06
0.0,0.0,204.8228841926712,1.50071e-06
0.0,0.0,204.82248540670392,1.540888e-06
0.0,0.0,204.82204507459628,1.55007e-06
0.0,0.0,204.8216158919547,1.551074e-06
0.0,0.0,204.82123896606325,1.597131e-06
0.0,0.0,204.82080771299297,1.523615e-06
0.0,0.0,204.82039051045948,1.558161e-06
0.0,0.0,204.81999254389365,1.529756e-06
0.0,0.0,204.81955127694212,1.574706e-06
0.0,0.0,204.8191201657084,1.626846e-06
0.0,0.0,204.8187024745632,1.617213e-06
0.0,0.0,204.81829654681889,1.630862e-06
0.0,0.0,204.81789619152056,1.591354e-06
0.0,0.0,204.81744910675152,1.628156e-06
0.0,0.0,204.8170255183184,1.651279e-06
0.0,0.0,204.81658605222316,1.628214e-06
0.0,0.0,204.8161833072286,1.647044e-06
0.0,0.0,204.8157677348813,1.605295e-06
0.0,0.0,204.81535517754727,1.603636e-06
0.0,0.0,204.8149409207159,1.546403e-06
0.0,0.0,204.8145202136191,1.554377e-06
0.0,0.0,204.81412142462264,1.547189e-06
0.0,0.0,204.8136774167777,1.50135e-06
0.0,0.0,204.81327379136408,1.447974e-06
0.0,0.0,204.81287398897524,1.452398e-06
0.0,0.0,204.81244453133957,1.46887e-06
0.0,0.0,204.81202345863076,1.523862e-06
0.0,0.0,204.81160552696593,1.599154e-06
0.0,0.0,204.81118433253647,1.602166e-06
0.0,0.0,204.810796473472,1.55512e-06
0.0,0.0,204.8103560699732,1.56452e-06
