Y_dimension(mm),Button,True_depth(m),meas
0.0,0.0,205.60299375,2.1989466666666656e-09
0.0,0.0,205.60274375,2.3600649999999997e-09
0.0,0.0,205.60249375,2.381795e-09
0.0,0.0,205.60224375,2.1532899999999997e-09
0.0,0.0,205.60199375,2.3550049999999998e-09
0.0,0.0,205.60174375,2.491775e-09
0.0,0.0,205.60149375,2.8887999999999998e-09
0.0,0.0,205.60124375,2.99092e-09
0.0,0.0,205.60099375,3.17405e-09
0.0,0.0,205.60074375,3.3174099999999996e-09
0.0,0.0,205.60049375,3.77685e-09
0.0,0.0,205.60024375,4.496339999999999e-09
0.0,0.0,205.59999375,5.1563199999999994e-09
0.0,0.0,205.59974375,5.261184999999999e-09
0.0,0.0,205.59949375,5.3666449999999995e-09
0.0,0.0,205.59924375,5.22726e-09
0.0,0.0,205.59899375,4.916399999999999e-09
0.0,0.0,205.59874375,4.4522e-09
0.0,0.0,205.59849375,4.1435399999999995e-09
0.0,0.0,205.59824375,3.8766749999999995e-09
0.0,0.0,205.59799375,4.19422e-09
0.0,0.0,205.59774375,4.5693999999999995e-09
0.0,0.0,205.59749375,4.792965e-09
0.0,0.0,205.59724375,5.174875e-09
0.0,0.0,205.59699375,7.696929999999999e-09
0.0,0.0,205.59674375,8.287184999999998e-09
0.0,0.0,205.59649375,8.732659999999999e-09
0.0,0.0,205.59624375,9.011849999999998e-09
0.0,0.0,205.59599375,9.54263e-09
0.0,0.0,205.59574375,9.687854999999999e-09
0.0,0.0,205.59549375,1.02251e-08
0.0,0.0,205.59524375,1.05549e-08
0.0,0.0,205.59499375,1.08129e-08
0.0,0.0,205.59474375,1.12369e-08
0.0,0.0,205.59449375,1.121695e-08
0.0,0.0,205.59424375,1.15467e-08
0.0,0.0,205.59399375,1.171175e-08
0.0,0.0,205.59374375,1.203275e-08
0.0,0.0,205.59349375,1.24591e-08
0.0,0.0,205.59324375,1.3067100000000001e-08
0.0,0.0,205.59299375,1.38968e-08
