Y_dimension(mm),Button,True_depth(m),meas
0.0,0.0,205.577975,2.215694e-05
0.0,0.0,205.577975,-2.222805e-06
0.0,0.0,205.577975,-1.249966e-06
0.0,0.0,205.5779438103408,-7.206108e-07
0.0,0.0,205.5777867410102,-5.035399e-07
0.0,0.0,205.57758978693184,-2.9844520000000003e-07
0.0,0.0,205.5773540879993,4.065805e-08
0.0,0.0,205.5770885868804,3.785681e-07
0.0,0.0,205.5767939253203,4.369795e-07
0.0,0.0,205.57643130657567,5.494221e-07
0.0,0.0,205.57604879106464,4.6592320000000005e-07
0.0,0.0,205.57564192633023,8.123316000000001e-07
0.0,0.0,205.5752264336325,7.940544e-07
0.0,0.0,205.5748181880436,7.374329e-07
0.0,0.0,205.57438765165065,8.033820999999999e-07
0.0,0.0,205.57398011792168,9.383511000000001e-07
0.0,0.0,205.5735655375429,9.03121e-07
0.0,0.0,205.57313263063784,9.006326000000001e-07
0.0,0.0,205.57275306325965,1.048465e-06
0.0,0.0,205.5723099123816,1.08307e-06
0.0,0.0,205.57187165884065,1.089094e-06
0.0,0.0,205.5714638179972,1.028136e-06
0.0,0.0,205.5710459375244,1.114924e-06
0.0,0.0,205.5706307976232,1.01568e-06
0.0,0.0,205.57019448539944,9.740179e-07
0.0,0.0,205.56980904824897,1.092005e-06
0.0,0.0,205.56936852920663,1.111766e-06
0.0,0.0,205.5689221286334,1.075503e-06
0.0,0.0,205.56852810772105,1.111213e-06
0.0,0.0,205.56811095220044,1.163091e-06
0.0,0.0,205.5676985327944,1.168548e-06
0.0,0.0,205.56729316178547,1.153399e-06
0.0,0.0,205.56685110208247,1.166569e-06
0.0,0.0,205.5664350694092,8.948409000000001e-07
0.0,0.0,205.56603438395888,1.185312e-06
0.0,0.0,205.5655911011388,1.212771e-06
0.0,0.0,205.56520552440455,1.157387e-06
0.0,0.0,205.56478160981976,1.130815e-06
0.0,0.0,205.5643566573128,1.235298e-06
0.0,0.0,205.56393783892227,1.207649e-06
0.0,0.0,205.56351433053416,1.058215e-06
0.0,0.0,205.56312667925397,1.248598e-06
0.0,0.0,205.56271156141904,1.26932e-06
0.0,0.0,205.56226383415327,1.218548e-06
0.0,0.0,205.56186473930464,1.359454e-06
0.0,0.0,205.56144087969767,1.292283e-06
0.0,0.0,205.5610360930126,1.317254e-06
0.0,0.0,205.5606063021889,1.323191e-06
0.0,0.0,205.56019093491088,1.329332e-06
0.0,0.0,205.55976650551207,1.360182e-06
0.0,0.0,205.5593586737648,1.267428e-06
0.0,0.0,205.55892342152328,1.460285e-06
0.0,0.0,205.55849970366583,1.24755e-06
0.0,0.0,205.55805940771376,1.377761e-06
0.0,0.0,205.5576521503837,1.398963e-06
0.0,0.0,205.55725098467883,1.389053e-06
0.0,0.0,205.5568204024256,1.458422e-06
0.0,0.0,205.55641221999045,1.407228e-06
0.0,0.0,205.55598289107508,1.326407e-06
0.0,0.0,205.55557350630636,1.363442e-06
0.0,0.0,205.55517954494235,1.323133e-06
0.0,0.0,205.5547351970024,1.383436e-06
0.0,0.0,205.55433612622775,1.323759e-06
0.0,0.0,205.5539124807624,1.308435e-06
0.0,0.0,205.5535100394698,1.352149e-06
0.0,0.0,205.55307497356327,1.28719e-06
0.0,0.0,205.55267148640007,1.416687e-06
0.0,0.0,205.55226739237176,1.356384e-06
0.0,0.0,205.55183270518256,1.328881e-06
0.0,0.0,205.5514019591377,1.443681e-06
0.0,0.0,205.55097170254737,1.340653e-06
0.0,0.0,205.55058325121743,1.410241e-06
0.0,0.0,205.5501488312347,1.444321e-06
0.0,0.0,205.54972523430212,1.424691e-06
0.0,0.0,205.54929427005183,1.416003e-06
0.0,0.0,205.54888639054997,1.427979e-06
0.0,0.0,205.5484555786201,1.411216e-06
0.0,0.0,205.54803549774556,1.455599e-06
0.0,0.0,205.54764780704727,1.420718e-06
0.0,0.0,205.54723096228332,1.372406e-06
0.0,0.0,205.5468148080124,1.420442e-06
0.0,0.0,205.54638382860296,1.47699e-06
0.0,0.0,205.54594182046583,1.442429e-06
0.0,0.0,205.54556114128627,1.394568e-06
0.0,0.0,205.54512750016764,1.257606e-06
0.0,0.0,205.5447363400928,1.397799e-06
0.0,0.0,205.5443064908821,1.425055e-06
0.0,0.0,205.54388412579567,1.302949e-06
0.0,0.0,205.54346809507368,1.24803e-06
0.0,0.0,205.54305098524048,1.3018e-06
