Y_dimension(mm),Button,True_depth(m),meas
0.0,0.0,206.5112109375,4.41776e-11
0.0,0.0,206.5109609375,1.7614149999999996e-10
0.0,0.0,206.5107109375,7.9100585e-11
0.0,0.0,206.5104609375,7.08336e-11
0.0,0.0,206.5102109375,8.21643e-11
0.0,0.0,206.5099609375,3.342055e-10
0.0,0.0,206.5097109375,7.98317e-10
0.0,0.0,206.5094609375,1.0354265e-09
0.0,0.0,206.5092109375,1.3901599999999999e-09
0.0,0.0,206.5089609375,1.99886e-09
0.0,0.0,206.5087109375,2.2243650000000003e-09
0.0,0.0,206.5084609375,2.45862e-09
0.0,0.0,206.5082109375,2.7372549999999998e-09
0.0,0.0,206.5079609375,3.12476e-09
0.0,0.0,206.5077109375,3.6708899999999995e-09
0.0,0.0,206.5074609375,4.137235e-09
0.0,0.0,206.5072109375,4.97762e-09
0.0,0.0,206.5069609375,5.773259999999999e-09
0.0,0.0,206.5067109375,5.918769999999999e-09
0.0,0.0,206.5064609375,6.074709999999999e-09
0.0,0.0,206.5062109375,6.172859999999999e-09
0.0,0.0,206.5059609375,5.99407e-09
0.0,0.0,206.5057109375,5.654314999999999e-09
0.0,0.0,206.5054609375,5.276309999999999e-09
0.0,0.0,206.5052109375,4.919775e-09
0.0,0.0,206.5049609375,4.414869999999999e-09
0.0,0.0,206.5047109375,4.417674999999999e-09
0.0,0.0,206.5044609375,4.72236e-09
0.0,0.0,206.5042109375,5.2883e-09
0.0,0.0,206.5039609375,6.3572699999999995e-09
0.0,0.0,206.5037109375,6.786449999999999e-09
0.0,0.0,206.5034609375,7.091396666666664e-09
0.0,0.0,206.5032109375,7.341479999999999e-09
0.0,0.0,206.5029609375,7.713820000000001e-09
0.0,0.0,206.5027109375,7.974774999999998e-09
0.0,0.0,206.5024609375,8.259044999999998e-09
0.0,0.0,206.5022109375,8.464819999999999e-09
0.0,0.0,206.5019609375,8.702549999999999e-09
0.0,0.0,206.5017109375,8.723734999999999e-09
0.0,0.0,206.5014609375,8.769506666666664e-09
0.0,0.0,206.5012109375,9.037799999999999e-09
0.0,0.0,206.5009609375,9.127474999999999e-09
0.0,0.0,206.5007109375,9.423795e-09
0.0,0.0,206.5004609375,9.914839999999998e-09
0.0,0.0,206.5002109375,1.0110000000000001e-08
0.0,0.0,206.4999609375,1.0489e-08
0.0,0.0,206.4997109375,1.0900750000000001e-08
0.0,0.0,206.4994609375,1.12449e-08
0.0,0.0,206.4992109375,1.15899e-08
0.0,0.0,206.4989609375,1.191315e-08
