Y_dimension(mm),Button,True_depth(m),meas
10.0,0.0,206.4768046875,2.163929e-05
10.0,0.0,206.4768046875,-2.727713e-06
10.0,0.0,206.47676871969173,-1.755674e-06
10.0,0.0,206.4766441064037,-1.087828e-06
10.0,0.0,206.47650040625513,-6.731279000000002e-07
10.0,0.0,206.47630806015417,-3.3737160000000004e-07
10.0,0.0,206.4760737552768,-9.100768000000001e-08
10.0,0.0,206.47581146887583,1.294247e-07
10.0,0.0,206.4755024012274,1.249282e-07
10.0,0.0,206.4751489979924,4.2581810000000003e-07
10.0,0.0,206.47474950456683,5.125621e-07
10.0,0.0,206.47432186850295,5.568727000000001e-07
10.0,0.0,206.4739224313476,6.192568e-07
10.0,0.0,206.4735052070864,6.822229000000001e-07
10.0,0.0,206.47310194815896,6.742630000000001e-07
10.0,0.0,206.47268726180536,7.063063000000001e-07
10.0,0.0,206.47225225354424,7.243798000000001e-07
10.0,0.0,206.4718494314992,8.207571e-07
10.0,0.0,206.4714163640446,7.708441000000001e-07
10.0,0.0,206.4710299367198,8.304486999999999e-07
10.0,0.0,206.47060531207973,9.545038000000002e-07
10.0,0.0,206.4701727104592,9.622163000000001e-07
10.0,0.0,206.46976473896493,9.378273000000001e-07
10.0,0.0,206.4693409516767,9.354262e-07
10.0,0.0,206.46892579845547,9.602227000000001e-07
10.0,0.0,206.46849033473833,9.752257e-07
10.0,0.0,206.46806661924035,9.664946e-07
10.0,0.0,206.46767437229863,9.512296000000001e-07
10.0,0.0,206.4672350490293,9.545183e-07
10.0,0.0,206.46680824319088,8.414063000000001e-07
10.0,0.0,206.4663970036624,9.646901000000001e-07
10.0,0.0,206.46599237912488,1.00091e-06
10.0,0.0,206.46555032223077,1.036868e-06
10.0,0.0,206.4651586511355,1.024455e-06
10.0,0.0,206.46471931819633,1.062726e-06
10.0,0.0,206.4643269053923,9.354990000000001e-07
10.0,0.0,206.4639031300936,9.354844e-07
10.0,0.0,206.46349470326277,1.033739e-06
10.0,0.0,206.4630821125088,9.769865e-07
10.0,0.0,206.4626504854004,9.475043000000001e-07
10.0,0.0,206.46222023043285,9.908399e-07
10.0,0.0,206.46181326628525,1.00967e-06
10.0,0.0,206.46139877755456,1.07805e-06
10.0,0.0,206.46098548057063,1.053384e-06
10.0,0.0,206.4605907647141,9.172072e-07
10.0,0.0,206.46014388031676,1.130931e-06
10.0,0.0,206.45973399256005,1.12917e-06
10.0,0.0,206.4593227440595,1.114822e-06
10.0,0.0,206.45889409224193,1.212349e-06
10.0,0.0,206.45848143422845,1.252105e-06
10.0,0.0,206.45807548520892,1.28962e-06
10.0,0.0,206.45764301572007,1.34595e-06
10.0,0.0,206.45720784647213,1.286084e-06
10.0,0.0,206.456768806512,1.226232e-06
10.0,0.0,206.4563656363995,9.189098000000001e-07
10.0,0.0,206.45596029043128,1.189546e-06
10.0,0.0,206.45554472483923,1.146604e-06
10.0,0.0,206.45509687009928,1.095454e-06
10.0,0.0,206.45470761639456,1.066423e-06
10.0,0.0,206.45427384214116,1.167937e-06
10.0,0.0,206.45386879865995,1.221168e-06
10.0,0.0,206.4534513444508,1.222113e-06
10.0,0.0,206.45302956633893,1.207183e-06
10.0,0.0,206.45262785626488,1.239663e-06
10.0,0.0,206.4521903470044,1.286884e-06
10.0,0.0,206.4518051324594,1.34045e-06
10.0,0.0,206.45136196085647,1.360968e-06
10.0,0.0,206.4509573887304,1.406122e-06
10.0,0.0,206.45055842501284,1.376466e-06
10.0,0.0,206.45012772686536,1.379522e-06
10.0,0.0,206.44970577108992,1.451845e-06
10.0,0.0,206.44928744558663,1.371343e-06
10.0,0.0,206.44884254337785,1.476204e-06
