Y_dimension(mm),Button,True_depth(m),meas
0.0,0.0,209.1408359375,2.085594e-05
0.0,0.0,209.1408359375,-3.526307e-06
0.0,0.0,209.1408359375,-2.548972e-06
0.0,0.0,209.1408359375,-1.956723e-06
0.0,0.0,209.14068884409147,-1.486027e-06
0.0,0.0,209.14049939679288,-1.13243e-06
0.0,0.0,209.14025507314065,-8.582137999999999e-07
0.0,0.0,209.13998371868047,-6.476621e-07
0.0,0.0,209.139686381948,-4.9152e-07
0.0,0.0,209.13935574847133,-3.5575070000000004e-07
0.0,0.0,209.13897646802303,-2.5420740000000004e-07
0.0,0.0,209.13853842275387,-1.8542050000000002e-07
0.0,0.0,209.13811455686115,-1.295411e-07
0.0,0.0,209.1377154333324,-8.176721e-08
0.0,0.0,209.13729244538123,-5.413312e-08
0.0,0.0,209.13688873549873,-2.759043e-08
0.0,0.0,209.13645727184488,-1.359149e-08
0.0,0.0,209.13604432786872,8.149072999999999e-09
0.0,0.0,209.1356102561396,-6.475601999999999e-09
0.0,0.0,209.13521129786557,1.999433e-08
0.0,0.0,209.13478048171663,3.540481e-08
0.0,0.0,209.13435275165807,3.006426e-08
0.0,0.0,209.1339192266084,3.710738e-08
0.0,0.0,209.13351997623107,4.972389e-08
0.0,0.0,209.1331060821853,5.5457350000000004e-08
0.0,0.0,209.13267362796276,5.8425940000000004e-08
0.0,0.0,209.13226883222853,5.666516e-08
0.0,0.0,209.13184930989516,6.031769e-08
0.0,0.0,209.13140672192625,5.679613e-08
0.0,0.0,209.13100921057423,5.587935e-08
0.0,0.0,209.13060270700376,5.630136e-08
0.0,0.0,209.13017059625804,6.202026e-08
0.0,0.0,209.12976580207396,6.187474e-08
0.0,0.0,209.12934522037312,6.0405e-08
0.0,0.0,209.12893299521753,6.277696000000001e-08
0.0,0.0,209.12852853058476,6.372284e-08
0.0,0.0,209.12810835079915,5.970651e-08
0.0,0.0,209.12768444465337,6.520713e-08
0.0,0.0,209.12725813694263,5.250331e-08
0.0,0.0,209.12682828061983,5.590846e-08
0.0,0.0,209.1264384169347,5.5268170000000004e-08
0.0,0.0,209.12600925755865,6.447954e-08
0.0,0.0,209.12562185432,5.983748e-08
0.0,0.0,209.12518258386257,5.180482e-08
0.0,0.0,209.1247589815844,6.360642e-08
0.0,0.0,209.12431526132053,5.782931e-08
0.0,0.0,209.1239335965469,6.618211e-08
0.0,0.0,209.1235186081812,5.916809e-08
0.0,0.0,209.12307573333095,5.940092e-08
0.0,0.0,209.1226467180647,5.940092e-08
0.0,0.0,209.12221603034183,3.784953e-08
0.0,0.0,209.12180815159104,4.515459e-08
0.0,0.0,209.1213980727252,4.994217e-08
0.0,0.0,209.12095835188728,3.668538e-08
0.0,0.0,209.1205702664469,5.731999e-08
0.0,0.0,209.12014241528848,5.89207e-08
0.0,0.0,209.11972208755105,5.7247230000000004e-08
0.0,0.0,209.11930384000965,6.381015e-08
0.0,0.0,209.11888157894333,6.592018e-08
0.0,0.0,209.11849405725133,6.356277e-08
0.0,0.0,209.11807855243913,5.932816e-08
0.0,0.0,209.11766490151385,5.697075e-08
0.0,0.0,209.1172413120545,5.977927e-08
0.0,0.0,209.11681281252473,6.034679e-08
0.0,0.0,209.11641744611376,5.782931e-08
0.0,0.0,209.11598557720055,6.204937000000001e-08
0.0,0.0,209.11555890670016,6.107439e-08
0.0,0.0,209.1151330327432,6.325718e-08
0.0,0.0,209.11472503851869,5.989568e-08
0.0,0.0,209.11429443215127,6.399932e-08
0.0,0.0,209.11386999425324,6.554183e-08
0.0,0.0,209.11345579072167,6.415939e-08
0.0,0.0,209.11304372098283,6.656046e-08
0.0,0.0,209.1126194142859,6.666232e-08
0.0,0.0,209.11218569611344,6.718619e-08
0.0,0.0,209.11179675483703,6.30971e-08
0.0,0.0,209.11134957529572,6.603659e-08
0.0,0.0,209.1109494665,6.733171e-08
0.0,0.0,209.11054648101864,6.266055e-08
0.0,0.0,209.11012316151368,5.899346e-08
0.0,0.0,209.1097153556543,6.073969e-08
0.0,0.0,209.10927940287564,6.682239e-08
0.0,0.0,209.10885538023095,6.807386e-08
0.0,0.0,209.10847021979487,6.436312e-08
0.0,0.0,209.10802698015868,6.481423e-08
0.0,0.0,209.1076258715916,6.284972e-08
0.0,0.0,209.10719887203447,6.38247e-08
0.0,0.0,209.10676808284492,6.37956e-08
0.0,0.0,209.1063622797845,5.915354e-08
0.0,0.0,209.10594990935593,6.427581e-08
0.0,0.0,209.10553942053207,6.143819e-08
0.0,0.0,209.10513545163852,5.998299e-08
0.0,0.0,209.10469143339216,5.755282e-08
0.0,0.0,209.10427917443903,5.343463e-08
0.0,0.0,209.103872678417,6.698247e-08
0.0,0.0,209.10342929921933,6.092887000000001e-08
0.0,0.0,209.10301382975135,6.129267e-08
0.0,0.0,209.10259624482455,6.366463e-08
0.0,0.0,209.10214820668125,6.085611e-08
0.0,0.0,209.10175737295108,6.219489e-08
0.0,0.0,209.10132577728436,6.728806e-08
0.0,0.0,209.1009187539823,6.140908e-08
0.0,0.0,209.10049421632485,5.007314e-08
0.0,0.0,209.10007999380556,6.107439e-08
0.0,0.0,209.09968058210356,6.354821e-08
0.0,0.0,209.09924107702847,5.8222210000000004e-08
0.0,0.0,209.09883330380603,6.261689e-08
0.0,0.0,209.0984169273672,5.040783e-08
0.0,0.0,209.09800996084027,5.858601e-08
0.0,0.0,209.09760878379487,5.336187e-08
0.0,0.0,209.09717827291007,5.894981e-08
0.0,0.0,209.09675483255785,6.135087e-08
0.0,0.0,209.0963402178836,5.983748e-08
0.0,0.0,209.09591577586488,5.739275e-08
0.0,0.0,209.09550075360517,5.35947e-08
0.0,0.0,209.09509322336947,5.018956e-08
0.0,0.0,209.09466199395263,4.806498e-08
0.0,0.0,209.0942313184644,4.93601e-08
0.0,0.0,209.09382341622225,5.1368260000000004e-08
0.0,0.0,209.09340503048404,5.376933e-08
0.0,0.0,209.09296210013875,5.326001e-08
0.0,0.0,209.09255369018047,5.560287e-08
0.0,0.0,209.09215142213128,5.548645e-08
0.0,0.0,209.0917147010323,5.803304e-08
0.0,0.0,209.09128806235327,5.788752e-08
0.0,0.0,209.09088436228524,5.470065e-08
0.0,0.0,209.0904686251104,5.9226290000000004e-08
0.0,0.0,209.0900810178641,5.900802e-08
0.0,0.0,209.0896512368745,5.285256e-08
0.0,0.0,209.0892432945735,4.586764e-08
0.0,0.0,209.08881018651647,5.264883e-08
0.0,0.0,209.08836402098527,4.148751e-08
0.0,0.0,209.0879877092599,4.634785e-08
0.0,0.0,209.0875613780352,4.5562050000000004e-08
0.0,0.0,209.087151774054,5.072798e-08
0.0,0.0,209.08672687680928,4.691537e-08
0.0,0.0,209.0862961991263,4.231697e-08
0.0,0.0,209.085893362863,4.177855e-08
0.0,0.0,209.08548425164489,4.525646e-08
0.0,0.0,209.0850706779653,5.113543e-08
0.0,0.0,209.08466423257144,4.630419e-08
0.0,0.0,209.08422309180045,4.3262840000000004e-08
0.0,0.0,209.083798998728,3.470632e-08
0.0,0.0,209.0833942768633,3.176683e-08
0.0,0.0,209.0829636390337,4.6624340000000004e-08
0.0,0.0,209.0825483390776,4.198228e-08
0.0,0.0,209.0821244368056,4.912727e-08
0.0,0.0,209.08167923973107,3.955211e-08
0.0,0.0,209.08124786169984,5.033507e-08
0.0,0.0,209.08085647942633,4.578033e-08
0.0,0.0,209.08041552584615,4.882168e-08
0.0,0.0,209.08002780575052,3.440073e-08
0.0,0.0,209.0796075634589,3.278547e-08
0.0,0.0,209.07919964143235,3.707828e-08
0.0,0.0,209.07876874100737,3.779132e-08
0.0,0.0,209.0783631235211,4.361209e-08
0.0,0.0,209.07795054398008,4.304457e-08
0.0,0.0,209.07753545054797,4.2273310000000004e-08
0.0,0.0,209.077132302922,4.9330990000000004e-08
0.0,0.0,209.07669235748716,5.219772e-08
0.0,0.0,209.07627489829008,5.171751e-08
0.0,0.0,209.07586952213927,4.308822e-08
0.0,0.0,209.0754300111614,4.592584e-08
0.0,0.0,209.0750144146297,4.732283e-08
0.0,0.0,209.07461648919767,4.33356e-08
0.0,0.0,209.0741883378529,4.844333e-08
0.0,0.0,209.07374986319977,4.236063e-08
0.0,0.0,209.07330426231167,4.401954e-08
0.0,0.0,209.07291920153645,4.6420610000000004e-08
0.0,0.0,209.07249452045332,4.362664e-08
0.0,0.0,209.07208009242396,4.276808e-08
0.0,0.0,209.0716727670444,4.4383340000000004e-08
0.0,0.0,209.0712420481117,4.572212e-08
0.0,0.0,209.07081348537616,4.614412e-08
0.0,0.0,209.07041870457417,4.461617e-08
0.0,0.0,209.07001170444445,4.595495e-08
0.0,0.0,209.06961036888617,4.541653e-08
0.0,0.0,209.06916397452153,4.378671e-08
0.0,0.0,209.0687560177691,4.051253e-08
0.0,0.0,209.06834145232193,3.637979e-08
0.0,0.0,209.06791705648916,4.048343e-08
0.0,0.0,209.06750185685613,3.741297e-08
0.0,0.0,209.0670945347486,3.491004e-08
0.0,0.0,209.0666707260117,3.862078e-08
0.0,0.0,209.06623236863288,3.348396e-08
0.0,0.0,209.0658470122343,3.995956e-08
0.0,0.0,209.06543423813903,3.524474e-08
0.0,0.0,209.0650003028404,3.403693e-08
0.0,0.0,209.0645773440829,2.948218e-08
0.0,0.0,209.06417771544656,3.856258e-08
0.0,0.0,209.06373874379852,3.710738e-08
0.0,0.0,209.06330806831028,3.697642e-08
0.0,0.0,209.0628867999164,4.284084e-08
0.0,0.0,209.06245790160256,4.5562050000000004e-08
0.0,0.0,209.0620387512692,4.534377e-08
0.0,0.0,209.0616351151103,3.53175e-08
0.0,0.0,209.06119962633036,3.278547e-08
0.0,0.0,209.06077411853065,3.595778e-08
0.0,0.0,209.060365825986,3.819878e-08
0.0,0.0,209.0599643109068,3.540481e-08
0.0,0.0,209.05956287067784,3.598689e-08
0.0,0.0,209.05913625280664,3.288733e-08
0.0,0.0,209.0587162973448,3.816967e-08
0.0,0.0,209.05829724675485,3.782043e-08
0.0,0.0,209.05787341504632,2.932211e-08
0.0,0.0,209.05748560531856,3.835885e-08
0.0,0.0,209.05704710138653,4.109461e-08
0.0,0.0,209.05665870566924,4.720641e-08
0.0,0.0,209.0562245662108,3.3498510000000004e-08
0.0,0.0,209.05580086824045,3.167952e-08
0.0,0.0,209.055354040278,3.899913e-08
0.0,0.0,209.0549664935716,3.850437e-08
0.0,0.0,209.0545512248588,3.863533e-08
0.0,0.0,209.0541268200851,4.112371e-08
0.0,0.0,209.0536819148296,4.209869e-08
0.0,0.0,209.05328785034857,4.2593460000000004e-08
0.0,0.0,209.05286209488847,5.181937e-08
0.0,0.0,209.05241888067215,4.3524780000000004e-08
0.0,0.0,209.05201869351257,3.911555e-08
0.0,0.0,209.05161300154904,4.324829e-08
0.0,0.0,209.05117986563928,4.578033e-08
0.0,0.0,209.05077171325436,4.514004e-08
0.0,0.0,209.05034203221965,4.186586e-08
0.0,0.0,209.04994283650768,3.738387e-08
0.0,0.0,209.04953941043684,3.68309e-08
0.0,0.0,209.0490953448004,4.231697e-08
0.0,0.0,209.04870900215423,3.946479e-08
0.0,0.0,209.04827249040207,3.49537e-08
0.0,0.0,209.04787013348056,3.982859e-08
0.0,0.0,209.04744980242404,3.697642e-08
0.0,0.0,209.0470191591448,3.693276e-08
0.0,0.0,209.04660037529607,4.032336e-08
0.0,0.0,209.04619238751465,3.744208e-08
0.0,0.0,209.04576141478685,3.939203e-08
0.0,0.0,209.04535511581892,4.186586e-08
0.0,0.0,209.0449417975153,3.412424e-08
0.0,0.0,209.04450726082436,4.198228e-08
0.0,0.0,209.04412571378467,4.992762e-08
0.0,0.0,209.04368497939316,4.778849e-08
0.0,0.0,209.04324520221235,5.077163e-08
0.0,0.0,209.0428145983988,4.601316e-08
0.0,0.0,209.04239508975195,3.575406e-08
0.0,0.0,209.0419758387463,4.474714e-08
0.0,0.0,209.0415904421912,3.805326e-08
0.0,0.0,209.04114189587295,3.428431e-08
0.0,0.0,209.04071678140735,3.621972e-08
0.0,0.0,209.0403189387476,4.486355e-08
0.0,0.0,209.03987372386243,4.137109e-08
0.0,0.0,209.03948559348663,3.760215e-08
0.0,0.0,209.03907152943475,3.651076e-08
0.0,0.0,209.03866473749204,4.059984e-08
0.0,0.0,209.03823381893736,4.195317e-08
0.0,0.0,209.037825546,3.767491e-08
0.0,0.0,209.0374081934445,3.525929e-08
0.0,0.0,209.0370017963012,3.767491e-08
0.0,0.0,209.03660170260665,4.115282e-08
0.0,0.0,209.03615448998664,3.684545e-08
0.0,0.0,209.035755849404,5.152833e-08
0.0,0.0,209.03533200051103,5.4336850000000004e-08
0.0,0.0,209.034888538142,5.264883e-08
0.0,0.0,209.03447333528433,4.647882e-08
0.0,0.0,209.03406072783108,5.253241e-08
0.0,0.0,209.03365484454363,4.8530640000000004e-08
0.0,0.0,209.0332131229798,4.802132e-08
0.0,0.0,209.03278904895785,3.947935e-08
