Y_dimension(mm),Button,True_depth(m),meas
0.0,0.0,211.024290625,8.081512500000001e-09
0.0,0.0,211.024040625,8.501449999999997e-09
0.0,0.0,211.023790625,8.705699999999999e-09
0.0,0.0,211.023540625,8.764123333333332e-09
0.0,0.0,211.023290625,9.663254999999999e-09
0.0,0.0,211.023040625,9.56572e-09
0.0,0.0,211.022790625,1.0134725e-08
0.0,0.0,211.022540625,1.01791e-08
0.0,0.0,211.022290625,1.084375e-08
0.0,0.0,211.022040625,1.06847e-08
0.0,0.0,211.021790625,1.1161e-08
0.0,0.0,211.021540625,1.1692266666666666e-08
0.0,0.0,211.021290625,1.17946e-08
0.0,0.0,211.021040625,1.214225e-08
0.0,0.0,211.020790625,1.233265e-08
0.0,0.0,211.020540625,1.26954e-08
0.0,0.0,211.020290625,1.320015e-08
0.0,0.0,211.020040625,1.31208e-08
0.0,0.0,211.019790625,1.36307e-08
0.0,0.0,211.019540625,1.35622e-08
0.0,0.0,211.019290625,1.37275e-08
0.0,0.0,211.019040625,1.3695150000000001e-08
0.0,0.0,211.018790625,1.38858e-08
0.0,0.0,211.018540625,1.4274733333333332e-08
0.0,0.0,211.018290625,1.455025e-08
0.0,0.0,211.018040625,1.47602e-08
0.0,0.0,211.017790625,1.489005e-08
0.0,0.0,211.017540625,1.501725e-08
0.0,0.0,211.017290625,1.528625e-08
0.0,0.0,211.017040625,1.54095e-08
0.0,0.0,211.016790625,1.5218249999999995e-08
0.0,0.0,211.016540625,1.5045650000000002e-08
0.0,0.0,211.016290625,1.49004e-08
0.0,0.0,211.016040625,1.498025e-08
0.0,0.0,211.015790625,1.5054e-08
0.0,0.0,211.015540625,1.49982e-08
0.0,0.0,211.015290625,1.491525e-08
0.0,0.0,211.015040625,1.50169e-08
0.0,0.0,211.014790625,1.518415e-08
0.0,0.0,211.014540625,1.53849e-08
0.0,0.0,211.014290625,1.4914233333333334e-08
0.0,0.0,211.014040625,1.49364e-08
0.0,0.0,211.013790625,1.468635e-08
0.0,0.0,211.013540625,1.49299e-08
0.0,0.0,211.013290625,1.46243e-08
0.0,0.0,211.013040625,1.45149e-08
0.0,0.0,211.012790625,1.44558e-08
0.0,0.0,211.012540625,1.4894400000000001e-08
0.0,0.0,211.012290625,1.4785300000000001e-08
0.0,0.0,211.012040625,1.46384e-08
0.0,0.0,211.011790625,1.45628e-08
0.0,0.0,211.011540625,1.49564e-08
0.0,0.0,211.011290625,1.527235e-08
0.0,0.0,211.011040625,1.4876500000000001e-08
0.0,0.0,211.010790625,1.4845600000000001e-08
0.0,0.0,211.010540625,1.454845e-08
0.0,0.0,211.010290625,1.45949e-08
0.0,0.0,211.010040625,1.4689200000000001e-08
0.0,0.0,211.009790625,1.43901e-08
0.0,0.0,211.009540625,1.41315e-08
0.0,0.0,211.009290625,1.419025e-08
0.0,0.0,211.009040625,1.39097e-08
0.0,0.0,211.008790625,1.384435e-08
0.0,0.0,211.008540625,1.413985e-08
0.0,0.0,211.008290625,1.44306e-08
0.0,0.0,211.008040625,1.40144e-08
0.0,0.0,211.007790625,1.38903e-08
0.0,0.0,211.007540625,1.40562e-08
0.0,0.0,211.007290625,1.38581e-08
0.0,0.0,211.007040625,1.4304e-08
