Y_dimension(mm),Button,True_depth(m),meas
0.0,0.0,199.43213125,3.204965e-08
0.0,0.0,199.43188125,3.21518e-08
0.0,0.0,199.43163125,3.2243700000000004e-08
0.0,0.0,199.43138125,3.22422e-08
0.0,0.0,199.43113125,3.186e-08
0.0,0.0,199.43088125,3.303275e-08
0.0,0.0,199.43063125,3.33732e-08
0.0,0.0,199.43038125,3.449825e-08
0.0,0.0,199.43013125,3.566245e-08
0.0,0.0,199.42988125,3.64253e-08
0.0,0.0,199.42963125,3.706975e-08
0.0,0.0,199.42938125,3.779635e-08
0.0,0.0,199.42913125,3.76492e-08
0.0,0.0,199.42888125,3.8484800000000006e-08
0.0,0.0,199.42863125,3.897405e-08
0.0,0.0,199.42838125,3.90321e-08
0.0,0.0,199.42813125,3.96277e-08
0.0,0.0,199.42788125,3.992535e-08
0.0,0.0,199.42763125,3.9982550000000004e-08
0.0,0.0,199.42738125,4.02383e-08
0.0,0.0,199.42713125,4.051375e-08
0.0,0.0,199.42688125,4.09487e-08
0.0,0.0,199.42663125,4.08451e-08
0.0,0.0,199.42638125,4.08172e-08
0.0,0.0,199.42613125,4.09683e-08
0.0,0.0,199.42588125,4.1062950000000006e-08
0.0,0.0,199.42563125,4.099595e-08
0.0,0.0,199.42538125,4.10701e-08
0.0,0.0,199.42513125,4.101655e-08
0.0,0.0,199.42488125,4.03451e-08
0.0,0.0,199.42463125,3.99468e-08
0.0,0.0,199.42438125,3.97837e-08
0.0,0.0,199.42413125,3.960725e-08
0.0,0.0,199.42388125,3.91258e-08
0.0,0.0,199.42363125,3.863925e-08
0.0,0.0,199.42338125,3.84667e-08
0.0,0.0,199.42313125,3.86347e-08
0.0,0.0,199.42288125,3.81601e-08
0.0,0.0,199.42263125,3.767365e-08
0.0,0.0,199.42238125,3.76629e-08
0.0,0.0,199.42213125,3.7344800000000004e-08
0.0,0.0,199.42188125,3.68366e-08
0.0,0.0,199.42163125,3.643005e-08
0.0,0.0,199.42138125,3.650375e-08
0.0,0.0,199.42113125,3.63952e-08
0.0,0.0,199.42088125,3.621785e-08
0.0,0.0,199.42063125,3.6144e-08
0.0,0.0,199.42038125,3.55956e-08
0.0,0.0,199.42013125,3.593105e-08
0.0,0.0,199.41988125,3.58673e-08
0.0,0.0,199.41963125,3.53857e-08
0.0,0.0,199.41938125,3.571555e-08
0.0,0.0,199.41913125,3.576925e-08
0.0,0.0,199.41888125,3.54453e-08
0.0,0.0,199.41863125,3.54015e-08
0.0,0.0,199.41838125,3.53555e-08
0.0,0.0,199.41813125,3.5322000000000004e-08
0.0,0.0,199.41788125,3.5059e-08
0.0,0.0,199.41763125,3.489865e-08
0.0,0.0,199.41738125,3.5024750000000004e-08
0.0,0.0,199.41713125,3.472585e-08
0.0,0.0,199.41688125,3.487195e-08
0.0,0.0,199.41663125,3.4556550000000005e-08
0.0,0.0,199.41638125,3.41732e-08
0.0,0.0,199.41613125,3.425135e-08
0.0,0.0,199.41588125,3.39382e-08
0.0,0.0,199.41563125,3.3862150000000004e-08
0.0,0.0,199.41538125,3.46758e-08
