True_depth(m),Y_dimension(mm),meas,Button,Button_raw
200.2410921875,0.0,2.253715e-08,0.0,0.0
200.2408421875,0.0,2.2742466666666667e-08,0.0,0.0
200.2405921875,0.0,2.298345e-08,0.0,0.0
200.2403421875,0.0,2.3008e-08,0.0,0.0
200.2400921875,0.0,2.313245e-08,0.0,0.0
200.2398421875,0.0,2.3104650000000002e-08,0.0,0.0
200.2395921875,0.0,2.420895e-08,0.0,0.0
200.2393421875,0.0,2.51937e-08,0.0,0.0
200.2390921875,0.0,2.6306e-08,0.0,0.0
200.2388421875,0.0,2.697075e-08,0.0,0.0
200.2385921875,0.0,2.75606e-08,0.0,0.0
200.2383421875,0.0,2.7815e-08,0.0,0.0
200.2380921875,0.0,2.85135e-08,0.0,0.0
200.2378421875,0.0,2.887415e-08,0.0,0.0
200.2375921875,0.0,2.943235e-08,0.0,0.0
200.2373421875,0.0,2.9835e-08,0.0,0.0
200.2370921875,0.0,3.008875e-08,0.0,0.0
200.2368421875,0.0,3.01696e-08,0.0,0.0
200.2365921875,0.0,3.04485e-08,0.0,0.0
200.2363421875,0.0,3.09784e-08,0.0,0.0
200.2360921875,0.0,3.09221e-08,0.0,0.0
200.2358421875,0.0,3.10207e-08,0.0,0.0
200.2355921875,0.0,3.09429e-08,0.0,0.0
200.2353421875,0.0,3.1378100000000004e-08,0.0,0.0
200.2350921875,0.0,3.152315e-08,0.0,0.0
200.2348421875,0.0,3.11791e-08,0.0,0.0
200.2345921875,0.0,3.14919e-08,0.0,0.0
200.2343421875,0.0,3.1641100000000004e-08,0.0,0.0
200.2340921875,0.0,3.183175e-08,0.0,0.0
200.2338421875,0.0,3.1526800000000004e-08,0.0,0.0
200.2335921875,0.0,3.191995e-08,0.0,0.0
200.2333421875,0.0,3.18446e-08,0.0,0.0
200.2330921875,0.0,3.17225e-08,0.0,0.0
200.2328421875,0.0,3.184475e-08,0.0,0.0
200.2325921875,0.0,3.1809850000000003e-08,0.0,0.0
200.2323421875,0.0,3.225905e-08,0.0,0.0
200.2320921875,0.0,3.25627e-08,0.0,0.0
200.2318421875,0.0,3.26097e-08,0.0,0.0
200.2315921875,0.0,3.279105e-08,0.0,0.0
200.2313421875,0.0,3.21586e-08,0.0,0.0
200.2310921875,0.0,3.293215e-08,0.0,0.0
200.2308421875,0.0,3.32425e-08,0.0,0.0
200.2305921875,0.0,3.3400849999999994e-08,0.0,0.0
200.2303421875,0.0,3.35375e-08,0.0,0.0
200.2300921875,0.0,3.38374e-08,0.0,0.0
200.2298421875,0.0,3.357675e-08,0.0,0.0
200.2295921875,0.0,3.38093e-08,0.0,0.0
200.2293421875,0.0,3.44065e-08,0.0,0.0
200.2290921875,0.0,3.451015e-08,0.0,0.0
200.2288421875,0.0,3.468235e-08,0.0,0.0
200.2285921875,0.0,3.4569750000000004e-08,0.0,0.0
200.2283421875,0.0,3.49331e-08,0.0,0.0
200.2280921875,0.0,3.489785e-08,0.0,0.0
200.2278421875,0.0,3.53691e-08,0.0,0.0
200.2275921875,0.0,3.548975e-08,0.0,0.0
200.2273421875,0.0,3.57929e-08,0.0,0.0
200.2270921875,0.0,3.57237e-08,0.0,0.0
200.2268421875,0.0,3.59124e-08,0.0,0.0
200.2265921875,0.0,3.60103e-08,0.0,0.0
200.2263421875,0.0,3.617060000000001e-08,0.0,0.0
200.2260921875,0.0,3.5984e-08,0.0,0.0
200.2258421875,0.0,3.63285e-08,0.0,0.0
200.2255921875,0.0,3.632385e-08,0.0,0.0
200.2253421875,0.0,3.620555e-08,0.0,0.0
200.2250921875,0.0,3.60202e-08,0.0,0.0
200.2248421875,0.0,3.64296e-08,0.0,0.0
200.2245921875,0.0,3.6257100000000004e-08,0.0,0.0
200.2243421875,0.0,3.635930000000001e-08,0.0,0.0
200.2240921875,0.0,3.62638e-08,0.0,0.0
200.2238421875,0.0,3.6064600000000004e-08,0.0,0.0
200.2235921875,0.0,3.5788750000000003e-08,0.0,0.0
200.2233421875,0.0,3.60241e-08,0.0,0.0
200.2230921875,0.0,3.636735e-08,0.0,0.0
200.2228421875,0.0,3.56245e-08,0.0,0.0
200.2225921875,0.0,3.62411e-08,0.0,0.0
200.2223421875,0.0,3.54656e-08,0.0,0.0
200.2220921875,0.0,3.5705900000000003e-08,0.0,0.0
200.2218421875,0.0,3.508655e-08,0.0,0.0
200.2215921875,0.0,3.50012e-08,0.0,0.0
200.2213421875,0.0,3.49915e-08,0.0,0.0
200.2210921875,0.0,3.46863e-08,0.0,0.0
200.2208421875,0.0,3.46062e-08,0.0,0.0
200.2205921875,0.0,3.42922e-08,0.0,0.0
200.2203421875,0.0,3.391865e-08,0.0,0.0
