True_depth(m),Y_dimension(mm),meas,Button,Button_raw
203.32520625,0.0,2.27424e-08,0.0,0.0
203.32495625,0.0,2.2627066666666677e-08,0.0,0.0
203.32470625,0.0,2.274075e-08,0.0,0.0
203.32445625,0.0,2.27613e-08,0.0,0.0
203.32420625,0.0,2.273915e-08,0.0,0.0
203.32395625,0.0,2.304715e-08,0.0,0.0
203.32370625,0.0,2.435455e-08,0.0,0.0
203.32345625,0.0,2.538005e-08,0.0,0.0
203.32320625,0.0,2.589075e-08,0.0,0.0
203.32295625,0.0,2.71775e-08,0.0,0.0
203.32270625,0.0,2.76492e-08,0.0,0.0
203.32245625,0.0,2.83411e-08,0.0,0.0
203.32220625,0.0,2.90344e-08,0.0,0.0
203.32195625,0.0,3.000485e-08,0.0,0.0
203.32170625,0.0,3.07971e-08,0.0,0.0
203.32145625,0.0,3.128085e-08,0.0,0.0
203.32120625,0.0,3.189905e-08,0.0,0.0
203.32095625,0.0,3.21346e-08,0.0,0.0
203.32070625,0.0,3.2384550000000004e-08,0.0,0.0
203.32045625,0.0,3.2470049999999995e-08,0.0,0.0
203.32020625,0.0,3.243555e-08,0.0,0.0
203.31995625,0.0,3.25535e-08,0.0,0.0
203.31970625,0.0,3.2660333333333345e-08,0.0,0.0
203.31945625,0.0,3.261125e-08,0.0,0.0
203.31920625,0.0,3.28339e-08,0.0,0.0
203.31895625,0.0,3.26614e-08,0.0,0.0
203.31870625,0.0,3.26742e-08,0.0,0.0
203.31845625,0.0,3.2697799999999995e-08,0.0,0.0
203.31820625,0.0,3.259715e-08,0.0,0.0
203.31795625,0.0,3.24656e-08,0.0,0.0
203.31770625,0.0,3.26295e-08,0.0,0.0
203.31745625,0.0,3.246525e-08,0.0,0.0
203.31720625,0.0,3.267283333333334e-08,0.0,0.0
203.31695625,0.0,3.25849e-08,0.0,0.0
203.31670625,0.0,3.247935e-08,0.0,0.0
203.31645625,0.0,3.26434e-08,0.0,0.0
203.31620625,0.0,3.271075e-08,0.0,0.0
203.31595625,0.0,3.26752e-08,0.0,0.0
203.31570625,0.0,3.2730750000000003e-08,0.0,0.0
203.31545625,0.0,3.286195e-08,0.0,0.0
203.31520625,0.0,3.26546e-08,0.0,0.0
203.31495625,0.0,3.25479e-08,0.0,0.0
203.31470625,0.0,3.252115e-08,0.0,0.0
203.31445625,0.0,3.2324833333333335e-08,0.0,0.0
203.31420625,0.0,3.2283e-08,0.0,0.0
203.31395625,0.0,3.19784e-08,0.0,0.0
203.31370625,0.0,3.198365e-08,0.0,0.0
203.31345625,0.0,3.187515e-08,0.0,0.0
203.31320625,0.0,3.17599e-08,0.0,0.0
203.31295625,0.0,3.17276e-08,0.0,0.0
203.31270625,0.0,3.1774000000000004e-08,0.0,0.0
203.31245625,0.0,3.142065e-08,0.0,0.0
203.31220625,0.0,3.151115e-08,0.0,0.0
203.31195625,0.0,3.135995e-08,0.0,0.0
203.31170625,0.0,3.1362800000000003e-08,0.0,0.0
203.31145625,0.0,3.12929e-08,0.0,0.0
203.31120625,0.0,3.1286e-08,0.0,0.0
203.31095625,0.0,3.0912e-08,0.0,0.0
203.31070625,0.0,3.121795e-08,0.0,0.0
203.31045625,0.0,3.12652e-08,0.0,0.0
203.31020625,0.0,3.1207400000000005e-08,0.0,0.0
203.30995625,0.0,3.109445e-08,0.0,0.0
203.30970625,0.0,3.09693e-08,0.0,0.0
203.30945625,0.0,3.118595e-08,0.0,0.0
203.30920625,0.0,3.090035e-08,0.0,0.0
203.30895625,0.0,3.04809e-08,0.0,0.0
203.30870625,0.0,3.0649049999999995e-08,0.0,0.0
203.30845625,0.0,3.0489e-08,0.0,0.0
203.30820625,0.0,3.0615800000000003e-08,0.0,0.0
203.30795625,0.0,3.03577e-08,0.0,0.0
203.30770625,0.0,3.044785e-08,0.0,0.0
203.30745625,0.0,3.013395e-08,0.0,0.0
203.30720625,0.0,3.01636e-08,0.0,0.0
203.30695625,0.0,2.995365e-08,0.0,0.0
203.30670625,0.0,3.0185e-08,0.0,0.0
203.30645625,0.0,3.00627e-08,0.0,0.0
203.30620625,0.0,3.0182100000000004e-08,0.0,0.0
203.30595625,0.0,2.99555e-08,0.0,0.0
203.30570625,0.0,2.991045e-08,0.0,0.0
203.30545625,0.0,2.9999866666666666e-08,0.0,0.0
203.30520625,0.0,2.97237e-08,0.0,0.0
203.30495625,0.0,2.97872e-08,0.0,0.0
203.30470625,0.0,2.9666050000000002e-08,0.0,0.0
203.30445625,0.0,2.950915e-08,0.0,0.0
203.30420625,0.0,2.9417500000000002e-08,0.0,0.0
203.30395625,0.0,2.9353950000000003e-08,0.0,0.0
203.30370625,0.0,2.90543e-08,0.0,0.0
203.30345625,0.0,2.9180150000000002e-08,0.0,0.0
203.30320625,0.0,2.894250000000001e-08,0.0,0.0
203.30295625,0.0,2.899025e-08,0.0,0.0
203.30270625,0.0,2.89045e-08,0.0,0.0
203.30245625,0.0,2.883405e-08,0.0,0.0
203.30220625,0.0,2.88254e-08,0.0,0.0
203.30195625,0.0,2.88197e-08,0.0,0.0
203.30170625,0.0,2.861485e-08,0.0,0.0
203.30145625,0.0,2.86572e-08,0.0,0.0
203.30120625,0.0,2.8724350000000002e-08,0.0,0.0
203.30095625,0.0,2.86744e-08,0.0,0.0
203.30070625,0.0,2.87111e-08,0.0,0.0
203.30045625,0.0,2.83874e-08,0.0,0.0
203.30020625,0.0,2.80708e-08,0.0,0.0
203.29995625,0.0,2.81358e-08,0.0,0.0
203.29970625,0.0,2.804165e-08,0.0,0.0
203.29945625,0.0,2.78262e-08,0.0,0.0
203.29920625,0.0,2.790625e-08,0.0,0.0
