True_depth(m),Y_dimension(mm),meas,Button,Button_raw
203.72416875,0.626,2.208195e-05,0.0,0.0
203.72416875,0.626,-2.37285e-06,0.0,0.0
203.7241145638583,0.626,-1.420878e-06,0.0,0.0
203.72399848888267,0.626,-9.439391e-07,0.0,0.0
203.7238570685328,0.626,-4.176254000000001e-07,0.0,0.0
203.7236586676796,0.626,-2.520537e-07,0.0,0.0
203.7234231771864,0.626,1.887383e-08,0.0,0.0
203.72315763409307,0.626,2.985907000000001e-07,0.0,0.0
203.7228544240648,0.626,4.2618190000000003e-07,0.0,0.0
203.72250801577053,0.626,5.34259e-07,0.0,0.0
203.72210656382785,0.626,6.641203000000001e-07,0.0,0.0
203.72169839624368,0.626,6.885675e-07,0.0,0.0
203.7212713284161,0.626,8.068455e-07,0.0,0.0
203.7208630299293,0.626,6.876653e-07,0.0,0.0
203.72044892841484,0.626,8.535426000000001e-07,0.0,0.0
203.72002688927296,0.626,9.872456e-07,0.0,0.0
203.71961890643013,0.626,9.828364e-07,0.0,0.0
203.7192047516805,0.626,1.017062e-06,0.0,0.0
203.71877182598257,0.626,1.180335e-06,0.0,0.0
203.7183499508682,0.626,1.153981e-06,0.0,0.0
203.71796512302024,0.626,1.104563e-06,0.0,0.0
203.71752103299576,0.626,1.086504e-06,0.0,0.0
203.71710067110843,0.626,1.016131e-06,0.0,0.0
203.71669724022547,0.626,9.719515e-07,0.0,0.0
203.71627497194373,0.626,9.89312e-07,0.0,0.0
203.71584339024824,0.626,9.927899e-07,0.0,0.0
203.7154262735665,0.626,1.033157e-06,0.0,0.0
203.71499942022436,0.626,1.020249e-06,0.0,0.0
203.71455503932484,0.626,1.064356e-06,0.0,0.0
203.7141575281387,0.626,1.01031e-06,0.0,0.0
203.71373373082457,0.626,1.111315e-06,0.0,0.0
203.71329821336144,0.626,1.059889e-06,0.0,0.0
203.71291107435496,0.626,1.100911e-06,0.0,0.0
203.71248234692573,0.626,1.181223e-06,0.0,0.0
203.71206325918564,0.626,1.210137e-06,0.0,0.0
203.7116538690869,0.626,1.20046e-06,0.0,0.0
203.71120953538377,0.626,1.198758e-06,0.0,0.0
203.71082241137285,0.626,1.127875e-06,0.0,0.0
203.710408917694,0.626,1.166467e-06,0.0,0.0
203.710001792096,0.626,1.20941e-06,0.0,0.0
203.70957114162195,0.626,1.008113e-06,0.0,0.0
203.70917501754056,0.626,1.17367e-06,0.0,0.0
203.70874268936683,0.626,1.095163e-06,0.0,0.0
203.7083157036273,0.626,1.021021e-06,0.0,0.0
203.7079379493816,0.626,1.068824e-06,0.0,0.0
203.7074929576,0.626,1.018401e-06,0.0,0.0
203.7070556593844,0.626,1.06942e-06,0.0,0.0
203.7066255172033,0.626,1.041946e-06,0.0,0.0
203.7062229355872,0.626,1.040331e-06,0.0,0.0
203.7058136387926,0.626,1.122142e-06,0.0,0.0
203.70539685154944,0.626,1.146254e-06,0.0,0.0
203.7049602074468,0.626,1.263092e-06,0.0,0.0
203.7045531647832,0.626,1.246342e-06,0.0,0.0
203.70411021262296,0.626,1.171153e-06,0.0,0.0
203.70368167585707,0.626,1.155393e-06,0.0,0.0
203.70329427410823,0.626,1.166292e-06,0.0,0.0
203.7028850997662,0.626,1.112116e-06,0.0,0.0
203.702472243922,0.626,1.056207e-06,0.0,0.0
203.7020482121601,0.626,8.105271e-07,0.0,0.0
203.70161110221,0.626,1.097666e-06,0.0,0.0
203.70120385591267,0.626,1.096327e-06,0.0,0.0
203.700801205537,0.626,1.093125e-06,0.0,0.0
203.7004001567989,0.626,1.03924e-06,0.0,0.0
203.69997302114777,0.626,1.088934e-06,0.0,0.0
203.6995526919572,0.626,1.096472e-06,0.0,0.0
203.6991338976512,0.626,1.094304e-06,0.0,0.0
203.6987110218155,0.626,1.176188e-06,0.0,0.0
203.6982950697779,0.626,1.121181e-06,0.0,0.0
203.69788004447577,0.626,1.098902e-06,0.0,0.0
203.6974564974692,0.626,1.124441e-06,0.0,0.0
203.69703756612435,0.626,1.14119e-06,0.0,0.0
203.69661761980257,0.626,1.134496e-06,0.0,0.0
203.69619099287368,0.626,1.045453e-06,0.0,0.0
203.6957790691252,0.626,1.151042e-06,0.0,0.0
203.6953482398769,0.626,1.162785e-06,0.0,0.0
203.69494251606707,0.626,1.124339e-06,0.0,0.0
203.69450942932207,0.626,1.090943e-06,0.0,0.0
203.6940785966072,0.626,1.068111e-06,0.0,0.0
203.69364924316724,0.626,1.165885e-06,0.0,0.0
203.69325486048552,0.626,1.148554e-06,0.0,0.0
203.69283939508065,0.626,1.150795e-06,0.0,0.0
203.69244367178075,0.626,1.145818e-06,0.0,0.0
203.6919995709547,0.626,1.131877e-06,0.0,0.0
203.69158443489496,0.626,1.16929e-06,0.0,0.0
203.69117719162747,0.626,1.171968e-06,0.0,0.0
203.6907683575276,0.626,1.162785e-06,0.0,0.0
203.6903472523121,0.626,1.169872e-06,0.0,0.0
203.689929353154,0.626,1.110646e-06,0.0,0.0
203.68952140320505,0.626,1.090099e-06,0.0,0.0
203.68909054632496,0.626,1.12869e-06,0.0,0.0
203.68868395438287,0.626,1.143679e-06,0.0,0.0
203.68826998900084,0.626,1.072884e-06,0.0,0.0
203.68785466646383,0.626,1.097098e-06,0.0,0.0
203.68741139596665,0.626,1.135835e-06,0.0,0.0
203.68699759476803,0.626,1.138294e-06,0.0,0.0
203.6865895211688,0.626,1.139852e-06,0.0,0.0
203.6861429341077,0.626,1.121545e-06,0.0,0.0
203.68572187708864,0.626,1.154913e-06,0.0,0.0
203.68531726938664,0.626,1.108696e-06,0.0,0.0
203.68491841627403,0.626,1.138847e-06,0.0,0.0
203.6844695310789,0.626,1.164517e-06,0.0,0.0
203.68406614130024,0.626,1.096691e-06,0.0,0.0
203.68364652659463,0.626,1.108579e-06,0.0,0.0
203.68320100608432,0.626,1.130495e-06,0.0,0.0
203.68282394509248,0.626,1.095861e-06,0.0,0.0
203.68239777586896,0.626,1.072956e-06,0.0,0.0
203.68198744229807,0.626,1.099295e-06,0.0,0.0
203.68156274111556,0.626,1.12658e-06,0.0,0.0
203.6811352291412,0.626,1.170789e-06,0.0,0.0
203.68073628043072,0.626,1.175009e-06,0.0,0.0
203.68032087182888,0.626,1.159249e-06,0.0,0.0
203.67990682291432,0.626,1.225402e-06,0.0,0.0
203.6795000049762,0.626,1.225984e-06,0.0,0.0
203.6790592371136,0.626,1.161141e-06,0.0,0.0
203.6786602697092,0.626,1.185632e-06,0.0,0.0
203.6782362516797,0.626,1.221997e-06,0.0,0.0
203.67780017583635,0.626,1.210661e-06,0.0,0.0
203.6774131971668,0.626,1.153021e-06,0.0,0.0
203.67698950432367,0.626,1.117034e-06,0.0,0.0
203.67655255314656,0.626,1.197768e-06,0.0,0.0
203.67612160729516,0.626,1.167573e-06,0.0,0.0
203.6757179505221,0.626,1.178749e-06,0.0,0.0
203.6753079809961,0.626,1.216278e-06,0.0,0.0
203.6748702491703,0.626,1.180582e-06,0.0,0.0
203.67444642173487,0.626,1.167078e-06,0.0,0.0
203.6740133897616,0.626,1.095992e-06,0.0,0.0
203.67360557985043,0.626,1.08355e-06,0.0,0.0
203.673176409532,0.626,1.081586e-06,0.0,0.0
203.67277678199463,0.626,1.137931e-06,0.0,0.0
203.67237337063943,0.626,1.145017e-06,0.0,0.0
203.6719292459721,0.626,1.108187e-06,0.0,0.0
203.67154284464013,0.626,1.146444e-06,0.0,0.0
203.67110611070268,0.626,1.155597e-06,0.0,0.0
203.6707034301898,0.626,1.082095e-06,0.0,0.0
203.6702678860645,0.626,1.104534e-06,0.0,0.0
203.66988378264944,0.626,1.133943e-06,0.0,0.0
203.66946034879567,0.626,9.977084000000002e-07,0.0,0.0
203.6690255932733,0.626,9.91422e-07,0.0,0.0
203.6686178036276,0.626,1.024629e-06,0.0,0.0
203.66819129038367,0.626,1.038643e-06,0.0,0.0
203.6677759124161,0.626,9.773357e-07,0.0,0.0
203.66738825832076,0.626,1.045017e-06,0.0,0.0
203.66694248905023,0.626,1.048757e-06,0.0,0.0
203.66651869972932,0.626,9.881041000000002e-07,0.0,0.0
203.66607881727828,0.626,1.007531e-06,0.0,0.0
203.665670960263,0.626,1.061213e-06,0.0,0.0
203.66525590842764,0.626,8.900242e-07,0.0,0.0
203.66484061307207,0.626,1.093547e-06,0.0,0.0
203.66440123826573,0.626,1.059059e-06,0.0,0.0
203.6640006294569,0.626,1.03029e-06,0.0,0.0
203.66357657111368,0.626,1.049149e-06,0.0,0.0
203.66317669035732,0.626,1.070075e-06,0.0,0.0
203.6627532914717,0.626,9.87653e-07,0.0,0.0
203.66233726964256,0.626,9.964715e-07,0.0,0.0
203.6619303069956,0.626,1.053457e-06,0.0,0.0
203.66149839805584,0.626,1.009612e-06,0.0,0.0
203.66110767226183,0.626,1.051056e-06,0.0,0.0
203.6606600024372,0.626,1.074644e-06,0.0,0.0
203.6602603123173,0.626,1.073859e-06,0.0,0.0
203.65985515853032,0.626,1.013221e-06,0.0,0.0
203.65943602263795,0.626,1.091787e-06,0.0,0.0
203.6590190943656,0.626,1.117398e-06,0.0,0.0
203.6585904952924,0.626,1.09215e-06,0.0,0.0
203.65816692155715,0.626,1.117398e-06,0.0,0.0
203.6577591662613,0.626,1.084831e-06,0.0,0.0
203.6573442672736,0.626,9.538198e-07,0.0,0.0
203.65692072451657,0.626,7.175258000000001e-07,0.0,0.0
203.6564898067238,0.626,9.906798000000003e-07,0.0,0.0
203.65608140230168,0.626,9.839277e-07,0.0,0.0
203.65565065506524,0.626,1.010281e-06,0.0,0.0
203.65523123023067,0.626,9.743817e-07,0.0,0.0
203.65478793359583,0.626,1.018008e-06,0.0,0.0
203.6543771976336,0.626,9.845098e-07,0.0,0.0
203.6539728682989,0.626,6.484479e-07,0.0,0.0
203.6535420336288,0.626,1.043125e-06,0.0,0.0
203.65311599497417,0.626,9.841169e-07,0.0,0.0
203.6527106404428,0.626,9.749347e-07,0.0,0.0
203.6522954886116,0.626,9.672949000000002e-07,0.0,0.0
203.6519080742476,0.626,9.510986000000002e-07,0.0,0.0
203.65147927162647,0.626,9.523937000000002e-07,0.0,0.0
203.65105842374555,0.626,1.005465e-06,0.0,0.0
203.6506373438672,0.626,1.030203e-06,0.0,0.0
203.65023218308863,0.626,1.066612e-06,0.0,0.0
203.6498146551248,0.626,1.062916e-06,0.0,0.0
203.64938748943007,0.626,1.09979e-06,0.0,0.0
203.64897956075848,0.626,1.060951e-06,0.0,0.0
203.64855416891973,0.626,1.059641e-06,0.0,0.0
203.64812301489417,0.626,1.115855e-06,0.0,0.0
203.647719519026,0.626,1.197361e-06,0.0,0.0
203.64730961260767,0.626,1.164401e-06,0.0,0.0
203.64689409945728,0.626,1.139357e-06,0.0,0.0
203.64644774605927,0.626,1.186301e-06,0.0,0.0
203.6460274583412,0.626,1.176406e-06,0.0,0.0
203.6456252309721,0.626,1.128632e-06,0.0,0.0
203.64517740191283,0.626,1.125911e-06,0.0,0.0
203.6447622498523,0.626,1.06357e-06,0.0,0.0
203.64437478769247,0.626,1.090171e-06,0.0,0.0
203.64395208725244,0.626,1.093518e-06,0.0,0.0
203.6435063985584,0.626,9.464275e-07,0.0,0.0
203.64311314025616,0.626,9.595096000000002e-07,0.0,0.0
203.64268537979177,0.626,9.522337e-07,0.0,0.0
203.642274431506,0.626,1.03841e-06,0.0,0.0
203.6418614557848,0.626,1.062101e-06,0.0,0.0
203.64143755823,0.626,1.07786e-06,0.0,0.0
203.64103844670345,0.626,1.066335e-06,0.0,0.0
203.6406028362676,0.626,1.015622e-06,0.0,0.0
203.6401935122912,0.626,1.045948e-06,0.0,0.0
203.63977836046,0.626,1.085064e-06,0.0,0.0
203.63936845079857,0.626,1.098306e-06,0.0,0.0
203.63896487116745,0.626,1.116146e-06,0.0,0.0
203.63852081849808,0.626,1.086708e-06,0.0,0.0
203.63812643438257,0.626,1.119042e-06,0.0,0.0
203.6377017277312,0.626,1.089968e-06,0.0,0.0
203.63725867958425,0.626,1.01862e-06,0.0,0.0
203.6368709727417,0.626,1.135893e-06,0.0,0.0
203.6364487113329,0.626,1.053442e-06,0.0,0.0
203.63601789940316,0.626,1.05206e-06,0.0,0.0
203.6355787497424,0.626,1.121167e-06,0.0,0.0
203.6351570441146,0.626,1.155146e-06,0.0,0.0
203.63476537705807,0.626,1.090943e-06,0.0,0.0
203.6343224663668,0.626,1.151231e-06,0.0,0.0
203.6339066727265,0.626,1.11782e-06,0.0,0.0
203.63347773834863,0.626,1.092674e-06,0.0,0.0
203.6330698643888,0.626,1.105e-06,0.0,0.0
203.6326360014948,0.626,1.114589e-06,0.0,0.0
203.63223109919423,0.626,1.086839e-06,0.0,0.0
203.6318299119272,0.626,1.131819e-06,0.0,0.0
203.6313923443908,0.626,1.087174e-06,0.0,0.0
203.63099065598556,0.626,1.012319e-06,0.0,0.0
203.63056304268676,0.626,9.093492e-07,0.0,0.0
203.6301681768024,0.626,8.975912e-07,0.0,0.0
203.62972506496516,0.626,6.257615e-07,0.0,0.0
203.62933745604457,0.626,1.161156e-06,0.0,0.0
203.628921561596,0.626,1.120425e-06,0.0,0.0
203.6284906413866,0.626,1.119624e-06,0.0,0.0
203.62808237530032,0.626,1.146138e-06,0.0,0.0
203.6276499748064,0.626,1.197099e-06,0.0,0.0
203.62722610042672,0.626,1.055698e-06,0.0,0.0
203.6268130083804,0.626,1.197361e-06,0.0,0.0
203.62640193556527,0.626,1.147782e-06,0.0,0.0
203.62597402674697,0.626,1.146851e-06,0.0,0.0
203.62554323755745,0.626,1.174456e-06,0.0,0.0
203.62513498952185,0.626,1.235559e-06,0.0,0.0
203.624712328797,0.626,1.199311e-06,0.0,0.0
203.62428405776555,0.626,1.284076e-06,0.0,0.0
203.62390935116647,0.626,1.236447e-06,0.0,0.0
203.6234617276432,0.626,1.285356e-06,0.0,0.0
203.62303900647265,0.626,1.27776e-06,0.0,0.0
203.62261939746165,0.626,1.281616e-06,0.0,0.0
203.6221930213384,0.626,1.241409e-06,0.0,0.0
203.62180528670208,0.626,1.255394e-06,0.0,0.0
203.62139303990352,0.626,1.254855e-06,0.0,0.0
203.6209871290256,0.626,1.240769e-06,0.0,0.0
203.62055662057247,0.626,1.26024e-06,0.0,0.0
203.6201293223956,0.626,1.089415e-06,0.0,0.0
203.61972879956875,0.626,1.20647e-06,0.0,0.0
203.6192988736368,0.626,1.222405e-06,0.0,0.0
203.6188996089201,0.626,1.20695e-06,0.0,0.0
203.6184756659337,0.626,1.254404e-06,0.0,0.0
203.61803965977515,0.626,1.316293e-06,0.0,0.0
203.61763182837592,0.626,1.24592e-06,0.0,0.0
203.6172082147513,0.626,1.205772e-06,0.0,0.0
203.6167930774608,0.626,1.233318e-06,0.0,0.0
203.61636250693644,0.626,1.26152e-06,0.0,0.0
203.61595784004848,0.626,1.278342e-06,0.0,0.0
203.6155342472628,0.626,1.260225e-06,0.0,0.0
203.61509309453592,0.626,1.347318e-06,0.0,0.0
203.61466241904765,0.626,1.395529e-06,0.0,0.0
203.61426306889305,0.626,1.414868e-06,0.0,0.0
203.6138578916743,0.626,1.426757e-06,0.0,0.0
203.61341536376767,0.626,1.479726e-06,0.0,0.0
203.61302109837453,0.626,1.804176e-06,0.0,0.0
203.6125926475277,0.626,1.545079e-06,0.0,0.0
203.61214812696963,0.626,1.403663e-06,0.0,0.0
203.61176939290007,0.626,1.387321e-06,0.0,0.0
203.6113369717184,0.626,1.428372e-06,0.0,0.0
203.61094133920253,0.626,1.42293e-06,0.0,0.0
203.61051260362137,0.626,1.441338e-06,0.0,0.0
203.61010436027536,0.626,1.462249e-06,0.0,0.0
203.609674975992,0.626,1.499633e-06,0.0,0.0
203.60927579216684,0.626,1.47814e-06,0.0,0.0
203.60887259281,0.626,1.447537e-06,0.0,0.0
203.6084501162504,0.626,1.503722e-06,0.0,0.0
203.60803184287468,0.626,1.552558e-06,0.0,0.0
203.60760577124765,0.626,1.597436e-06,0.0,0.0
203.6071582524132,0.626,1.483466e-06,0.0,0.0
203.6067405974298,0.626,1.450593e-06,0.0,0.0
203.6063346927185,0.626,1.450826e-06,0.0,0.0
203.60593451396628,0.626,1.506007e-06,0.0,0.0
203.60550364302352,0.626,1.525739e-06,0.0,0.0
203.60506339502416,0.626,1.432942e-06,0.0,0.0
203.60466414649812,0.626,1.631954e-06,0.0,0.0
203.60422033669343,0.626,1.532928e-06,0.0,0.0
203.60380513739827,0.626,1.565626e-06,0.0,0.0
203.60341744359937,0.626,1.495238e-06,0.0,0.0
203.60298711934493,0.626,1.503024e-06,0.0,0.0
203.60257905444448,0.626,1.466367e-06,0.0,0.0
203.60214847339367,0.626,1.390421e-06,0.0,0.0
203.60174782848105,0.626,1.535183e-06,0.0,0.0
203.60134112528624,0.626,1.598281e-06,0.0,0.0
203.60090183929427,0.626,1.511435e-06,0.0,0.0
203.60051654606147,0.626,1.452296e-06,0.0,0.0
203.6000775073898,0.626,1.511216e-06,0.0,0.0
203.59963543337045,0.626,1.474051e-06,0.0,0.0
203.5992368364141,0.626,1.484674e-06,0.0,0.0
203.5988213166372,0.626,1.491193e-06,0.0,0.0
203.5984072105746,0.626,1.528359e-06,0.0,0.0
203.59799988594136,0.626,1.46417e-06,0.0,0.0
203.59756896031024,0.626,1.47667e-06,0.0,0.0
203.5971403656072,0.626,1.462191e-06,0.0,0.0
203.59674322409103,0.626,1.449109e-06,0.0,0.0
203.5962996968232,0.626,1.484033e-06,0.0,0.0
203.5958905589456,0.626,1.517255e-06,0.0,0.0
203.5954891465767,0.626,1.487075e-06,0.0,0.0
203.5950519820292,0.626,1.548353e-06,0.0,0.0
203.59461626293887,0.626,1.548222e-06,0.0,0.0
203.5941923138608,0.626,1.587629e-06,0.0,0.0
203.59378231928315,0.626,1.579756e-06,0.0,0.0
203.59336417589827,0.626,1.535562e-06,0.0,0.0
203.59294324615752,0.626,1.500011e-06,0.0,0.0
203.59252554182183,0.626,1.491746e-06,0.0,0.0
203.5921045498353,0.626,1.473963e-06,0.0,0.0
203.59169914248588,0.626,1.46417e-06,0.0,0.0
203.5912872784848,0.626,1.418768e-06,0.0,0.0
203.59087635789177,0.626,1.424749e-06,0.0,0.0
203.59047194144893,0.626,1.406836e-06,0.0,0.0
203.59002819676124,0.626,1.399691e-06,0.0,0.0
203.58963300414257,0.626,1.320426e-06,0.0,0.0
203.5892095406312,0.626,1.354318e-06,0.0,0.0
203.58879379510665,0.626,1.339402e-06,0.0,0.0
203.58837800078928,0.626,1.298176e-06,0.0,0.0
203.5879547116688,0.626,1.345397e-06,0.0,0.0
203.58752415301768,0.626,1.326203e-06,0.0,0.0
