True_depth(m),Y_dimension(mm),meas,Button,Button_raw
203.9984875,0.0,5.194659999999998e-10,1.0,0.0
203.9982375,0.0,5.450286666666667e-10,1.0,0.0
203.9979875,0.0,5.88269e-10,1.0,0.0
203.9977375,0.0,5.855905e-10,1.0,0.0
203.9974875,0.0,5.249314999999998e-10,1.0,0.0
203.9972375,0.0,5.080725e-10,1.0,0.0
203.9969875,0.0,5.38833e-10,1.0,0.0
203.9967375,0.0,3.56824e-10,1.0,0.0
203.9964875,0.0,5.759705e-10,1.0,0.0
203.9962375,0.0,6.545605e-10,1.0,0.0
203.9959875,0.0,6.243389999999998e-10,1.0,0.0
203.9957375,0.0,6.524195e-10,1.0,0.0
203.9954875,0.0,8.49716e-10,1.0,0.0
203.9952375,0.0,7.856124999999997e-10,1.0,0.0
203.9949875,0.0,8.497769999999998e-10,1.0,0.0
203.9947375,0.0,1.019471e-09,1.0,0.0
203.9944875,0.0,1.170595e-09,1.0,0.0
203.9942375,0.0,1.2743199999999996e-09,1.0,0.0
203.9939875,0.0,1.4297549999999995e-09,1.0,0.0
203.9937375,0.0,1.7363049999999996e-09,1.0,0.0
203.9934875,0.0,2.48579e-09,1.0,0.0
203.9932375,0.0,2.8207899999999997e-09,1.0,0.0
203.9929875,0.0,3.3564999999999997e-09,1.0,0.0
203.9927375,0.0,3.3997399999999997e-09,1.0,0.0
203.9924875,0.0,3.6181199999999995e-09,1.0,0.0
203.9922375,0.0,4.3134699999999996e-09,1.0,0.0
203.9919875,0.0,5.239784999999999e-09,1.0,0.0
203.9917375,0.0,5.475595e-09,1.0,0.0
203.9914875,0.0,5.819269999999999e-09,1.0,0.0
203.9912375,0.0,6.304405e-09,1.0,0.0
203.9909875,0.0,6.51365e-09,1.0,0.0
203.9907375,0.0,6.7728149999999994e-09,1.0,0.0
203.9904875,0.0,7.098629999999999e-09,1.0,0.0
203.9902375,0.0,7.435449999999998e-09,1.0,0.0
203.9899875,0.0,7.726399999999998e-09,1.0,0.0
203.9897375,0.0,7.897124999999998e-09,1.0,0.0
203.9894875,0.0,8.157314999999998e-09,1.0,0.0
203.9892375,0.0,8.750205000000001e-09,1.0,0.0
203.9889875,0.0,9.395355e-09,1.0,0.0
