True_depth(m),Y_dimension(mm),meas,Button,Button_raw
204.8448815625,0.0,2.282432e-05,0.0,0.0
204.8448815625,0.0,-1.629363e-06,0.0,0.0
204.8448815625,0.0,-6.437767000000001e-07,0.0,0.0
204.8448336603264,0.0,-1.0119400000000001e-07,0.0,0.0
204.84468222581205,0.0,9.815267000000001e-08,0.0,0.0
204.84449060667671,0.0,3.704627000000001e-07,0.0,0.0
204.84425292791423,0.0,6.593327e-07,0.0,0.0
204.84397862162487,0.0,7.923953999999999e-07,0.0,0.0
204.84368265089768,0.0,9.65767e-07,0.0,0.0
204.84332938136805,0.0,1.068882e-06,0.0,0.0
204.842942878426,0.0,1.194509e-06,0.0,0.0
204.8425310038056,0.0,1.300228e-06,0.0,0.0
204.84213214795204,0.0,1.381777e-06,0.0,0.0
204.84168912985132,0.0,1.4369e-06,0.0,0.0
204.8412740224902,0.0,1.438777e-06,0.0,0.0
204.84088525088,0.0,1.429245e-06,0.0,0.0
204.84045506526,0.0,1.485256e-06,0.0,0.0
204.84002408819995,0.0,1.539011e-06,0.0,0.0
204.8396386863208,0.0,1.500157e-06,0.0,0.0
204.8391969600256,0.0,1.492983e-06,0.0,0.0
204.83878139577865,0.0,1.421271e-06,0.0,0.0
204.8383659955149,0.0,1.391469e-06,0.0,0.0
204.8379382823425,0.0,1.374487e-06,0.0,0.0
204.8374953268084,0.0,1.365537e-06,0.0,0.0
204.8370994591947,0.0,1.406865e-06,0.0,0.0
204.83667694669225,0.0,1.438049e-06,0.0,0.0
204.83624842794327,0.0,1.453562e-06,0.0,0.0
204.8358276562041,0.0,1.442371e-06,0.0,0.0
204.8354336275912,0.0,1.470631e-06,0.0,0.0
204.8350023969417,0.0,1.462598e-06,0.0,0.0
204.83456043242012,0.0,1.509441e-06,0.0,0.0
204.83417505328129,0.0,1.527034e-06,0.0,0.0
204.83374150866976,0.0,1.534325e-06,0.0,0.0
204.83335649957667,0.0,1.576627e-06,0.0,0.0
204.83293250130453,0.0,1.587396e-06,0.0,0.0
204.83249711782963,0.0,1.532651e-06,0.0,0.0
204.832071737416,0.0,1.459208e-06,0.0,0.0
204.8316640099777,0.0,1.51062e-06,0.0,0.0
204.831248868934,0.0,1.495835e-06,0.0,0.0
204.83084207474704,0.0,1.510576e-06,0.0,0.0
204.83043939610937,0.0,1.520399e-06,0.0,0.0
204.83000349701663,0.0,1.556371e-06,0.0,0.0
204.8295728465426,0.0,1.583045e-06,0.0,0.0
204.8291682550444,0.0,1.566994e-06,0.0,0.0
204.828757004102,0.0,1.532782e-06,0.0,0.0
204.82834153541484,0.0,1.491251e-06,0.0,0.0
204.82791773969825,0.0,1.500157e-06,0.0,0.0
204.82750956606247,0.0,1.591747e-06,0.0,0.0
204.82707852900407,0.0,1.514491e-06,0.0,0.0
204.82665091017867,0.0,1.517779e-06,0.0,0.0
204.82622539054483,0.0,1.381748e-06,0.0,0.0
204.82579252064784,0.0,1.528679e-06,0.0,0.0
204.82537789167472,0.0,1.557462e-06,0.0,0.0
204.82497868975503,0.0,1.564709e-06,0.0,0.0
204.8245388705093,0.0,1.5033e-06,0.0,0.0
204.82410809356347,0.0,1.500433e-06,0.0,0.0
204.8237069643156,0.0,1.606008e-06,0.0,0.0
204.8233000940515,0.0,1.613342e-06,0.0,0.0
204.8228841926712,0.0,1.50071e-06,0.0,0.0
204.82248540670392,0.0,1.540888e-06,0.0,0.0
204.82204507459628,0.0,1.55007e-06,0.0,0.0
204.8216158919547,0.0,1.551074e-06,0.0,0.0
204.82123896606325,0.0,1.597131e-06,0.0,0.0
204.82080771299297,0.0,1.523615e-06,0.0,0.0
204.82039051045948,0.0,1.558161e-06,0.0,0.0
204.81999254389365,0.0,1.529756e-06,0.0,0.0
204.8195512769421,0.0,1.574706e-06,0.0,0.0
204.8191201657084,0.0,1.626846e-06,0.0,0.0
204.8187024745632,0.0,1.617213e-06,0.0,0.0
204.81829654681889,0.0,1.630862e-06,0.0,0.0
204.81789619152056,0.0,1.591354e-06,0.0,0.0
204.81744910675152,0.0,1.628156e-06,0.0,0.0
204.8170255183184,0.0,1.651279e-06,0.0,0.0
204.8165860522232,0.0,1.628214e-06,0.0,0.0
204.8161833072286,0.0,1.647044e-06,0.0,0.0
204.8157677348813,0.0,1.605295e-06,0.0,0.0
204.81535517754727,0.0,1.603636e-06,0.0,0.0
204.8149409207159,0.0,1.546403e-06,0.0,0.0
204.8145202136191,0.0,1.554377e-06,0.0,0.0
204.81412142462264,0.0,1.547189e-06,0.0,0.0
204.8136774167777,0.0,1.50135e-06,0.0,0.0
204.81327379136408,0.0,1.447974e-06,0.0,0.0
204.81287398897524,0.0,1.452398e-06,0.0,0.0
204.8124445313396,0.0,1.46887e-06,0.0,0.0
204.8120234586308,0.0,1.523862e-06,0.0,0.0
204.81160552696596,0.0,1.599154e-06,0.0,0.0
204.81118433253647,0.0,1.602166e-06,0.0,0.0
204.810796473472,0.0,1.55512e-06,0.0,0.0
204.8103560699732,0.0,1.56452e-06,0.0,0.0
204.80993225205845,0.0,1.568405e-06,0.0,0.0
204.80953338236927,0.0,1.573673e-06,0.0,0.0
204.8090889978656,0.0,1.504712e-06,0.0,0.0
