True_depth(m),Y_dimension(mm),meas,Button,Button_raw
209.1584953125,0.0,1.10526e-08,0.0,0.0
209.1582453125,0.0,1.1271650000000001e-08,0.0,0.0
209.1579953125,0.0,1.122465e-08,0.0,0.0
209.1577453125,0.0,1.11533e-08,0.0,0.0
209.1574953125,0.0,1.10876e-08,0.0,0.0
209.1572453125,0.0,1.1344650000000001e-08,0.0,0.0
209.1569953125,0.0,1.17263e-08,0.0,0.0
209.1567453125,0.0,1.194315e-08,0.0,0.0
209.1564953125,0.0,1.2154400000000001e-08,0.0,0.0
209.1562453125,0.0,1.2379366666666663e-08,0.0,0.0
209.1559953125,0.0,1.26341e-08,0.0,0.0
209.1557453125,0.0,1.261925e-08,0.0,0.0
209.1554953125,0.0,1.2857250000000001e-08,0.0,0.0
209.1552453125,0.0,1.32887e-08,0.0,0.0
209.1549953125,0.0,1.316385e-08,0.0,0.0
209.1547453125,0.0,1.34329e-08,0.0,0.0
209.1544953125,0.0,1.33789e-08,0.0,0.0
209.1542453125,0.0,1.32832e-08,0.0,0.0
209.1539953125,0.0,1.34021e-08,0.0,0.0
209.1537453125,0.0,1.33465e-08,0.0,0.0
209.1534953125,0.0,1.339075e-08,0.0,0.0
209.1532453125,0.0,1.3390700000000001e-08,0.0,0.0
209.1529953125,0.0,1.3247700000000001e-08,0.0,0.0
209.1527453125,0.0,1.36895e-08,0.0,0.0
209.1524953125,0.0,1.34943e-08,0.0,0.0
209.1522453125,0.0,1.34746e-08,0.0,0.0
209.1519953125,0.0,1.3322750000000001e-08,0.0,0.0
209.1517453125,0.0,1.34834e-08,0.0,0.0
209.1514953125,0.0,1.32659e-08,0.0,0.0
209.1512453125,0.0,1.33565e-08,0.0,0.0
209.1509953125,0.0,1.360435e-08,0.0,0.0
209.1507453125,0.0,1.3415300000000001e-08,0.0,0.0
209.1504953125,0.0,1.361445e-08,0.0,0.0
209.1502453125,0.0,1.34454e-08,0.0,0.0
209.1499953125,0.0,1.345025e-08,0.0,0.0
209.1497453125,0.0,1.31705e-08,0.0,0.0
209.1494953125,0.0,1.35356e-08,0.0,0.0
209.1492453125,0.0,1.370085e-08,0.0,0.0
209.1489953125,0.0,1.36307e-08,0.0,0.0
209.1487453125,0.0,1.360645e-08,0.0,0.0
209.1484953125,0.0,1.354965e-08,0.0,0.0
209.1482453125,0.0,1.35208e-08,0.0,0.0
209.1479953125,0.0,1.32383e-08,0.0,0.0
209.1477453125,0.0,1.36277e-08,0.0,0.0
209.1474953125,0.0,1.34202e-08,0.0,0.0
209.1472453125,0.0,1.332445e-08,0.0,0.0
209.1469953125,0.0,1.31136e-08,0.0,0.0
209.1467453125,0.0,1.31233e-08,0.0,0.0
209.1464953125,0.0,1.30822e-08,0.0,0.0
209.1462453125,0.0,1.300615e-08,0.0,0.0
209.1459953125,0.0,1.2967700000000001e-08,0.0,0.0
209.1457453125,0.0,1.26706e-08,0.0,0.0
209.1454953125,0.0,1.28799e-08,0.0,0.0
209.1452453125,0.0,1.27784e-08,0.0,0.0
209.1449953125,0.0,1.263375e-08,0.0,0.0
209.1447453125,0.0,1.26569e-08,0.0,0.0
209.1444953125,0.0,1.26506e-08,0.0,0.0
209.1442453125,0.0,1.253785e-08,0.0,0.0
209.1439953125,0.0,1.25643e-08,0.0,0.0
209.1437453125,0.0,1.260755e-08,0.0,0.0
209.1434953125,0.0,1.26097e-08,0.0,0.0
209.1432453125,0.0,1.26687e-08,0.0,0.0
209.1429953125,0.0,1.26071e-08,0.0,0.0
209.1427453125,0.0,1.258435e-08,0.0,0.0
209.1424953125,0.0,1.24095e-08,0.0,0.0
209.1422453125,0.0,1.25524e-08,0.0,0.0
209.1419953125,0.0,1.20349e-08,0.0,0.0
209.1417453125,0.0,1.24122e-08,0.0,0.0
209.1414953125,0.0,1.229225e-08,0.0,0.0
209.1412453125,0.0,1.239415e-08,0.0,0.0
209.1409953125,0.0,1.22781e-08,0.0,0.0
209.1407453125,0.0,1.23889e-08,0.0,0.0
209.1404953125,0.0,1.2242e-08,0.0,0.0
209.1402453125,0.0,1.2176000000000001e-08,0.0,0.0
209.1399953125,0.0,1.21528e-08,0.0,0.0
209.1397453125,0.0,1.217855e-08,0.0,0.0
209.1394953125,0.0,1.2055700000000001e-08,0.0,0.0
209.1392453125,0.0,1.22215e-08,0.0,0.0
209.1389953125,0.0,1.2187e-08,0.0,0.0
209.1387453125,0.0,1.23655e-08,0.0,0.0
209.1384953125,0.0,1.201845e-08,0.0,0.0
209.1382453125,0.0,1.207e-08,0.0,0.0
209.1379953125,0.0,1.20482e-08,0.0,0.0
209.1377453125,0.0,1.1907e-08,0.0,0.0
209.1374953125,0.0,1.186775e-08,0.0,0.0
209.1372453125,0.0,1.196265e-08,0.0,0.0
209.1369953125,0.0,1.1874000000000001e-08,0.0,0.0
209.1367453125,0.0,1.2140600000000001e-08,0.0,0.0
209.1364953125,0.0,1.20193e-08,0.0,0.0
209.1362453125,0.0,1.20785e-08,0.0,0.0
209.1359953125,0.0,1.19953e-08,0.0,0.0
209.1357453125,0.0,1.18768e-08,0.0,0.0
209.1354953125,0.0,1.197355e-08,0.0,0.0
209.1352453125,0.0,1.1892050000000001e-08,0.0,0.0
209.1349953125,0.0,1.16326e-08,0.0,0.0
209.1347453125,0.0,1.1842700000000001e-08,0.0,0.0
