True_depth(m),Y_dimension(mm),meas,Button,Button_raw
210.8380546875,0.0,1.4561875e-08,1.0,0.0
210.8378046875,0.0,1.461275e-08,1.0,0.0
210.8375546875,0.0,1.47922e-08,1.0,0.0
210.8373046875,0.0,1.45688e-08,1.0,0.0
210.8370546875,0.0,1.468785e-08,1.0,0.0
210.8368046875,0.0,1.52437e-08,1.0,0.0
210.8365546875,0.0,1.5313900000000002e-08,1.0,0.0
210.8363046875,0.0,1.54956e-08,1.0,0.0
210.8360546875,0.0,1.5673499999999998e-08,1.0,0.0
210.8358046875,0.0,1.59079e-08,1.0,0.0
210.8355546875,0.0,1.61386e-08,1.0,0.0
210.8353046875,0.0,1.6131e-08,1.0,0.0
210.8350546875,0.0,1.5941e-08,1.0,0.0
210.8348046875,0.0,1.57093e-08,1.0,0.0
210.8345546875,0.0,1.57847e-08,1.0,0.0
210.8343046875,0.0,1.586775e-08,1.0,0.0
210.8340546875,0.0,1.5885949999999998e-08,1.0,0.0
210.8338046875,0.0,1.547155e-08,1.0,0.0
210.8335546875,0.0,1.550955e-08,1.0,0.0
210.8333046875,0.0,1.532025e-08,1.0,0.0
210.8330546875,0.0,1.52325e-08,1.0,0.0
210.8328046875,0.0,1.53469e-08,1.0,0.0
210.8325546875,0.0,1.52505e-08,1.0,0.0
210.8323046875,0.0,1.525685e-08,1.0,0.0
210.8320546875,0.0,1.523755e-08,1.0,0.0
210.8318046875,0.0,1.57904e-08,1.0,0.0
210.8315546875,0.0,1.53847e-08,1.0,0.0
210.8313046875,0.0,1.5293833333333333e-08,1.0,0.0
210.8310546875,0.0,1.51093e-08,1.0,0.0
210.8308046875,0.0,1.5339250000000003e-08,1.0,0.0
210.8305546875,0.0,1.541745e-08,1.0,0.0
210.8303046875,0.0,1.5231099999999998e-08,1.0,0.0
210.8300546875,0.0,1.507565e-08,1.0,0.0
210.8298046875,0.0,1.53814e-08,1.0,0.0
210.8295546875,0.0,1.535015e-08,1.0,0.0
210.8293046875,0.0,1.54607e-08,1.0,0.0
210.8290546875,0.0,1.475995e-08,1.0,0.0
210.8288046875,0.0,1.502825e-08,1.0,0.0
