True_depth(m),Y_dimension(mm),meas,Button,Button_raw
211.024290625,0.0,8.081512500000001e-09,0.0,0.0
211.024040625,0.0,8.501449999999997e-09,0.0,0.0
211.023790625,0.0,8.705699999999999e-09,0.0,0.0
211.023540625,0.0,8.764123333333332e-09,0.0,0.0
211.023290625,0.0,9.663255e-09,0.0,0.0
211.023040625,0.0,9.56572e-09,0.0,0.0
211.022790625,0.0,1.0134725e-08,0.0,0.0
211.022540625,0.0,1.01791e-08,0.0,0.0
211.022290625,0.0,1.084375e-08,0.0,0.0
211.022040625,0.0,1.06847e-08,0.0,0.0
211.021790625,0.0,1.1161e-08,0.0,0.0
211.021540625,0.0,1.1692266666666666e-08,0.0,0.0
211.021290625,0.0,1.17946e-08,0.0,0.0
211.021040625,0.0,1.214225e-08,0.0,0.0
211.020790625,0.0,1.233265e-08,0.0,0.0
211.020540625,0.0,1.26954e-08,0.0,0.0
211.020290625,0.0,1.320015e-08,0.0,0.0
211.020040625,0.0,1.31208e-08,0.0,0.0
211.019790625,0.0,1.36307e-08,0.0,0.0
211.019540625,0.0,1.35622e-08,0.0,0.0
211.019290625,0.0,1.37275e-08,0.0,0.0
211.019040625,0.0,1.3695150000000001e-08,0.0,0.0
211.018790625,0.0,1.38858e-08,0.0,0.0
211.018540625,0.0,1.4274733333333332e-08,0.0,0.0
211.018290625,0.0,1.455025e-08,0.0,0.0
211.018040625,0.0,1.47602e-08,0.0,0.0
211.017790625,0.0,1.489005e-08,0.0,0.0
211.017540625,0.0,1.501725e-08,0.0,0.0
211.017290625,0.0,1.528625e-08,0.0,0.0
211.017040625,0.0,1.54095e-08,0.0,0.0
211.016790625,0.0,1.5218249999999995e-08,0.0,0.0
211.016540625,0.0,1.5045650000000002e-08,0.0,0.0
211.016290625,0.0,1.49004e-08,0.0,0.0
211.016040625,0.0,1.498025e-08,0.0,0.0
211.015790625,0.0,1.5054e-08,0.0,0.0
211.015540625,0.0,1.49982e-08,0.0,0.0
211.015290625,0.0,1.491525e-08,0.0,0.0
211.015040625,0.0,1.50169e-08,0.0,0.0
211.014790625,0.0,1.518415e-08,0.0,0.0
211.014540625,0.0,1.53849e-08,0.0,0.0
211.014290625,0.0,1.4914233333333334e-08,0.0,0.0
211.014040625,0.0,1.49364e-08,0.0,0.0
211.013790625,0.0,1.468635e-08,0.0,0.0
211.013540625,0.0,1.49299e-08,0.0,0.0
211.013290625,0.0,1.46243e-08,0.0,0.0
211.013040625,0.0,1.45149e-08,0.0,0.0
211.012790625,0.0,1.44558e-08,0.0,0.0
211.012540625,0.0,1.4894400000000001e-08,0.0,0.0
211.012290625,0.0,1.4785300000000001e-08,0.0,0.0
211.012040625,0.0,1.46384e-08,0.0,0.0
211.011790625,0.0,1.45628e-08,0.0,0.0
211.011540625,0.0,1.49564e-08,0.0,0.0
211.011290625,0.0,1.527235e-08,0.0,0.0
211.011040625,0.0,1.4876500000000001e-08,0.0,0.0
211.010790625,0.0,1.4845600000000001e-08,0.0,0.0
211.010540625,0.0,1.454845e-08,0.0,0.0
211.010290625,0.0,1.45949e-08,0.0,0.0
211.010040625,0.0,1.4689200000000001e-08,0.0,0.0
211.009790625,0.0,1.43901e-08,0.0,0.0
211.009540625,0.0,1.41315e-08,0.0,0.0
211.009290625,0.0,1.419025e-08,0.0,0.0
211.009040625,0.0,1.39097e-08,0.0,0.0
211.008790625,0.0,1.384435e-08,0.0,0.0
211.008540625,0.0,1.413985e-08,0.0,0.0
211.008290625,0.0,1.44306e-08,0.0,0.0
211.008040625,0.0,1.40144e-08,0.0,0.0
211.007790625,0.0,1.38903e-08,0.0,0.0
211.007540625,0.0,1.40562e-08,0.0,0.0
211.007290625,0.0,1.38581e-08,0.0,0.0
211.007040625,0.0,1.4304e-08,0.0,0.0
211.006790625,0.0,1.414615e-08,0.0,0.0
211.006540625,0.0,1.410865e-08,0.0,0.0
211.006290625,0.0,1.412215e-08,0.0,0.0
211.006040625,0.0,1.39084e-08,0.0,0.0
211.005790625,0.0,1.443015e-08,0.0,0.0
211.005540625,0.0,1.433495e-08,0.0,0.0
211.005290625,0.0,1.40116e-08,0.0,0.0
211.005040625,0.0,1.40862e-08,0.0,0.0
211.004790625,0.0,1.403785e-08,0.0,0.0
211.004540625,0.0,1.414735e-08,0.0,0.0
211.004290625,0.0,1.40643e-08,0.0,0.0
211.004040625,0.0,1.3677e-08,0.0,0.0
211.003790625,0.0,1.368565e-08,0.0,0.0
211.003540625,0.0,1.36065e-08,0.0,0.0
211.003290625,0.0,1.3871250000000001e-08,0.0,0.0
211.003040625,0.0,1.389825e-08,0.0,0.0
211.002790625,0.0,1.383805e-08,0.0,0.0
211.002540625,0.0,1.38092e-08,0.0,0.0
211.002290625,0.0,1.3942200000000001e-08,0.0,0.0
211.002040625,0.0,1.34222e-08,0.0,0.0
211.001790625,0.0,1.39861e-08,0.0,0.0
211.001540625,0.0,1.376565e-08,0.0,0.0
211.001290625,0.0,1.349245e-08,0.0,0.0
211.001040625,0.0,1.36894e-08,0.0,0.0
211.000790625,0.0,1.3979250000000001e-08,0.0,0.0
211.000540625,0.0,1.41618e-08,0.0,0.0
211.000290625,0.0,1.42002e-08,0.0,0.0
211.000040625,0.0,1.42629e-08,0.0,0.0
210.999790625,0.0,1.386205e-08,0.0,0.0
210.999540625,0.0,1.391385e-08,0.0,0.0
210.999290625,0.0,1.37073e-08,0.0,0.0
210.999040625,0.0,1.346185e-08,0.0,0.0
210.998790625,0.0,1.37567e-08,0.0,0.0
210.998540625,0.0,1.358775e-08,0.0,0.0
210.998290625,0.0,1.3482e-08,0.0,0.0
210.998040625,0.0,1.35624e-08,0.0,0.0
210.997790625,0.0,1.341375e-08,0.0,0.0
210.997540625,0.0,1.3377300000000001e-08,0.0,0.0
210.997290625,0.0,1.35493e-08,0.0,0.0
210.997040625,0.0,1.34733e-08,0.0,0.0
210.996790625,0.0,1.3526799999999998e-08,0.0,0.0
210.996540625,0.0,1.36304e-08,0.0,0.0
210.996290625,0.0,1.32793e-08,0.0,0.0
210.996040625,0.0,1.353435e-08,0.0,0.0
210.995790625,0.0,1.3559000000000001e-08,0.0,0.0
210.995540625,0.0,1.34469e-08,0.0,0.0
210.995290625,0.0,1.3486800000000001e-08,0.0,0.0
210.995040625,0.0,1.3497e-08,0.0,0.0
210.994790625,0.0,1.32958e-08,0.0,0.0
210.994540625,0.0,1.3146250000000001e-08,0.0,0.0
210.994290625,0.0,1.32673e-08,0.0,0.0
210.994040625,0.0,1.31333e-08,0.0,0.0
210.993790625,0.0,1.312715e-08,0.0,0.0
210.993540625,0.0,1.30932e-08,0.0,0.0
210.993290625,0.0,1.31463e-08,0.0,0.0
210.993040625,0.0,1.30677e-08,0.0,0.0
210.992790625,0.0,1.344205e-08,0.0,0.0
210.992540625,0.0,1.34995e-08,0.0,0.0
210.992290625,0.0,1.3369100000000001e-08,0.0,0.0
210.992040625,0.0,1.34701e-08,0.0,0.0
210.991790625,0.0,1.3338e-08,0.0,0.0
210.991540625,0.0,1.3085666666666666e-08,0.0,0.0
210.991290625,0.0,1.36074e-08,0.0,0.0
210.991040625,0.0,1.39099e-08,0.0,0.0
210.990790625,0.0,1.400955e-08,0.0,0.0
210.990540625,0.0,1.4053900000000001e-08,0.0,0.0
210.990290625,0.0,1.42214e-08,0.0,0.0
210.990040625,0.0,1.424405e-08,0.0,0.0
210.989790625,0.0,1.435915e-08,0.0,0.0
210.989540625,0.0,1.485905e-08,0.0,0.0
210.989290625,0.0,1.485975e-08,0.0,0.0
210.989040625,0.0,1.464525e-08,0.0,0.0
210.988790625,0.0,1.477945e-08,0.0,0.0
210.988540625,0.0,1.47589e-08,0.0,0.0
210.988290625,0.0,1.44584e-08,0.0,0.0
210.988040625,0.0,1.46939e-08,0.0,0.0
210.987790625,0.0,1.45565e-08,0.0,0.0
210.987540625,0.0,1.468705e-08,0.0,0.0
210.987290625,0.0,1.47184e-08,0.0,0.0
210.987040625,0.0,1.474695e-08,0.0,0.0
210.986790625,0.0,1.4604850000000001e-08,0.0,0.0
210.986540625,0.0,1.47602e-08,0.0,0.0
210.986290625,0.0,1.4499450000000001e-08,0.0,0.0
210.986040625,0.0,1.448275e-08,0.0,0.0
210.985790625,0.0,1.46849e-08,0.0,0.0
210.985540625,0.0,1.4415500000000001e-08,0.0,0.0
210.985290625,0.0,1.46143e-08,0.0,0.0
210.985040625,0.0,1.45638e-08,0.0,0.0
210.984790625,0.0,1.4463750000000001e-08,0.0,0.0
210.984540625,0.0,1.44647e-08,0.0,0.0
210.984290625,0.0,1.481125e-08,0.0,0.0
210.984040625,0.0,1.442105e-08,0.0,0.0
210.983790625,0.0,1.499365e-08,0.0,0.0
210.983540625,0.0,1.49841e-08,0.0,0.0
210.983290625,0.0,1.50887e-08,0.0,0.0
210.983040625,0.0,1.4597933333333332e-08,0.0,0.0
210.982790625,0.0,1.47418e-08,0.0,0.0
210.982540625,0.0,1.488465e-08,0.0,0.0
210.982290625,0.0,1.48622e-08,0.0,0.0
210.982040625,0.0,1.487405e-08,0.0,0.0
210.981790625,0.0,1.4475650000000001e-08,0.0,0.0
210.981540625,0.0,1.46202e-08,0.0,0.0
210.981290625,0.0,1.477825e-08,0.0,0.0
210.981040625,0.0,1.474595e-08,0.0,0.0
210.980790625,0.0,1.46052e-08,0.0,0.0
210.980540625,0.0,1.5029750000000003e-08,0.0,0.0
210.980290625,0.0,1.458465e-08,0.0,0.0
210.980040625,0.0,1.472845e-08,0.0,0.0
210.979790625,0.0,1.492195e-08,0.0,0.0
210.979540625,0.0,1.4776e-08,0.0,0.0
210.979290625,0.0,1.47306e-08,0.0,0.0
210.979040625,0.0,1.49734e-08,0.0,0.0
210.978790625,0.0,1.46648e-08,0.0,0.0
210.978540625,0.0,1.51024e-08,0.0,0.0
210.978290625,0.0,1.47006e-08,0.0,0.0
210.978040625,0.0,1.4898966666666669e-08,0.0,0.0
210.977790625,0.0,1.481145e-08,0.0,0.0
210.977540625,0.0,1.48591e-08,0.0,0.0
210.977290625,0.0,1.477495e-08,0.0,0.0
210.977040625,0.0,1.49882e-08,0.0,0.0
210.976790625,0.0,1.499355e-08,0.0,0.0
210.976540625,0.0,1.57945e-08,0.0,0.0
210.976290625,0.0,1.501485e-08,0.0,0.0
210.976040625,0.0,1.53484e-08,0.0,0.0
210.975790625,0.0,1.501345e-08,0.0,0.0
210.975540625,0.0,1.5003e-08,0.0,0.0
210.975290625,0.0,1.51058e-08,0.0,0.0
210.975040625,0.0,1.526325e-08,0.0,0.0
210.974790625,0.0,1.46946e-08,0.0,0.0
210.974540625,0.0,1.47993e-08,0.0,0.0
210.974290625,0.0,1.479225e-08,0.0,0.0
210.974040625,0.0,1.48513e-08,0.0,0.0
210.973790625,0.0,1.473375e-08,0.0,0.0
210.973540625,0.0,1.45307e-08,0.0,0.0
210.973290625,0.0,1.4882449999999998e-08,0.0,0.0
210.973040625,0.0,1.443175e-08,0.0,0.0
210.972790625,0.0,1.37082e-08,0.0,0.0
210.972540625,0.0,1.45367e-08,0.0,0.0
210.972290625,0.0,1.4592400000000001e-08,0.0,0.0
210.972040625,0.0,1.452565e-08,0.0,0.0
210.971790625,0.0,1.45262e-08,0.0,0.0
210.971540625,0.0,1.4499850000000001e-08,0.0,0.0
210.971290625,0.0,1.45333e-08,0.0,0.0
210.971040625,0.0,1.485155e-08,0.0,0.0
210.970790625,0.0,1.4460350000000001e-08,0.0,0.0
210.970540625,0.0,1.4600200000000001e-08,0.0,0.0
210.970290625,0.0,1.4588300000000001e-08,0.0,0.0
210.970040625,0.0,1.481495e-08,0.0,0.0
210.969790625,0.0,1.458595e-08,0.0,0.0
210.969540625,0.0,1.47249e-08,0.0,0.0
210.969290625,0.0,1.46246e-08,0.0,0.0
210.969040625,0.0,1.463145e-08,0.0,0.0
210.968790625,0.0,1.455315e-08,0.0,0.0
210.968540625,0.0,1.46395e-08,0.0,0.0
210.968290625,0.0,1.438175e-08,0.0,0.0
210.968040625,0.0,1.4807450000000001e-08,0.0,0.0
210.967790625,0.0,1.447815e-08,0.0,0.0
210.967540625,0.0,1.43643e-08,0.0,0.0
210.967290625,0.0,1.491105e-08,0.0,0.0
210.967040625,0.0,1.47564e-08,0.0,0.0
210.966790625,0.0,1.464185e-08,0.0,0.0
210.966540625,0.0,1.462335e-08,0.0,0.0
210.966290625,0.0,1.4680450000000001e-08,0.0,0.0
210.966040625,0.0,1.507915e-08,0.0,0.0
210.965790625,0.0,1.44847e-08,0.0,0.0
210.965540625,0.0,1.46968e-08,0.0,0.0
210.965290625,0.0,1.46962e-08,0.0,0.0
210.965040625,0.0,1.470995e-08,0.0,0.0
210.964790625,0.0,1.44562e-08,0.0,0.0
210.964540625,0.0,1.4233400000000001e-08,0.0,0.0
210.964290625,0.0,1.44649e-08,0.0,0.0
210.964040625,0.0,1.438495e-08,0.0,0.0
210.963790625,0.0,1.43261e-08,0.0,0.0
210.963540625,0.0,1.43678e-08,0.0,0.0
210.963290625,0.0,1.41841e-08,0.0,0.0
210.963040625,0.0,1.43769e-08,0.0,0.0
210.962790625,0.0,1.412565e-08,0.0,0.0
210.962540625,0.0,1.48156e-08,0.0,0.0
210.962290625,0.0,1.4790100000000001e-08,0.0,0.0
210.962040625,0.0,1.434175e-08,0.0,0.0
210.961790625,0.0,1.35464e-08,0.0,0.0
210.961540625,0.0,1.451985e-08,0.0,0.0
210.961290625,0.0,1.43536e-08,0.0,0.0
210.961040625,0.0,1.439365e-08,0.0,0.0
210.960790625,0.0,1.4238e-08,0.0,0.0
210.960540625,0.0,1.4360633333333336e-08,0.0,0.0
210.960290625,0.0,1.454105e-08,0.0,0.0
210.960040625,0.0,1.417025e-08,0.0,0.0
210.959790625,0.0,1.43634e-08,0.0,0.0
210.959540625,0.0,1.447345e-08,0.0,0.0
210.959290625,0.0,1.444665e-08,0.0,0.0
210.959040625,0.0,1.44023e-08,0.0,0.0
210.958790625,0.0,1.41799e-08,0.0,0.0
210.958540625,0.0,1.437525e-08,0.0,0.0
210.958290625,0.0,1.441935e-08,0.0,0.0
210.958040625,0.0,1.43497e-08,0.0,0.0
210.957790625,0.0,1.40627e-08,0.0,0.0
210.957540625,0.0,1.424095e-08,0.0,0.0
210.957290625,0.0,1.44743e-08,0.0,0.0
210.957040625,0.0,1.43798e-08,0.0,0.0
210.956790625,0.0,1.4536500000000001e-08,0.0,0.0
210.956540625,0.0,1.43371e-08,0.0,0.0
210.956290625,0.0,1.451595e-08,0.0,0.0
210.956040625,0.0,1.417335e-08,0.0,0.0
210.955790625,0.0,1.415045e-08,0.0,0.0
210.955540625,0.0,1.44358e-08,0.0,0.0
210.955290625,0.0,1.4401000000000001e-08,0.0,0.0
210.955040625,0.0,1.42823e-08,0.0,0.0
210.954790625,0.0,1.44387e-08,0.0,0.0
210.954540625,0.0,1.41737e-08,0.0,0.0
210.954290625,0.0,1.43011e-08,0.0,0.0
210.954040625,0.0,1.41404e-08,0.0,0.0
210.953790625,0.0,1.47758e-08,0.0,0.0
210.953540625,0.0,1.4545866666666668e-08,0.0,0.0
210.953290625,0.0,1.41276e-08,0.0,0.0
210.953040625,0.0,1.4101750000000001e-08,0.0,0.0
210.952790625,0.0,1.44134e-08,0.0,0.0
210.952540625,0.0,1.4425350000000001e-08,0.0,0.0
210.952290625,0.0,1.453765e-08,0.0,0.0
210.952040625,0.0,1.46239e-08,0.0,0.0
210.951790625,0.0,1.45055e-08,0.0,0.0
210.951540625,0.0,1.45346e-08,0.0,0.0
210.951290625,0.0,1.399475e-08,0.0,0.0
210.951040625,0.0,1.39006e-08,0.0,0.0
210.950790625,0.0,1.42318e-08,0.0,0.0
210.950540625,0.0,1.39928e-08,0.0,0.0
210.950290625,0.0,1.44484e-08,0.0,0.0
210.950040625,0.0,1.407865e-08,0.0,0.0
210.949790625,0.0,1.41167e-08,0.0,0.0
210.949540625,0.0,1.41227e-08,0.0,0.0
210.949290625,0.0,1.385585e-08,0.0,0.0
210.949040625,0.0,1.355465e-08,0.0,0.0
210.948790625,0.0,1.428e-08,0.0,0.0
210.948540625,0.0,1.43129e-08,0.0,0.0
210.948290625,0.0,1.44225e-08,0.0,0.0
210.948040625,0.0,1.4298200000000001e-08,0.0,0.0
210.947790625,0.0,1.4459800000000001e-08,0.0,0.0
210.947540625,0.0,1.390915e-08,0.0,0.0
210.947290625,0.0,1.412565e-08,0.0,0.0
210.947040625,0.0,1.39402e-08,0.0,0.0
210.946790625,0.0,1.3715400000000001e-08,0.0,0.0
210.946540625,0.0,1.3660433333333334e-08,0.0,0.0
210.946290625,0.0,1.375755e-08,0.0,0.0
210.946040625,0.0,1.39294e-08,0.0,0.0
210.945790625,0.0,1.36771e-08,0.0,0.0
210.945540625,0.0,1.40341e-08,0.0,0.0
210.945290625,0.0,1.40442e-08,0.0,0.0
210.945040625,0.0,1.37592e-08,0.0,0.0
210.944790625,0.0,1.3733850000000001e-08,0.0,0.0
210.944540625,0.0,1.37231e-08,0.0,0.0
210.944290625,0.0,1.3689550000000001e-08,0.0,0.0
210.944040625,0.0,1.4125e-08,0.0,0.0
210.943790625,0.0,1.41428e-08,0.0,0.0
210.943540625,0.0,1.40102e-08,0.0,0.0
210.943290625,0.0,1.398755e-08,0.0,0.0
210.943040625,0.0,1.39156e-08,0.0,0.0
210.942790625,0.0,1.38741e-08,0.0,0.0
210.942540625,0.0,1.3366666666666669e-08,0.0,0.0
210.942290625,0.0,1.388425e-08,0.0,0.0
210.942040625,0.0,1.3910900000000001e-08,0.0,0.0
210.941790625,0.0,1.393125e-08,0.0,0.0
210.941540625,0.0,1.418455e-08,0.0,0.0
210.941290625,0.0,1.430345e-08,0.0,0.0
210.941040625,0.0,1.39767e-08,0.0,0.0
210.940790625,0.0,1.413375e-08,0.0,0.0
210.940540625,0.0,1.377915e-08,0.0,0.0
210.940290625,0.0,1.36861e-08,0.0,0.0
210.940040625,0.0,1.34137e-08,0.0,0.0
210.939790625,0.0,1.384475e-08,0.0,0.0
210.939540625,0.0,1.394155e-08,0.0,0.0
210.939290625,0.0,1.40298e-08,0.0,0.0
210.939040625,0.0,1.41071e-08,0.0,0.0
210.938790625,0.0,1.430825e-08,0.0,0.0
210.938540625,0.0,1.39384e-08,0.0,0.0
210.938290625,0.0,1.44097e-08,0.0,0.0
210.938040625,0.0,1.40142e-08,0.0,0.0
210.937790625,0.0,1.4008e-08,0.0,0.0
210.937540625,0.0,1.41466e-08,0.0,0.0
210.937290625,0.0,1.39142e-08,0.0,0.0
210.937040625,0.0,1.40479e-08,0.0,0.0
210.936790625,0.0,1.37268e-08,0.0,0.0
210.936540625,0.0,1.40723e-08,0.0,0.0
210.936290625,0.0,1.41881e-08,0.0,0.0
210.936040625,0.0,1.4654600000000001e-08,0.0,0.0
210.935790625,0.0,1.444515e-08,0.0,0.0
210.935540625,0.0,1.3947e-08,0.0,0.0
210.935290625,0.0,1.459155e-08,0.0,0.0
210.935040625,0.0,1.43716e-08,0.0,0.0
210.934790625,0.0,1.4153700000000001e-08,0.0,0.0
210.934540625,0.0,1.459015e-08,0.0,0.0
210.934290625,0.0,1.434175e-08,0.0,0.0
210.934040625,0.0,1.4546e-08,0.0,0.0
210.933790625,0.0,1.42838e-08,0.0,0.0
210.933540625,0.0,1.407705e-08,0.0,0.0
210.933290625,0.0,1.3957e-08,0.0,0.0
210.933040625,0.0,1.42389e-08,0.0,0.0
210.932790625,0.0,1.47008e-08,0.0,0.0
210.932540625,0.0,1.43446e-08,0.0,0.0
210.932290625,0.0,1.411755e-08,0.0,0.0
210.932040625,0.0,1.4067e-08,0.0,0.0
210.931790625,0.0,1.394495e-08,0.0,0.0
210.931540625,0.0,1.418465e-08,0.0,0.0
210.931290625,0.0,1.41679e-08,0.0,0.0
210.931040625,0.0,1.3482150000000001e-08,0.0,0.0
210.930790625,0.0,1.392105e-08,0.0,0.0
210.930540625,0.0,1.428295e-08,0.0,0.0
210.930290625,0.0,1.39496e-08,0.0,0.0
210.930040625,0.0,1.400095e-08,0.0,0.0
210.929790625,0.0,1.413115e-08,0.0,0.0
210.929540625,0.0,1.418325e-08,0.0,0.0
210.929290625,0.0,1.41155e-08,0.0,0.0
210.929040625,0.0,1.40946e-08,0.0,0.0
210.928790625,0.0,1.419705e-08,0.0,0.0
210.928540625,0.0,1.416455e-08,0.0,0.0
210.928290625,0.0,1.416755e-08,0.0,0.0
210.928040625,0.0,1.40552e-08,0.0,0.0
210.927790625,0.0,1.35586e-08,0.0,0.0
210.927540625,0.0,1.3883550000000001e-08,0.0,0.0
210.927290625,0.0,1.37803e-08,0.0,0.0
210.927040625,0.0,1.400025e-08,0.0,0.0
210.926790625,0.0,1.407925e-08,0.0,0.0
210.926540625,0.0,1.35709e-08,0.0,0.0
210.926290625,0.0,1.3960650000000001e-08,0.0,0.0
210.926040625,0.0,1.38665e-08,0.0,0.0
210.925790625,0.0,1.387415e-08,0.0,0.0
210.925540625,0.0,1.337845e-08,0.0,0.0
210.925290625,0.0,1.4425e-08,0.0,0.0
210.925040625,0.0,1.354795e-08,0.0,0.0
210.924790625,0.0,1.405045e-08,0.0,0.0
210.924540625,0.0,1.37357e-08,0.0,0.0
210.924290625,0.0,1.39226e-08,0.0,0.0
210.924040625,0.0,1.42717e-08,0.0,0.0
210.923790625,0.0,1.416605e-08,0.0,0.0
210.923540625,0.0,1.415865e-08,0.0,0.0
210.923290625,0.0,1.38839e-08,0.0,0.0
210.923040625,0.0,1.36124e-08,0.0,0.0
210.922790625,0.0,1.376645e-08,0.0,0.0
210.922540625,0.0,1.337695e-08,0.0,0.0
210.922290625,0.0,1.35659e-08,0.0,0.0
210.922040625,0.0,1.345625e-08,0.0,0.0
210.921790625,0.0,1.355935e-08,0.0,0.0
210.921540625,0.0,1.344045e-08,0.0,0.0
210.921290625,0.0,1.3586600000000001e-08,0.0,0.0
210.921040625,0.0,1.34243e-08,0.0,0.0
210.920790625,0.0,1.3333150000000001e-08,0.0,0.0
210.920540625,0.0,1.365635e-08,0.0,0.0
210.920290625,0.0,1.3568e-08,0.0,0.0
210.920040625,0.0,1.3452500000000001e-08,0.0,0.0
210.919790625,0.0,1.33267e-08,0.0,0.0
210.919540625,0.0,1.4067366666666668e-08,0.0,0.0
210.919290625,0.0,1.3397400000000001e-08,0.0,0.0
210.919040625,0.0,1.376825e-08,0.0,0.0
210.918790625,0.0,1.36563e-08,0.0,0.0
210.918540625,0.0,1.331675e-08,0.0,0.0
210.918290625,0.0,1.35272e-08,0.0,0.0
210.918040625,0.0,1.31231e-08,0.0,0.0
210.917790625,0.0,1.3390700000000001e-08,0.0,0.0
210.917540625,0.0,1.337655e-08,0.0,0.0
210.917290625,0.0,1.33967e-08,0.0,0.0
210.917040625,0.0,1.328175e-08,0.0,0.0
210.916790625,0.0,1.385425e-08,0.0,0.0
210.916540625,0.0,1.365095e-08,0.0,0.0
210.916290625,0.0,1.35993e-08,0.0,0.0
210.916040625,0.0,1.36228e-08,0.0,0.0
210.915790625,0.0,1.37181e-08,0.0,0.0
210.915540625,0.0,1.42172e-08,0.0,0.0
210.915290625,0.0,1.39691e-08,0.0,0.0
210.915040625,0.0,1.364315e-08,0.0,0.0
210.914790625,0.0,1.37687e-08,0.0,0.0
210.914540625,0.0,1.3096900000000001e-08,0.0,0.0
210.914290625,0.0,1.38163e-08,0.0,0.0
210.914040625,0.0,1.33723e-08,0.0,0.0
210.913790625,0.0,1.325585e-08,0.0,0.0
210.913540625,0.0,1.325165e-08,0.0,0.0
210.913290625,0.0,1.37958e-08,0.0,0.0
210.913040625,0.0,1.326655e-08,0.0,0.0
210.912790625,0.0,1.35155e-08,0.0,0.0
210.912540625,0.0,1.35236e-08,0.0,0.0
210.912290625,0.0,1.33625e-08,0.0,0.0
210.912040625,0.0,1.3752e-08,0.0,0.0
210.911790625,0.0,1.40136e-08,0.0,0.0
210.911540625,0.0,1.3462600000000001e-08,0.0,0.0
210.911290625,0.0,1.3324400000000001e-08,0.0,0.0
210.911040625,0.0,1.357915e-08,0.0,0.0
210.910790625,0.0,1.37152e-08,0.0,0.0
210.910540625,0.0,1.38685e-08,0.0,0.0
210.910290625,0.0,1.38015e-08,0.0,0.0
210.910040625,0.0,1.3706650000000001e-08,0.0,0.0
210.909790625,0.0,1.31737e-08,0.0,0.0
