,Filename (includes date): ,DC Collect Speed: ,DC Voltage: ,Note: ,mm per encode step: ,Number of Expected tracks (DC): ,Number of Expected tracks (AC): ,ACDC offset: ,Laser offset: ,Index Mark (raw - not laser corrected): ,from GUI: Index Mark Relative Depth: ,from GUI: Index Mark Absolute Depth: ,X min Position (raw - not laser corrected): ,X max Position (raw - not laser corrected): ,Tube top depth (m),Distance to top of tube (mm),Measurment top depth (m),AC,DC,Good to use?,Additional Notes
1,2023-05-25-07-29-DIC1-222.txt,25,1000,first run of day,0.25,,,239.5,20.8,364.5421875,0,,392.7484375,714.7109375,203.374,0,203.374,0,1,1,this is really 222a
10,2023-05-25-07-52-DIC1-222.txt,25,1000,try again on AC,0.25,,,239.5,20.8,364.5421875,0,,363.4,756.8,203.374,0,203.374,1,0,1,"this is really 222a. Index mark here was 0.567, which can't be right, so I've changed it to match the DC run"
18,2023-05-25-08-17-dic1-222b.txt,25,1000,seccond peice of dic1-222,0.25,,,239.5,20.8,480.4859375,0,,480.484375,725.9734375,203.374,379,203.753,1,0,1,
12,2023-05-25-08-37-dic1-222b.txt,25,1000,dc run on 2nd peice of dic1-222,0.25,,,239.5,20.8,480.5578125,0,,497.2734375,696.153125,203.374,379,203.753,0,1,1,
14,2023-05-25-09-14-dic1-223e.txt,25,1000,fifth piece of 223e - dc,0.25,,,239.5,20.8,445.1984375,0,,463.56,624.08,204.111,555,204.666,0,1,1,EDIT - I took a meter off this as I think it's wrong - should be 1m deeper. See notes doc. I also was forced to change the index mark - it was basically zero and can't be right
19,2023-05-25-09-24-dic1-223e.txt,25,1000,fifth peice of 223e - ac,0.25,,,239.5,20.8,445.1984375,0,,445.1984375,659.55,204.111,555,204.666,1,0,1,
15,2023-05-25-09-58-dic1-224abc.txt,25,1000,three peices from 224,0.25,,,239.5,20.8,220.5921875,0,,220.5859375,888.5859375,204.935,0,204.935,1,0,1,EDIT - I took a meter off this as I think it's wrong - should be 1m deeper. See notes doc
4,2023-05-25-10-24-dic1-224abc.txt,25,1000,dc run of 3 chunks from 224,0.25,,,239.5,20.8,221.8671875,0,,239.646875,864.8421875,204.935,0,204.935,0,1,1,
5,2023-05-25-12-33-dic1-225cd.txt,25,1000,tube top depth is 205.995,0.25,,,239.5,20.8,433.015625,0,,433.015625,759.2265625,205.995,190,206.185,1,0,1,
9,2023-05-25-12-51-dic1-225cd.txt,25,1000,3rd and 4th peices of 225 - startign 1cm from left edge due to step at the break.,0.25,,,239.5,20.8,433.91875,0,,461.365625,725.7234375,205.995,190,206.185,0,1,1,
