Y_dimension(mm),Button,True_depth(m),meas
49.002,0.0,0.4421937500000001,2.915102e-05
49.002,0.0,0.4421937500000001,2.590357e-06
49.002,0.0,0.4421937500000001,3.53076e-06
49.002,0.0,0.4421188374781507,4.108704e-06
49.002,0.0,0.4419466817234865,4.533518e-06
49.002,0.0,0.44170178022529266,4.81859e-06
49.002,0.0,0.44145599531294016,5.047084e-06
49.002,0.0,0.4411586341949648,4.322443e-06
49.002,0.0,0.4408229983940698,4.181406e-06
49.002,0.0,0.4404249847819979,4.470407e-06
49.002,0.0,0.44001797978612306,4.486734e-06
49.002,0.0,0.4396051179868612,4.847941e-06
49.002,0.0,0.43919389937349934,4.766029e-06
49.002,0.0,0.438767277333583,4.955844e-06
49.002,0.0,0.43835773379541254,5.139867e-06
49.002,0.0,0.4379603119816487,4.825371e-06
49.002,0.0,0.43750340229027523,5.202251e-06
49.002,0.0,0.4371036113895971,5.171896e-06
49.002,0.0,0.4366867163495806,5.480018e-06
49.002,0.0,0.4362515504155441,5.421447e-06
49.002,0.0,0.43585229444658685,5.113892e-06
49.002,0.0,0.4354532259893933,5.476992e-06
49.002,0.0,0.43502130625263374,5.557071e-06
49.002,0.0,0.43460272186471394,5.730137e-06
49.002,0.0,0.43415933913778965,5.341441e-06
49.002,0.0,0.4337522493700531,5.799622e-06
49.002,0.0,0.43330996971703634,5.92455e-06
49.002,0.0,0.43291757388666496,6.317787e-06
49.002,0.0,0.4325104223580731,6.361559e-06
49.002,0.0,0.43208644170249877,5.814378e-06
49.002,0.0,0.43165148960628735,5.745038e-06
49.002,0.0,0.43121722600679196,5.638009e-06
49.002,0.0,0.43081684592034847,5.844646e-06
49.002,0.0,0.4304172605518597,5.648486e-06
49.002,0.0,0.429979666001526,6.183996e-06
49.002,0.0,0.4295646198171354,6.050614e-06
49.002,0.0,0.4291463890880756,6.034883e-06
49.002,0.0,0.4287088544243378,6.017173e-06
49.002,0.0,0.42831504085736316,5.862195e-06
49.002,0.0,0.42788042486547184,6.463961e-06
49.002,0.0,0.4274766466810484,6.286107e-06
49.002,0.0,0.4270518654224596,6.466973e-06
49.002,0.0,0.4266266939206481,5.957758e-06
49.002,0.0,0.4262225138998789,6.279137e-06
49.002,0.0,0.42579412708698555,6.17803e-06
49.002,0.0,0.4253902661507497,6.327857e-06
49.002,0.0,0.42498593026871617,6.191418e-06
49.002,0.0,0.4245613039411633,6.557195e-06
49.002,0.0,0.4241357684771003,6.04424e-06
49.002,0.0,0.42373144316880157,6.416929e-06
49.002,0.0,0.4232960205664951,5.969123e-06
49.002,0.0,0.42290179111165366,6.147253e-06
49.002,0.0,0.422463881128957,5.883732e-06
49.002,0.0,0.42204748298138134,5.99568e-06
49.002,0.0,0.42159457925288,5.861904e-06
49.002,0.0,0.4211933557725548,6.272123e-06
49.002,0.0,0.4207905762631901,6.200396e-06
49.002,0.0,0.4203630252742092,6.091577e-06
49.002,0.0,0.4199651500619082,6.179631e-06
49.002,0.0,0.41955132181288424,6.070011e-06
49.002,0.0,0.41910785028223935,6.317976e-06
49.002,0.0,0.4186989464832011,5.892012e-06
49.002,0.0,0.41830349766314867,5.776019e-06
49.002,0.0,0.4178675272074289,5.53338e-06
49.002,0.0,0.4174666458411996,4.18644e-06
49.002,0.0,0.4170369896323254,3.863082e-06
49.002,0.0,0.4166124662885901,3.432942e-06
49.002,0.0,0.4162095822608031,3.083085e-06
49.002,0.0,0.4157725613864478,2.569635e-06
49.002,0.0,0.41537657147968365,2.062312e-06
49.002,0.0,0.414974055525364,1.98897e-06
49.002,0.0,0.4145289591817056,2.185479e-06
49.002,0.0,0.4141188344141618,2.418223e-06
49.002,0.0,0.4136749356969284,3.0355e-06
49.002,0.0,0.4132735046565615,3.529276e-06
49.002,0.0,0.4128746986660142,4.320638e-06
49.002,0.0,0.4124383459953167,4.616086e-06
49.002,0.0,0.412030921127579,4.993068e-06
49.002,0.0,0.41158739829047264,4.935122e-06
