True_depth(m),Y_dimension(mm),meas,Button,Button_raw
163.28037968750002,42.589,5.539975e-08,0.0,0.0
163.2801296875,42.589,5.530475e-08,0.0,0.0
163.2798796875,42.589,5.42164e-08,0.0,0.0
163.2796296875,42.589,5.462855e-08,0.0,0.0
163.2793796875,42.589,5.52003e-08,0.0,0.0
163.2791296875,42.589,5.3436e-08,0.0,0.0
163.2788796875,42.589,5.340375e-08,0.0,0.0
163.2786296875,42.589,5.22777e-08,0.0,0.0
163.2783796875,42.589,5.17677e-08,0.0,0.0
163.2781296875,42.589,5.047695e-08,0.0,0.0
163.2778796875,42.589,5.07746e-08,0.0,0.0
163.2776296875,42.589,5.02877e-08,0.0,0.0
163.2773796875,42.589,5.06942e-08,0.0,0.0
163.2771296875,42.589,4.945025e-08,0.0,0.0
163.2768796875,42.589,4.968895e-08,0.0,0.0
163.2766296875,42.589,4.81513e-08,0.0,0.0
163.2763796875,42.589,4.9661e-08,0.0,0.0
163.2761296875,42.589,4.829495e-08,0.0,0.0
163.2758796875,42.589,4.7219050000000004e-08,0.0,0.0
163.2756296875,42.589,4.683465e-08,0.0,0.0
163.2753796875,42.589,4.74572e-08,0.0,0.0
163.2751296875,42.589,4.58378e-08,0.0,0.0
163.2748796875,42.589,4.624595e-08,0.0,0.0
163.2746296875,42.589,4.51523e-08,0.0,0.0
163.27437968750002,42.589,4.47897e-08,0.0,0.0
163.2741296875,42.589,4.43642e-08,0.0,0.0
163.2738796875,42.589,4.35667e-08,0.0,0.0
163.2736296875,42.589,4.310565e-08,0.0,0.0
163.2733796875,42.589,4.17709e-08,0.0,0.0
163.2731296875,42.589,4.20744e-08,0.0,0.0
163.2728796875,42.589,4.120045e-08,0.0,0.0
163.2726296875,42.589,4.04147e-08,0.0,0.0
163.2723796875,42.589,4.01245e-08,0.0,0.0
163.2721296875,42.589,3.9876e-08,0.0,0.0
163.2718796875,42.589,4.05528e-08,0.0,0.0
163.2716296875,42.589,3.866205e-08,0.0,0.0
163.2713796875,42.589,3.81712e-08,0.0,0.0
163.2711296875,42.589,3.79214e-08,0.0,0.0
163.2708796875,42.589,3.67847e-08,0.0,0.0
163.2706296875,42.589,3.656645e-08,0.0,0.0
163.2703796875,42.589,3.63726e-08,0.0,0.0
163.2701296875,42.589,3.578305e-08,0.0,0.0
163.2698796875,42.589,3.57538e-08,0.0,0.0
163.2696296875,42.589,3.5028749999999995e-08,0.0,0.0
163.2693796875,42.589,3.41493e-08,0.0,0.0
163.2691296875,42.589,3.40933e-08,0.0,0.0
163.2688796875,42.589,3.34549e-08,0.0,0.0
163.2686296875,42.589,3.328915e-08,0.0,0.0
163.26837968750002,42.589,3.2616e-08,0.0,0.0
163.2681296875,42.589,3.2497099999999995e-08,0.0,0.0
163.2678796875,42.589,3.1895e-08,0.0,0.0
163.2676296875,42.589,3.37213e-08,0.0,0.0
163.2673796875,42.589,3.05877e-08,0.0,0.0
163.26712968750002,42.589,3.17912e-08,0.0,0.0
163.2668796875,42.589,3.127885e-08,0.0,0.0
163.2666296875,42.589,3.13725e-08,0.0,0.0
163.2663796875,42.589,3.11926e-08,0.0,0.0
163.2661296875,42.589,3.1981450000000005e-08,0.0,0.0
163.2658796875,42.589,3.1236650000000005e-08,0.0,0.0
163.2656296875,42.589,3.09568e-08,0.0,0.0
163.2653796875,42.589,3.05083e-08,0.0,0.0
163.2651296875,42.589,3.11899e-08,0.0,0.0
163.2648796875,42.589,3.1137349999999995e-08,0.0,0.0
163.2646296875,42.589,3.04888e-08,0.0,0.0
163.2643796875,42.589,3.07404e-08,0.0,0.0
163.2641296875,42.589,3.093505e-08,0.0,0.0
163.2638796875,42.589,3.0831649999999995e-08,0.0,0.0
163.2636296875,42.589,3.22864e-08,0.0,0.0
163.2633796875,42.589,3.10004e-08,0.0,0.0
163.2631296875,42.589,3.15268e-08,0.0,0.0
163.2628796875,42.589,3.09755e-08,0.0,0.0
163.2626296875,42.589,3.20148e-08,0.0,0.0
163.26237968750002,42.589,3.22609e-08,0.0,0.0
163.2621296875,42.589,3.21376e-08,0.0,0.0
163.2618796875,42.589,3.2576600000000006e-08,0.0,0.0
163.2616296875,42.589,3.2579e-08,0.0,0.0
163.2613796875,42.589,3.36895e-08,0.0,0.0
163.26112968750002,42.589,3.41399e-08,0.0,0.0
163.2608796875,42.589,3.34381e-08,0.0,0.0
163.2606296875,42.589,3.4606e-08,0.0,0.0
163.2603796875,42.589,3.5271049999999995e-08,0.0,0.0
163.2601296875,42.589,3.534795e-08,0.0,0.0
163.2598796875,42.589,3.5931e-08,0.0,0.0
163.2596296875,42.589,3.64424e-08,0.0,0.0
163.2593796875,42.589,3.63421e-08,0.0,0.0
163.2591296875,42.589,3.6742450000000004e-08,0.0,0.0
163.2588796875,42.589,3.67821e-08,0.0,0.0
163.2586296875,42.589,3.70925e-08,0.0,0.0
163.2583796875,42.589,3.77291e-08,0.0,0.0
163.2581296875,42.589,3.654755e-08,0.0,0.0
163.2578796875,42.589,3.70179e-08,0.0,0.0
163.2576296875,42.589,3.663095e-08,0.0,0.0
163.2573796875,42.589,3.5536e-08,0.0,0.0
163.2571296875,42.589,3.718725e-08,0.0,0.0
163.2568796875,42.589,3.717515e-08,0.0,0.0
163.2566296875,42.589,3.77796e-08,0.0,0.0
163.25637968750002,42.589,3.711585e-08,0.0,0.0
163.2561296875,42.589,3.81495e-08,0.0,0.0
163.2558796875,42.589,3.7567e-08,0.0,0.0
163.2556296875,42.589,3.76552e-08,0.0,0.0
163.2553796875,42.589,3.73993e-08,0.0,0.0
163.25512968750002,42.589,3.710075e-08,0.0,0.0
163.2548796875,42.589,3.70027e-08,0.0,0.0
163.2546296875,42.589,3.75151e-08,0.0,0.0
163.2543796875,42.589,3.74109e-08,0.0,0.0
163.2541296875,42.589,3.701455e-08,0.0,0.0
163.2538796875,42.589,3.72293e-08,0.0,0.0
163.2536296875,42.589,3.68217e-08,0.0,0.0
163.2533796875,42.589,3.712825e-08,0.0,0.0
163.2531296875,42.589,3.68829e-08,0.0,0.0
163.2528796875,42.589,3.623765e-08,0.0,0.0
163.2526296875,42.589,3.68099e-08,0.0,0.0
163.2523796875,42.589,3.72899e-08,0.0,0.0
163.2521296875,42.589,3.73267e-08,0.0,0.0
163.2518796875,42.589,3.69546e-08,0.0,0.0
163.2516296875,42.589,3.71931e-08,0.0,0.0
163.2513796875,42.589,3.83923e-08,0.0,0.0
163.2511296875,42.589,3.742955e-08,0.0,0.0
163.2508796875,42.589,3.681975e-08,0.0,0.0
163.2506296875,42.589,3.65573e-08,0.0,0.0
163.2503796875,42.589,3.69113e-08,0.0,0.0
163.2501296875,42.589,3.56179e-08,0.0,0.0
