Y_dimension(mm),Button,True_depth(m),meas
41.681,0.0,146.8049625,3.4372899999999994e-08
41.681,0.0,146.8047125,3.455115e-08
41.681,0.0,146.8044625,3.47807e-08
41.681,0.0,146.80421249999998,3.54397e-08
41.681,0.0,146.80396249999998,3.530025e-08
41.681,0.0,146.8037125,3.48349e-08
41.681,0.0,146.8034625,3.570645e-08
41.681,0.0,146.8032125,3.59457e-08
41.681,0.0,146.80296249999998,3.57524e-08
41.681,0.0,146.80271249999998,3.58079e-08
41.681,0.0,146.8024625,3.54693e-08
41.681,0.0,146.8022125,3.55312e-08
41.681,0.0,146.8019625,3.527275e-08
41.681,0.0,146.80171249999998,3.54219e-08
41.681,0.0,146.80146249999999,3.531085e-08
41.681,0.0,146.8012125,3.56058e-08
41.681,0.0,146.8009625,3.49613e-08
41.681,0.0,146.8007125,3.47951e-08
41.681,0.0,146.80046249999998,3.50764e-08
41.681,0.0,146.8002125,3.45683e-08
41.681,0.0,146.7999625,3.39895e-08
41.681,0.0,146.7997125,3.37354e-08
41.681,0.0,146.79946249999998,3.4394750000000004e-08
41.681,0.0,146.79921249999998,3.4295500000000004e-08
41.681,0.0,146.7989625,3.30195e-08
41.681,0.0,146.7987125,3.3617e-08
41.681,0.0,146.7984625,3.35628e-08
41.681,0.0,146.79821249999998,3.323845e-08
41.681,0.0,146.79796249999998,3.2769e-08
41.681,0.0,146.7977125,3.16475e-08
41.681,0.0,146.7974625,3.19676e-08
41.681,0.0,146.7972125,3.26602e-08
41.681,0.0,146.79696249999998,3.24972e-08
41.681,0.0,146.79671249999998,3.277015e-08
41.681,0.0,146.7964625,3.15791e-08
41.681,0.0,146.7962125,3.0745e-08
41.681,0.0,146.7959625,2.94543e-08
41.681,0.0,146.79571249999998,3.003135e-08
41.681,0.0,146.79546249999999,2.911045e-08
41.681,0.0,146.7952125,2.92199e-08
41.681,0.0,146.7949625,2.91513e-08
41.681,0.0,146.7947125,2.92544e-08
41.681,0.0,146.79446249999998,2.81087e-08
41.681,0.0,146.7942125,2.734605e-08
41.681,0.0,146.7939625,2.68123e-08
41.681,0.0,146.7937125,2.637985e-08
41.681,0.0,146.79346249999998,2.64628e-08
41.681,0.0,146.79321249999998,2.612105e-08
41.681,0.0,146.7929625,2.62591e-08
41.681,0.0,146.7927125,2.524975e-08
41.681,0.0,146.7924625,2.51241e-08
