Y_dimension(mm),Button,True_depth(m),meas
49.065,0.0,149.2200890625,2.662117e-05
49.065,0.0,149.2200890625,-7.007329e-07
49.065,0.0,149.22000408498525,1.007575e-07
49.065,0.0,149.21987345239134,6.145128e-07
49.065,0.0,149.21968024927298,9.95642e-07
49.065,0.0,149.2194642093386,1.288907e-06
49.065,0.0,149.21920159417826,1.269e-06
49.065,0.0,149.21889578887374,4.648318e-07
49.065,0.0,149.21854513492653,6.432965e-07
49.065,0.0,149.2181743576331,-6.46105e-08
49.065,0.0,149.21777320969713,-1.018489e-07
49.065,0.0,149.21734894051625,2.824527e-08
49.065,0.0,149.21694141001788,9.564974e-08
49.065,0.0,149.2164994567093,3.80358e-07
49.065,0.0,149.21609178477556,5.525799e-07
49.065,0.0,149.21566347379485,6.520422e-07
49.065,0.0,149.2152718824367,1.114298e-06
49.065,0.0,149.21484045389298,1.027249e-06
49.065,0.0,149.21443439969002,5.803449e-07
49.065,0.0,149.21399353974752,6.643677e-07
49.065,0.0,149.21358617197626,9.49949e-07
49.065,0.0,149.2131676673749,1.183886e-06
49.065,0.0,149.21275482577624,1.984328e-06
49.065,0.0,149.21236154846105,3.764842e-06
49.065,0.0,149.21192355654549,4.419344e-06
49.065,0.0,149.21148228250374,4.68285e-06
49.065,0.0,149.211075876609,5.723006e-06
49.065,0.0,149.21068008409148,6.198941e-06
49.065,0.0,149.2102501061029,6.369824e-06
49.065,0.0,149.2098530749811,6.657661e-06
49.065,0.0,149.20941156824992,7.042108e-06
49.065,0.0,149.20896815010786,6.388189e-06
49.065,0.0,149.2085590405277,6.196293e-06
49.065,0.0,149.20813024997125,6.788512e-06
49.065,0.0,149.20773161155964,6.702627e-06
49.065,0.0,149.20733689194557,6.613773e-06
49.065,0.0,149.2068963403566,6.944349e-06
49.065,0.0,149.2064742155843,6.599279e-06
49.065,0.0,149.20604694788304,6.447881e-06
49.065,0.0,149.20564824793178,6.281611e-06
49.065,0.0,149.20524198609698,6.63026e-06
49.065,0.0,149.20482735873264,5.786118e-06
49.065,0.0,149.20439532562523,6.005575e-06
49.065,0.0,149.203971111711,6.417395e-06
49.065,0.0,149.20356827712135,7.06756e-06
49.065,0.0,149.20313546398847,6.412505e-06
49.065,0.0,149.20273895247888,6.698858e-06
49.065,0.0,149.20230772420678,7.186391e-06
49.065,0.0,149.20190180093297,6.772898e-06
49.065,0.0,149.20147628806865,6.461167e-06
49.065,0.0,149.20105421526128,6.323389e-06
49.065,0.0,149.20062447002172,6.4661e-06
49.065,0.0,149.20022437215331,6.292466e-06
49.065,0.0,149.1997931232185,6.141141e-06
49.065,0.0,149.19939202153296,6.718168e-06
49.065,0.0,149.19894939540816,6.589587e-06
49.065,0.0,149.19853063796918,6.58707e-06
49.065,0.0,149.19809945681692,6.631919e-06
49.065,0.0,149.19770517021433,7.024995e-06
49.065,0.0,149.19727410437605,6.727729e-06
49.065,0.0,149.19684323249143,6.617003e-06
49.065,0.0,149.19643516787576,7.055132e-06
49.065,0.0,149.1960177938561,7.111274e-06
49.065,0.0,149.19558790952107,7.186187e-06
49.065,0.0,149.19519012660297,7.108334e-06
49.065,0.0,149.19479435865043,7.12226e-06
49.065,0.0,149.1943647535423,7.430805e-06
49.065,0.0,149.1939540382096,6.822593e-06
49.065,0.0,149.19351543573705,6.586299e-06
49.065,0.0,149.19311282252136,7.062772e-06
49.065,0.0,149.19268120739036,7.684677e-06
49.065,0.0,149.1922877730699,7.749681e-06
49.065,0.0,149.1918559007691,7.995841e-06
49.065,0.0,149.19144888746445,8.544521e-06
49.065,0.0,149.19101993715873,8.260147e-06
49.065,0.0,149.19060294519514,8.632982e-06
49.065,0.0,149.19018323227812,8.805291e-06
49.065,0.0,149.18976071731163,8.992924e-06
49.065,0.0,149.18933815420843,8.268733e-06
49.065,0.0,149.18893311322836,8.68096e-06
49.065,0.0,149.1884892279203,9.429059e-06
49.065,0.0,149.1880790608005,9.020645e-06
49.065,0.0,149.1876454868664,9.013806e-06
49.065,0.0,149.18725261375332,8.409814e-06
49.065,0.0,149.18681966105143,9.043782e-06
49.065,0.0,149.1864185933974,8.656643e-06
49.065,0.0,149.18599807181891,8.970383e-06
49.065,0.0,149.1855712050597,8.714225e-06
49.065,0.0,149.18517519217534,8.816161e-06
49.065,0.0,149.18474164951826,8.25389e-06
49.065,0.0,149.1843447459967,8.272487e-06
49.065,0.0,149.18391552197397,8.394636e-06
49.065,0.0,149.18349714697536,7.361741e-06
49.065,0.0,149.183085982532,7.969356e-06
49.065,0.0,149.18265321968465,8.554882e-06
49.065,0.0,149.18226372343722,8.88019e-06
49.065,0.0,149.1818354531457,8.446761e-06
49.065,0.0,149.18142819082706,8.204457e-06
49.065,0.0,149.18097698148622,8.60788e-06
49.065,0.0,149.1805777015935,8.217467e-06
49.065,0.0,149.1801449658967,8.243762e-06
49.065,0.0,149.17974017649422,8.080402e-06
49.065,0.0,149.17932116736398,7.712195e-06
49.065,0.0,149.17889167659132,7.88609e-06
49.065,0.0,149.1784766875361,7.608702e-06
49.065,0.0,149.17803612222826,8.156305e-06
49.065,0.0,149.1776241333864,7.570707e-06
49.065,0.0,149.17720377705345,7.815208e-06
49.065,0.0,149.17680590251493,7.599869e-06
49.065,0.0,149.17637710555505,7.819588e-06
49.065,0.0,149.1759446026267,7.585288e-06
49.065,0.0,149.1755253013068,7.503899e-06
49.065,0.0,149.17512443169545,7.387498e-06
49.065,0.0,149.1747308400774,7.24275e-06
49.065,0.0,149.17429828425352,6.72751e-06
49.065,0.0,149.17389642888244,6.525748e-06
49.065,0.0,149.1734562753654,6.756105e-06
49.065,0.0,149.17304715943976,6.539223e-06
49.065,0.0,149.1726143403104,6.211631e-06
49.065,0.0,149.17221664484302,6.24363e-06
49.065,0.0,149.17178908857386,6.513132e-06
49.065,0.0,149.17139035254695,5.96336e-06
49.065,0.0,149.17096794797104,6.014889e-06
49.065,0.0,149.17054556486394,6.793649e-06
49.065,0.0,149.17011083617882,6.159069e-06
49.065,0.0,149.16968893614612,5.501803e-06
49.065,0.0,149.16928370410375,5.395676e-06
49.065,0.0,149.1688493532739,6.165268e-06
49.065,0.0,149.1684399849368,6.719478e-06
49.065,0.0,149.16802488337305,5.402559e-06
49.065,0.0,149.16759557819023,5.651033e-06
49.065,0.0,149.16717323899223,6.740156e-06
49.065,0.0,149.16676412167075,6.659917e-06
49.065,0.0,149.166368078248,5.65825e-06
49.065,0.0,149.16592771659913,6.194503e-06
49.065,0.0,149.16552291599365,6.831702e-06
49.065,0.0,149.16508188842485,6.335351e-06
49.065,0.0,149.16467511269323,5.916227e-06
49.065,0.0,149.16426325199927,6.248301e-06
49.065,0.0,149.16386543143966,7.187395e-06
49.065,0.0,149.16342551588892,6.63985e-06
