Y_dimension(mm),Button,True_depth(m),meas
49.415,0.0,170.8319515625,5.3809150000000004e-08
49.415,0.0,170.8317015625,5.384345e-08
49.415,0.0,170.8314515625,5.37659e-08
49.415,0.0,170.8312015625,5.38559e-08
49.415,0.0,170.8309515625,5.391005e-08
49.415,0.0,170.8307015625,5.461475e-08
49.415,0.0,170.8304515625,5.68936e-08
49.415,0.0,170.8302015625,5.95847e-08
49.415,0.0,170.82995156249999,6.05968e-08
49.415,0.0,170.8297015625,6.163125e-08
49.415,0.0,170.8294515625,6.21665e-08
49.415,0.0,170.8292015625,6.319290000000001e-08
49.415,0.0,170.8289515625,6.39884e-08
49.415,0.0,170.8287015625,6.509834999999999e-08
49.415,0.0,170.8284515625,6.59913e-08
49.415,0.0,170.8282015625,6.742985e-08
49.415,0.0,170.8279515625,6.80929e-08
49.415,0.0,170.8277015625,6.891295000000002e-08
49.415,0.0,170.8274515625,6.98018e-08
49.415,0.0,170.8272015625,7.07778e-08
49.415,0.0,170.8269515625,7.18402e-08
49.415,0.0,170.8267015625,7.267445e-08
49.415,0.0,170.8264515625,7.28478e-08
49.415,0.0,170.8262015625,7.37587e-08
49.415,0.0,170.8259515625,7.42557e-08
49.415,0.0,170.8257015625,7.485429999999999e-08
49.415,0.0,170.8254515625,7.53573e-08
49.415,0.0,170.8252015625,7.598085000000002e-08
49.415,0.0,170.8249515625,7.66977e-08
49.415,0.0,170.8247015625,7.73928e-08
49.415,0.0,170.8244515625,7.75117e-08
49.415,0.0,170.8242015625,7.794805e-08
49.415,0.0,170.82395156249999,7.82878e-08
49.415,0.0,170.8237015625,7.82574e-08
49.415,0.0,170.8234515625,7.87768e-08
49.415,0.0,170.8232015625,7.86404e-08
49.415,0.0,170.8229515625,7.885425e-08
49.415,0.0,170.8227015625,7.879119999999999e-08
49.415,0.0,170.8224515625,7.88681e-08
49.415,0.0,170.8222015625,7.88741e-08
49.415,0.0,170.8219515625,7.85109e-08
49.415,0.0,170.8217015625,7.85973e-08
49.415,0.0,170.8214515625,7.85256e-08
49.415,0.0,170.8212015625,7.825065e-08
49.415,0.0,170.8209515625,7.82546e-08
49.415,0.0,170.8207015625,7.760045e-08
49.415,0.0,170.8204515625,7.79135e-08
49.415,0.0,170.8202015625,7.65425e-08
49.415,0.0,170.8199515625,7.59842e-08
49.415,0.0,170.8197015625,7.56068e-08
49.415,0.0,170.8194515625,7.46447e-08
49.415,0.0,170.8192015625,7.391525e-08
49.415,0.0,170.8189515625,7.324329999999999e-08
49.415,0.0,170.8187015625,7.19186e-08
49.415,0.0,170.8184515625,7.08389e-08
49.415,0.0,170.8182015625,7.08337e-08
49.415,0.0,170.8179515625,6.992415e-08
49.415,0.0,170.8177015625,6.838285e-08
49.415,0.0,170.8174515625,6.7392e-08
49.415,0.0,170.8172015625,6.68536e-08
49.415,0.0,170.8169515625,6.53254e-08
49.415,0.0,170.8167015625,6.473614999999999e-08
49.415,0.0,170.8164515625,6.32006e-08
49.415,0.0,170.8162015625,6.225995000000002e-08
49.415,0.0,170.8159515625,6.11554e-08
49.415,0.0,170.8157015625,6.047765e-08
49.415,0.0,170.8154515625,5.91436e-08
49.415,0.0,170.8152015625,5.78168e-08
49.415,0.0,170.8149515625,5.79372e-08
49.415,0.0,170.8147015625,5.64206e-08
49.415,0.0,170.8144515625,5.54161e-08
49.415,0.0,170.8142015625,5.45329e-08
49.415,0.0,170.8139515625,5.38733e-08
49.415,0.0,170.8137015625,5.31309e-08
49.415,0.0,170.8134515625,5.21387e-08
49.415,0.0,170.8132015625,5.14402e-08
49.415,0.0,170.8129515625,5.07468e-08
49.415,0.0,170.8127015625,5.03604e-08
49.415,0.0,170.8124515625,4.94126e-08
49.415,0.0,170.8122015625,4.90741e-08
49.415,0.0,170.8119515625,4.84754e-08
49.415,0.0,170.8117015625,4.85502e-08
49.415,0.0,170.8114515625,4.7535e-08
49.415,0.0,170.8112015625,4.750825e-08
49.415,0.0,170.8109515625,4.7196050000000004e-08
49.415,0.0,170.8107015625,4.67808e-08
49.415,0.0,170.8104515625,4.655420000000001e-08
49.415,0.0,170.8102015625,4.62989e-08
49.415,0.0,170.8099515625,4.60959e-08
49.415,0.0,170.8097015625,4.60659e-08
49.415,0.0,170.8094515625,4.56705e-08
49.415,0.0,170.8092015625,4.555565e-08
49.415,0.0,170.8089515625,4.60807e-08
49.415,0.0,170.8087015625,4.56745e-08
49.415,0.0,170.8084515625,4.577025e-08
49.415,0.0,170.8082015625,4.55078e-08
49.415,0.0,170.8079515625,4.54935e-08
49.415,0.0,170.8077015625,4.55225e-08
49.415,0.0,170.8074515625,4.55366e-08
49.415,0.0,170.8072015625,4.58824e-08
49.415,0.0,170.8069515625,4.54228e-08
49.415,0.0,170.8067015625,4.57349e-08
49.415,0.0,170.8064515625,4.577595e-08
49.415,0.0,170.8062015625,4.6105e-08
49.415,0.0,170.8059515625,4.6389e-08
49.415,0.0,170.8057015625,4.63957e-08
49.415,0.0,170.8054515625,4.640685e-08
49.415,0.0,170.8052015625,4.651375e-08
49.415,0.0,170.8049515625,4.68988e-08
49.415,0.0,170.8047015625,4.71122e-08
49.415,0.0,170.8044515625,4.68941e-08
49.415,0.0,170.8042015625,4.73212e-08
49.415,0.0,170.8039515625,4.733735e-08
49.415,0.0,170.8037015625,4.75218e-08
49.415,0.0,170.8034515625,4.760415e-08
49.415,0.0,170.8032015625,4.78486e-08
49.415,0.0,170.8029515625,4.782845e-08
49.415,0.0,170.8027015625,4.82371e-08
49.415,0.0,170.8024515625,4.812425e-08
49.415,0.0,170.8022015625,4.815175e-08
49.415,0.0,170.8019515625,4.84964e-08
49.415,0.0,170.8017015625,4.83935e-08
49.415,0.0,170.8014515625,4.827e-08
49.415,0.0,170.8012015625,4.84607e-08
49.415,0.0,170.8009515625,4.82425e-08
49.415,0.0,170.8007015625,4.84591e-08
49.415,0.0,170.8004515625,4.8428e-08
49.415,0.0,170.8002015625,4.824055e-08
49.415,0.0,170.7999515625,4.81515e-08
49.415,0.0,170.7997015625,4.827630000000001e-08
49.415,0.0,170.7994515625,4.82279e-08
49.415,0.0,170.7992015625,4.79526e-08
49.415,0.0,170.7989515625,4.7766e-08
49.415,0.0,170.79870156249999,4.786405e-08
49.415,0.0,170.7984515625,4.8051e-08
49.415,0.0,170.7982015625,4.76013e-08
49.415,0.0,170.7979515625,4.75077e-08
49.415,0.0,170.7977015625,4.71567e-08
49.415,0.0,170.7974515625,4.72385e-08
49.415,0.0,170.7972015625,4.70918e-08
49.415,0.0,170.7969515625,4.680395e-08
49.415,0.0,170.7967015625,4.63579e-08
49.415,0.0,170.7964515625,4.63223e-08
49.415,0.0,170.7962015625,4.62658e-08
49.415,0.0,170.7959515625,4.62337e-08
49.415,0.0,170.7957015625,4.62108e-08
49.415,0.0,170.7954515625,4.58601e-08
49.415,0.0,170.7952015625,4.57203e-08
49.415,0.0,170.7949515625,4.543385e-08
49.415,0.0,170.7947015625,4.55922e-08
49.415,0.0,170.7944515625,4.509415e-08
49.415,0.0,170.7942015625,4.50286e-08
49.415,0.0,170.7939515625,4.496985e-08
49.415,0.0,170.7937015625,4.48352e-08
49.415,0.0,170.7934515625,4.48769e-08
49.415,0.0,170.7932015625,4.46158e-08
49.415,0.0,170.7929515625,4.48523e-08
49.415,0.0,170.79270156249999,4.42528e-08
49.415,0.0,170.7924515625,4.41207e-08
49.415,0.0,170.7922015625,4.407575e-08
49.415,0.0,170.7919515625,4.379e-08
49.415,0.0,170.7917015625,4.38627e-08
49.415,0.0,170.7914515625,4.380915e-08
49.415,0.0,170.7912015625,4.376295e-08
49.415,0.0,170.7909515625,4.3617e-08
49.415,0.0,170.7907015625,4.36314e-08
49.415,0.0,170.7904515625,4.367145e-08
49.415,0.0,170.7902015625,4.369435e-08
49.415,0.0,170.7899515625,4.36513e-08
49.415,0.0,170.7897015625,4.33729e-08
49.415,0.0,170.7894515625,4.36611e-08
49.415,0.0,170.7892015625,4.369065000000001e-08
49.415,0.0,170.7889515625,4.37903e-08
49.415,0.0,170.7887015625,4.365125000000001e-08
49.415,0.0,170.7884515625,4.35557e-08
49.415,0.0,170.7882015625,4.35895e-08
49.415,0.0,170.7879515625,4.35811e-08
49.415,0.0,170.7877015625,4.3604100000000003e-08
49.415,0.0,170.7874515625,4.36639e-08
49.415,0.0,170.7872015625,4.38722e-08
49.415,0.0,170.7869515625,4.36326e-08
49.415,0.0,170.7867015625,4.37199e-08
49.415,0.0,170.7864515625,4.35687e-08
49.415,0.0,170.7862015625,4.3782e-08
49.415,0.0,170.7859515625,4.37499e-08
49.415,0.0,170.7857015625,4.35994e-08
