Y_dimension(mm),Button,True_depth(m),meas
44.762,0.0,174.0405359375,2.552815e-05
44.762,0.0,174.0405359375,-1.031571e-06
44.762,0.0,174.0405359375,-4.455505e-07
44.762,0.0,174.0404102924794,-1.153094e-07
44.762,0.0,174.04022963606732,1.273002e-07
44.762,0.0,174.04000261703905,3.169989e-07
44.762,0.0,174.03975030914543,4.154717e-07
44.762,0.0,174.03946084967723,9.329669e-07
44.762,0.0,174.03911604411783,7.029594e-07
44.762,0.0,174.03872697190124,9.898504e-07
44.762,0.0,174.03829351961042,1.057997e-06
44.762,0.0,174.03787154378708,1.145745e-06
44.762,0.0,174.03745853214136,8.831848e-07
44.762,0.0,174.03706361260282,1.098029e-06
44.762,0.0,174.03662607954647,8.412753e-07
44.762,0.0,174.03623014015332,8.485076e-07
44.762,0.0,174.0357950560496,8.920324e-07
44.762,0.0,174.0353723944018,8.320058e-07
44.762,0.0,174.0349930638753,1.040113e-06
44.762,0.0,174.03456198602697,1.278298e-06
44.762,0.0,174.0341441432653,1.140419e-06
44.762,0.0,174.03372097590542,1.316381e-06
44.762,0.0,174.0332807736134,1.081047e-06
44.762,0.0,174.03287834818815,1.264925e-06
44.762,0.0,174.03245181755844,1.106469e-06
44.762,0.0,174.03203610607696,1.303808e-06
44.762,0.0,174.03161012109118,1.246881e-06
44.762,0.0,174.0312069178484,1.08777e-06
44.762,0.0,174.03077080649737,1.273249e-06
44.762,0.0,174.03032832153008,1.087581e-06
44.762,0.0,174.02994244577476,1.225329e-06
44.762,0.0,174.02954126731535,1.350709e-06
44.762,0.0,174.02910120379823,1.483117e-06
44.762,0.0,174.02870074673197,1.553606e-06
44.762,0.0,174.0282613938676,1.084365e-06
44.762,0.0,174.02785898033005,1.246168e-06
44.762,0.0,174.02743810352803,1.026478e-06
44.762,0.0,174.0270250428192,1.230583e-06
44.762,0.0,174.0266234020873,1.042426e-06
44.762,0.0,174.02619010762265,1.278255e-06
44.762,0.0,174.0257871687207,1.277178e-06
44.762,0.0,174.02536965386952,1.388122e-06
44.762,0.0,174.02493148182853,1.446693e-06
44.762,0.0,174.02452383153295,1.200329e-06
44.762,0.0,174.02412612065345,1.364882e-06
44.762,0.0,174.02368721277628,1.230801e-06
44.762,0.0,174.02324779182152,1.320033e-06
44.762,0.0,174.02284797680656,1.200824e-06
44.762,0.0,174.02243836707385,1.117674e-06
44.762,0.0,174.02201454247484,1.168926e-06
44.762,0.0,174.02158766093524,1.124907e-06
44.762,0.0,174.02118987633654,1.310618e-06
44.762,0.0,174.02075122916312,1.153996e-06
44.762,0.0,174.02031523775466,1.218301e-06
44.762,0.0,174.01990829066304,1.055159e-06
44.762,0.0,174.01947467560183,1.174645e-06
44.762,0.0,174.01907812155736,1.257649e-06
44.762,0.0,174.01864624939464,1.352368e-06
44.762,0.0,174.01822147769326,1.240347e-06
44.762,0.0,174.0178148477103,9.920768e-07
44.762,0.0,174.01740142396991,1.162654e-06
44.762,0.0,174.01698686838452,1.168097e-06
44.762,0.0,174.0165931289784,1.495297e-06
44.762,0.0,174.0161581825357,1.469234e-06
44.762,0.0,174.01571220996811,1.514229e-06
44.762,0.0,174.01532982269632,1.248991e-06
44.762,0.0,174.01491423981545,9.751529e-07
44.762,0.0,174.01449366613855,1.0113e-06
44.762,0.0,174.01408360554774,1.042587e-06
44.762,0.0,174.01366007837316,1.444656e-06
44.762,0.0,174.01322267591522,1.1917e-06
44.762,0.0,174.01282713239604,1.45215e-06
44.762,0.0,174.01240656514068,1.262917e-06
44.762,0.0,174.01197809954382,1.377659e-06
44.762,0.0,174.01155218555357,1.366978e-06
44.762,0.0,174.0111344309265,1.741166e-06
44.762,0.0,174.0107195251118,1.893932e-06
44.762,0.0,174.01028666692508,1.908775e-06
44.762,0.0,174.00986290984292,2.265617e-06
44.762,0.0,174.00948376994097,2.034139e-06
44.762,0.0,174.0090581074335,2.406872e-06
44.762,0.0,174.00862795030145,1.99127e-06
44.762,0.0,174.00822739071538,1.825189e-06
44.762,0.0,174.0077874562523,1.805121e-06
44.762,0.0,174.00738662224867,2.080342e-06
44.762,0.0,174.00697843038068,1.956359e-06
44.762,0.0,174.0065470787527,2.088462e-06
44.762,0.0,174.00614927515582,2.088607e-06
44.762,0.0,174.00571357655622,1.792403e-06
44.762,0.0,174.00528004951732,1.810768e-06
44.762,0.0,174.00488078988707,1.918263e-06
44.762,0.0,174.00445733969994,2.334637e-06
44.762,0.0,174.00406929524829,2.411762e-06
44.762,0.0,174.00364406039466,2.638481e-06
44.762,0.0,174.00319904532353,2.230256e-06
44.762,0.0,174.002777167597,2.408764e-06
44.762,0.0,174.0023463599855,2.279063e-06
44.762,0.0,174.00194987663474,2.628134e-06
44.762,0.0,174.00153879881424,2.465327e-06
44.762,0.0,174.0011036710013,2.99816e-06
44.762,0.0,174.00066238855683,2.543238e-06
44.762,0.0,174.0002456380537,2.528643e-06
44.762,0.0,173.99984264406936,2.169021e-06
44.762,0.0,173.99940948740948,2.480447e-06
44.762,0.0,173.99902230029943,2.421933e-06
44.762,0.0,173.99857558842427,2.410859e-06
44.762,0.0,173.998157583532,2.291374e-06
44.762,0.0,173.99775845222229,2.633838e-06
44.762,0.0,173.99732913680634,2.670989e-06
44.762,0.0,173.99692213405578,2.405621e-06
44.762,0.0,173.99651850326939,2.640183e-06
44.762,0.0,173.99608526736367,2.03852e-06
44.762,0.0,173.99567770346198,1.751439e-06
44.762,0.0,173.99524038892872,1.340581e-06
44.762,0.0,173.99484415492876,1.524575e-06
44.762,0.0,173.99442669833817,1.685417e-06
44.762,0.0,173.9940228082307,2.342538e-06
44.762,0.0,173.9935862025099,1.662207e-06
44.762,0.0,173.99316683784497,1.865919e-06
44.762,0.0,173.99274458572498,1.378692e-06
44.762,0.0,173.9923214163464,1.59569e-06
44.762,0.0,173.99190402295682,1.503184e-06
44.762,0.0,173.99149754387642,1.884255e-06
44.762,0.0,173.9910721199245,2.074186e-06
44.762,0.0,173.99065246874616,2.714951e-06
44.762,0.0,173.99022887830284,2.485715e-06
44.762,0.0,173.98979624563913,2.896108e-06
44.762,0.0,173.98941160380798,2.82946e-06
44.762,0.0,173.98898097890145,3.339577e-06
44.762,0.0,173.98858492517104,2.742017e-06
44.762,0.0,173.98814805315868,2.628265e-06
44.762,0.0,173.98774271361722,2.353641e-06
44.762,0.0,173.9873173695059,2.021508e-06
44.762,0.0,173.9869065906738,1.069784e-06
44.762,0.0,173.98650329966443,8.293864e-07
44.762,0.0,173.98607779625985,5.801558e-07
44.762,0.0,173.98564872770453,8.196075e-07
44.762,0.0,173.9852277144282,1.092791e-06
44.762,0.0,173.9848310375827,1.704524e-06
44.762,0.0,173.98440826642297,2.177767e-06
44.762,0.0,173.98397753601725,2.873843e-06
44.762,0.0,173.98357784207303,2.862216e-06
44.762,0.0,173.9831457027768,3.520356e-06
44.762,0.0,173.9827068303205,3.319976e-06
44.762,0.0,173.9823021614853,3.588517e-06
44.762,0.0,173.98188863199996,3.430498e-06
44.762,0.0,173.9814726168657,3.54489e-06
44.762,0.0,173.98104064069588,3.112989e-06
44.762,0.0,173.98061912161072,2.797839e-06
44.762,0.0,173.9801890280438,2.535962e-06
44.762,0.0,173.97976670354774,1.702792e-06
44.762,0.0,173.9793460310826,1.753928e-06
44.762,0.0,173.97894622761933,1.582812e-06
44.762,0.0,173.9785168517721,1.598775e-06
44.762,0.0,173.97811990919678,1.53821e-06
44.762,0.0,173.97768276069706,1.827168e-06
44.762,0.0,173.97727900291906,1.995286e-06
44.762,0.0,173.97685028223827,2.790213e-06
44.762,0.0,173.97646275674404,2.847082e-06
44.762,0.0,173.97603831127554,2.766072e-06
44.762,0.0,173.9756124209242,2.389192e-06
44.762,0.0,173.97519725391834,2.202913e-06
44.762,0.0,173.97476055824586,1.899185e-06
44.762,0.0,173.9743685628294,2.02826e-06
44.762,0.0,173.97395646900577,2.158296e-06
44.762,0.0,173.9735329559256,2.277535e-06
44.762,0.0,173.97312140499702,2.183122e-06
44.762,0.0,173.9726951357218,1.956418e-06
44.762,0.0,173.97226307390346,2.155299e-06
44.762,0.0,173.9718581573406,1.990498e-06
44.762,0.0,173.97141921361185,1.969762e-06
44.762,0.0,173.97102145463128,1.836248e-06
44.762,0.0,173.9705840790077,1.469205e-06
44.762,0.0,173.9701664923224,1.563778e-06
44.762,0.0,173.9697563034315,1.509572e-06
44.762,0.0,173.96935427573658,1.889843e-06
44.762,0.0,173.968915689074,2.057044e-06
44.762,0.0,173.96852121878848,2.398359e-06
44.762,0.0,173.96809583573187,2.724279e-06
44.762,0.0,173.96768951235669,2.690038e-06
44.762,0.0,173.96724562084916,2.624874e-06
44.762,0.0,173.96682561987342,2.821223e-06
44.762,0.0,173.96644315140648,2.871631e-06
44.762,0.0,173.96599270084735,2.625064e-06
44.762,0.0,173.96560211494702,2.359695e-06
44.762,0.0,173.96518063952647,2.628949e-06
44.762,0.0,173.9647480665565,3.05468e-06
44.762,0.0,173.96434060727216,2.909073e-06
44.762,0.0,173.96392033579798,2.852772e-06
44.762,0.0,173.9635028128828,2.85104e-06
44.762,0.0,173.96306701106946,2.774759e-06
44.762,0.0,173.96265228801008,2.896515e-06
44.762,0.0,173.96223967077862,2.904548e-06
44.762,0.0,173.96183631023456,2.544955e-06
44.762,0.0,173.96140033029562,2.216635e-06
44.762,0.0,173.9609963340453,2.268818e-06
44.762,0.0,173.96056455818308,2.02666e-06
44.762,0.0,173.96013052635658,2.176268e-06
44.762,0.0,173.95970496010494,2.434273e-06
44.762,0.0,173.95929812374453,2.532252e-06
44.762,0.0,173.95886028390765,2.600485e-06
44.762,0.0,173.95846178181927,2.35044e-06
44.762,0.0,173.9580614292057,2.852743e-06
44.762,0.0,173.95763313733457,2.681278e-06
44.762,0.0,173.95720858016838,2.72812e-06
44.762,0.0,173.95679990544372,3.136622e-06
44.762,0.0,173.95638051647444,3.607958e-06
44.762,0.0,173.9559680394989,3.971669e-06
44.762,0.0,173.95556768048183,3.647016e-06
44.762,0.0,173.95513852958055,3.734691e-06
44.762,0.0,173.9547168756272,3.914131e-06
44.762,0.0,173.9543106940177,3.382724e-06
44.762,0.0,173.9538714507334,3.541631e-06
44.762,0.0,173.9534724357101,4.587215e-06
44.762,0.0,173.95306977431875,4.502974e-06
44.762,0.0,173.95262797257993,4.344532e-06
44.762,0.0,173.95221406797137,4.301022e-06
44.762,0.0,173.95176666047738,3.523048e-06
44.762,0.0,173.95136367023753,3.160501e-06
44.762,0.0,173.9509543073791,2.785906e-06
44.762,0.0,173.95052969808825,2.293193e-06
44.762,0.0,173.9501158924184,1.642082e-06
44.762,0.0,173.94969698346847,1.752589e-06
44.762,0.0,173.94926453654216,1.7649e-06
44.762,0.0,173.94886319258603,2.41019e-06
44.762,0.0,173.94846339677255,1.952067e-06
44.762,0.0,173.94802477991968,1.920576e-06
44.762,0.0,173.9476160043228,2.452274e-06
44.762,0.0,173.94720375920568,3.391644e-06
44.762,0.0,173.94679109917084,3.987327e-06
44.762,0.0,173.94636568787473,4.216039e-06
44.762,0.0,173.94595436508254,3.551104e-06
