,core,time,section,face,ACorDC,AC_col_sp,DC_col_sp,DC_volt,note,mm_per_encode_step,num_tracks,ACDC_offset,laser_offset,Y_left,Y_right,AC_edgespace,DC_edgespace,idx1_raw,idx1_rel,idx2_rel,idx3_rel,idx_abs,xmin,xmax,header,filename
59,dic1,2025-09-10-10-30,142,t,AC,10,25,1000,1break,0.25,5,305,-10,39.70387109374998,101.30482421874996,16,12,159.11562500000002,0.0,0.0,0.0,133.252,159.70000000000002,939.2265625,22,../../data/raw_data/2025-09-10-10-30-dic1-142-t.txt
60,dic1,2025-09-10-10-42,142,t,DC,10,25,1000,1break,0.25,6,305,-10,39.70387109374998,101.30482421874996,16,12,159.11562500000002,0.0,0.0,0.0,133.252,159.70000000000002,939.2265625,22,../../data/raw_data/2025-09-10-10-42-dic1-142-t.txt
57,dic1,2025-09-10-10-05,150,t,AC,10,25,1000,1break,0.25,6,305,-10,30.871417968749984,106.19184374999995,16,12,100.38906250000001,0.0,0.0,0.0,140.125,102.9140625,892.2218750000001,22,../../data/raw_data/2025-09-10-10-05-dic1-150-t.txt
58,dic1,2025-09-10-10-19,150,t,DC,10,25,1000,1break,0.25,7,305,-10,30.871417968749984,106.19184374999995,16,12,100.38906250000001,0.0,0.0,0.0,140.125,102.9140625,892.2218750000001,22,../../data/raw_data/2025-09-10-10-19-dic1-150-t.txt
55,dic1,2025-09-10-09-36,151,t,AC,10,25,1000,no breaks,0.25,6,305,-10,34.39517187499998,107.59876562499994,16,12,175.765625,0.0,0.0,0.0,141.955,188.78125,959.7265625,22,../../data/raw_data/2025-09-10-09-36-dic1-151-t.txt
56,dic1,2025-09-10-09-48,151,t,DC,10,25,1000,no breaks,0.25,7,305,-10,34.39517187499998,107.59876562499994,16,12,175.765625,0.0,0.0,0.0,141.955,188.78125,959.7265625,22,../../data/raw_data/2025-09-10-09-48-dic1-151-t.txt
53,dic1,2025-09-10-08-52,152,t,AC,10,25,1000,2breaks,0.25,6,305,-10,30.192265624999987,98.56440234374996,16,12,301.5609375,0.0,0.0,0.0,141.866,308.63750000000005,819.5375,22,../../data/raw_data/2025-09-10-08-52-dic1-152-t.txt
54,dic1,2025-09-10-09-05,152,t,DC,10,25,1000,2breaks,0.25,6,305,-10,30.192265624999987,98.56440234374996,16,12,301.5609375,0.0,0.0,0.0,141.866,308.63750000000005,819.5375,22,../../data/raw_data/2025-09-10-09-05-dic1-152-t.txt
51,dic1,2025-09-10-08-36,153,t,AC,10,25,1000,left out top crumbles,0.25,5,305,-10,40.94460156249998,104.90894531249995,16,12,505.93906250000003,0.0,0.0,0.0,142.53,510.7875,759.8921875000001,22,../../data/raw_data/2025-09-10-08-36-dic1-153-t.txt
52,dic1,2025-09-10-08-43,153,t,DC,10,25,1000,left out top crumbles,0.25,6,305,-10,40.94460156249998,104.90894531249995,16,12,505.93906250000003,0.0,0.0,0.0,142.53,510.7875,759.8921875000001,22,../../data/raw_data/2025-09-10-08-43-dic1-153-t.txt
49,dic1,2025-09-10-08-08,154,t,AC,10,25,1000,1break,0.25,6,305,-10,31.444406249999986,104.93623046874994,16,12,53.306250000000006,0.0,0.0,0.0,143.026,62.159375000000004,987.9390625000001,22,../../data/raw_data/2025-09-10-08-08-dic1-154-t.txt
50,dic1,2025-09-10-08-23,154,t,DC,10,25,1000,1break,0.25,7,305,-10,31.444406249999986,104.93623046874994,16,12,53.306250000000006,0.0,0.0,0.0,143.026,62.159375000000004,987.9390625000001,22,../../data/raw_data/2025-09-10-08-23-dic1-154-t.txt
47,dic1,2025-09-10-07-41,155,t,AC,10,25,1000,no breaks,0.25,6,305,-10,34.04691406249998,108.70555078124994,16,12,53.371875,0.0,0.0,0.0,143.962,67.35000000000001,836.3937500000001,22,../../data/raw_data/2025-09-10-07-41-dic1-155-t.txt
48,dic1,2025-09-10-07-59,155,t,DC,10,25,1000,no breaks,0.25,7,305,-10,34.04691406249998,108.70555078124994,16,12,53.371875,0.0,0.0,0.0,143.962,67.35000000000001,836.3937500000001,22,../../data/raw_data/2025-09-10-07-59-dic1-155-t.txt
45,dic1,2025-09-09-12-14,156,t,AC,10,25,1000,2breaks,0.25,5,305,-10,33.66839453124999,100.98285937499995,16,12,80.9296875,0.0,0.0,0.0,144.758,85.540625,961.1265625000001,22,../../data/raw_data/2025-09-09-12-14-dic1-156-t.txt
46,dic1,2025-09-09-12-24,156,t,DC,10,25,1000,2breaks,0.25,6,305,-10,33.66839453124999,100.98285937499995,16,12,80.9296875,0.0,0.0,0.0,144.758,85.540625,961.1265625000001,22,../../data/raw_data/2025-09-09-12-24-dic1-156-t.txt
43,dic1,2025-09-09-11-45,157,t,AC,10,25,1000,1break,0.25,6,305,-10,25.681285156249988,101.10787499999995,16,12,72.9484375,0.0,0.0,0.0,145.831,72.9484375,1046.9109375,22,../../data/raw_data/2025-09-09-11-45-dic1-157-t.txt
44,dic1,2025-09-09-12-01,157,t,DC,10,25,1000,1break,0.25,7,305,-10,25.681285156249988,101.10787499999995,16,12,72.9484375,0.0,0.0,0.0,145.831,72.9484375,1046.9109375,22,../../data/raw_data/2025-09-09-12-01-dic1-157-t.txt
41,dic1,2025-09-09-11-22,158,t,AC,10,25,1000,1break,0.25,6,305,-10,32.32249218749998,106.04748046874994,16,12,99.8984375,0.0,0.0,0.0,146.809,103.8984375,881.8078125000001,22,../../data/raw_data/2025-09-09-11-22-dic1-158-t.txt
42,dic1,2025-09-09-11-34,158,t,DC,10,25,1000,1break,0.25,7,305,-10,32.32249218749998,106.04748046874994,16,12,99.8984375,0.0,0.0,0.0,146.809,103.8984375,881.8078125000001,22,../../data/raw_data/2025-09-09-11-34-dic1-158-t.txt
39,dic1,2025-09-09-11-02,159,t,AC,10,25,1000,1break,0.25,6,305,-10,34.252296874999985,110.21020312499995,16,12,272.46875,0.0,0.0,0.0,147.598,285.3390625,747.35,22,../../data/raw_data/2025-09-09-11-02-dic1-159-t.txt
40,dic1,2025-09-09-11-11,159,t,DC,10,25,1000,1break,0.25,7,305,-10,34.252296874999985,110.21020312499995,16,12,272.46875,0.0,0.0,0.0,147.598,285.3390625,747.35,22,../../data/raw_data/2025-09-09-11-11-dic1-159-t.txt
