ECM File Output,,,,,
Filename (includes date): 2025-09-08-08-19-dic13-174.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: 3breaks, top 3cm broke off prescan,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 34.162007812499986,,,,,
Y Right: 105.23587109374995,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 77.415625,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 84.415625,,,,,
X max Position (raw - not laser corrected): 959.4125,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
50.162,0.0,0.0,2.0596866666666667e-08,--,na
50.162,0.25,0.0,2.15535e-08,--,na
50.162,0.5,0.0,2.29334e-08,--,na
50.162,0.75,0.0,2.43076e-08,--,na
50.162,1.0,0.0,2.56937e-08,--,na
50.162,1.25,0.0,2.6401800000000003e-08,--,na
50.162,1.5,0.0,2.8181e-08,--,na
50.162,1.75,0.0,2.916345e-08,--,na
50.162,2.0,0.0,3.10877e-08,--,na
50.162,2.25,0.0,3.1328749999999995e-08,--,na
50.162,2.5,0.0,3.23193e-08,--,na
50.162,2.75,0.0,3.33635e-08,--,na
50.162,3.0,0.0,3.4389e-08,--,na
50.162,3.25,0.0,3.544645e-08,--,na
50.162,3.5,0.0,3.678275e-08,--,na
50.162,3.75,0.0,3.773575e-08,--,na
50.162,4.0,0.0,3.84817e-08,--,na
50.162,4.25,0.0,3.92095e-08,--,na
50.162,4.5,0.0,4.065805e-08,--,na
50.162,4.75,0.0,4.045565e-08,--,na
50.162,5.0,0.0,4.21214e-08,--,na
50.162,5.25,0.0,4.50465e-08,--,na
50.162,5.5,0.0,4.284195e-08,--,na
50.162,5.75,0.0,4.38006e-08,--,na
50.162,6.0,0.0,4.4595e-08,--,na
50.162,6.25,0.0,4.47884e-08,--,na
50.162,6.5,0.0,4.39163e-08,--,na
50.162,6.75,0.0,4.582195e-08,--,na
50.162,7.0,0.0,4.60312e-08,--,na
50.162,7.25,0.0,4.58056e-08,--,na
50.162,7.5,0.0,4.69534e-08,--,na
50.162,7.75,0.0,4.75521e-08,--,na
50.162,8.0,0.0,4.80805e-08,--,na
50.162,8.25,0.0,4.7831100000000005e-08,--,na
50.162,8.5,0.0,4.824685e-08,--,na
50.162,8.75,0.0,4.9019750000000005e-08,--,na
50.162,9.0,0.0,4.8595e-08,--,na
50.162,9.25,0.0,4.60056e-08,--,na
50.162,9.5,0.0,4.9168149999999995e-08,--,na
50.162,9.75,0.0,4.953535e-08,--,na
50.162,10.0,0.0,5.03748e-08,--,na
50.162,10.25,0.0,5.0085300000000004e-08,--,na
50.162,10.5,0.0,5.0807549999999996e-08,--,na
50.162,10.75,0.0,4.987755e-08,--,na
50.162,11.0,0.0,5.02174e-08,--,na
50.162,11.25,0.0,5.01101e-08,--,na
50.162,11.5,0.0,5.108365e-08,--,na
50.162,11.75,0.0,5.10708e-08,--,na
50.162,12.0,0.0,5.05974e-08,--,na
50.162,12.25,0.0,5.12193e-08,--,na
50.162,12.5,0.0,5.12387e-08,--,na
50.162,12.75,0.0,5.15049e-08,--,na
50.162,13.0,0.0,5.18312e-08,--,na
50.162,13.25,0.0,5.2521349999999997e-08,--,na
50.162,13.5,0.0,5.232765e-08,--,na
50.162,13.75,0.0,5.22124e-08,--,na
50.162,14.0,0.0,5.2386150000000005e-08,--,na
50.162,14.25,0.0,5.297835e-08,--,na
50.162,14.5,0.0,5.27737e-08,--,na
50.162,14.75,0.0,5.288535e-08,--,na
50.162,15.0,0.0,5.30568e-08,--,na
50.162,15.25,0.0,5.204915e-08,--,na
50.162,15.5,0.0,5.393305e-08,--,na
50.162,15.75,0.0,5.45259e-08,--,na
50.162,16.0,0.0,5.334085e-08,--,na
50.162,16.25,0.0,5.345375e-08,--,na
50.162,16.5,0.0,5.34941e-08,--,na
50.162,16.75,0.0,5.336445e-08,--,na
50.162,17.0,0.0,5.33482e-08,--,na
50.162,17.25,0.0,5.3227099999999996e-08,--,na
50.162,17.5,0.0,5.31601e-08,--,na
50.162,17.75,0.0,5.40755e-08,--,na
50.162,18.0,0.0,5.302295e-08,--,na
50.162,18.25,0.0,5.279e-08,--,na
50.162,18.5,0.0,5.22657e-08,--,na
50.162,18.75,0.0,5.23726e-08,--,na
50.162,19.0,0.0,5.180365e-08,--,na
50.162,19.25,0.0,5.2333849999999996e-08,--,na
50.162,19.5,0.0,5.23459e-08,--,na
50.162,19.75,0.0,5.11665e-08,--,na
50.162,20.0,0.0,5.17063e-08,--,na
50.162,20.25,0.0,5.1143250000000004e-08,--,na
50.162,20.5,0.0,5.019975e-08,--,na
50.162,20.75,0.0,5.12984e-08,--,na
50.162,21.0,0.0,5.080455e-08,--,na
50.162,21.25,0.0,4.967915e-08,--,na
50.162,21.5,0.0,4.97844e-08,--,na
50.162,21.75,0.0,4.92883e-08,--,na
50.162,22.0,0.0,4.88302e-08,--,na
50.162,22.25,0.0,4.900935e-08,--,na
50.162,22.5,0.0,4.830915e-08,--,na
50.162,22.75,0.0,4.83321e-08,--,na
50.162,23.0,0.0,4.836475e-08,--,na
50.162,23.25,0.0,4.8147300000000004e-08,--,na
50.162,23.5,0.0,4.68986e-08,--,na
50.162,23.75,0.0,4.77985e-08,--,na
50.162,24.0,0.0,4.89162e-08,--,na
50.162,24.25,0.0,4.72397e-08,--,na
