ECM File Output,,,,,
Filename (includes date): 2025-09-08-10-32-dic13-170.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: 2breaks, crater on bottom piece,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 33.41241015624998,,,,,
Y Right: 106.94491406249993,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 178.7359375,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 188.7359375,,,,,
X max Position (raw - not laser corrected): 945.5078125,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
49.412,0.0,0.0,1.96136e-08,--,na
49.412,0.25,0.0,2.014905e-08,--,na
49.412,0.5,0.0,1.968525e-08,--,na
49.412,0.75,0.0,2.08567e-08,--,na
49.412,1.0,0.0,2.15029e-08,--,na
49.412,1.25,0.0,2.14288e-08,--,na
49.412,1.5,0.0,2.147685e-08,--,na
49.412,1.75,0.0,2.17658e-08,--,na
49.412,2.0,0.0,2.2165199999999998e-08,--,na
49.412,2.25,0.0,2.2476500000000003e-08,--,na
49.412,2.5,0.0,2.2641749999999998e-08,--,na
49.412,2.75,0.0,2.30404e-08,--,na
49.412,3.0,0.0,2.29412e-08,--,na
49.412,3.25,0.0,2.353815e-08,--,na
49.412,3.5,0.0,2.40817e-08,--,na
49.412,3.75,0.0,2.44789e-08,--,na
49.412,4.0,0.0,2.4465299999999997e-08,--,na
49.412,4.25,0.0,2.5004249999999997e-08,--,na
49.412,4.5,0.0,2.50903e-08,--,na
49.412,4.75,0.0,2.52802e-08,--,na
49.412,5.0,0.0,2.51611e-08,--,na
49.412,5.25,0.0,2.597465e-08,--,na
49.412,5.5,0.0,2.639095e-08,--,na
49.412,5.75,0.0,2.69274e-08,--,na
49.412,6.0,0.0,2.70485e-08,--,na
49.412,6.25,0.0,2.738415e-08,--,na
49.412,6.5,0.0,2.82506e-08,--,na
49.412,6.75,0.0,2.77603e-08,--,na
49.412,7.0,0.0,2.756105e-08,--,na
49.412,7.25,0.0,2.80685e-08,--,na
49.412,7.5,0.0,2.89403e-08,--,na
49.412,7.75,0.0,2.921705e-08,--,na
49.412,8.0,0.0,2.935915e-08,--,na
49.412,8.25,0.0,2.97459e-08,--,na
49.412,8.5,0.0,3.030605e-08,--,na
49.412,8.75,0.0,3.08668e-08,--,na
49.412,9.0,0.0,3.071915e-08,--,na
49.412,9.25,0.0,3.0975e-08,--,na
49.412,9.5,0.0,3.2057e-08,--,na
49.412,9.75,0.0,3.238565e-08,--,na
49.412,10.0,0.0,3.243935e-08,--,na
49.412,10.25,0.0,3.30566e-08,--,na
49.412,10.5,0.0,3.4046e-08,--,na
49.412,10.75,0.0,3.372465e-08,--,na
49.412,11.0,0.0,3.3727999999999996e-08,--,na
49.412,11.25,0.0,3.446195e-08,--,na
49.412,11.5,0.0,3.53429e-08,--,na
49.412,11.75,0.0,3.551175e-08,--,na
49.412,12.0,0.0,3.5924e-08,--,na
49.412,12.25,0.0,3.6136e-08,--,na
49.412,12.5,0.0,3.63247e-08,--,na
49.412,12.75,0.0,3.6729349999999997e-08,--,na
49.412,13.0,0.0,3.727845e-08,--,na
49.412,13.25,0.0,3.773625e-08,--,na
49.412,13.5,0.0,3.86879e-08,--,na
49.412,13.75,0.0,3.90382e-08,--,na
49.412,14.0,0.0,3.91678e-08,--,na
49.412,14.25,0.0,3.96605e-08,--,na
49.412,14.5,0.0,3.88635e-08,--,na
49.412,14.75,0.0,3.988335e-08,--,na
49.412,15.0,0.0,3.991455e-08,--,na
49.412,15.25,0.0,4.0177500000000004e-08,--,na
49.412,15.5,0.0,4.05315e-08,--,na
49.412,15.75,0.0,4.079145e-08,--,na
49.412,16.0,0.0,4.1125799999999996e-08,--,na
49.412,16.25,0.0,4.15066e-08,--,na
49.412,16.5,0.0,4.1454e-08,--,na
49.412,16.75,0.0,4.11004e-08,--,na
49.412,17.0,0.0,4.09263e-08,--,na
49.412,17.25,0.0,4.1274249999999997e-08,--,na
49.412,17.5,0.0,4.1607e-08,--,na
49.412,17.75,0.0,4.17357e-08,--,na
49.412,18.0,0.0,4.137805e-08,--,na
49.412,18.25,0.0,4.074765e-08,--,na
49.412,18.5,0.0,4.18743e-08,--,na
49.412,18.75,0.0,4.1605999999999995e-08,--,na
49.412,19.0,0.0,4.140115e-08,--,na
49.412,19.25,0.0,4.05672e-08,--,na
49.412,19.5,0.0,4.1232050000000004e-08,--,na
49.412,19.75,0.0,4.11696e-08,--,na
49.412,20.0,0.0,4.08202e-08,--,na
49.412,20.25,0.0,4.055585e-08,--,na
49.412,20.5,0.0,4.13225e-08,--,na
49.412,20.75,0.0,4.045145e-08,--,na
49.412,21.0,0.0,3.9851949999999996e-08,--,na
49.412,21.25,0.0,4.0286499999999995e-08,--,na
49.412,21.5,0.0,3.98082e-08,--,na
49.412,21.75,0.0,4.1609600000000005e-08,--,na
49.412,22.0,0.0,3.97458e-08,--,na
49.412,22.25,0.0,3.959525e-08,--,na
49.412,22.5,0.0,4.01279e-08,--,na
49.412,22.75,0.0,3.947565e-08,--,na
49.412,23.0,0.0,3.90179e-08,--,na
49.412,23.25,0.0,3.90615e-08,--,na
49.412,23.5,0.0,3.87626e-08,--,na
49.412,23.75,0.0,3.86921e-08,--,na
49.412,24.0,0.0,3.869235e-08,--,na
49.412,24.25,0.0,3.829195e-08,--,na
