ECM File Output,,,,,
Filename (includes date): 2025-09-08-12-00-dic1-168.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: 1piece, left out bad top 22cm and bottom 26.5cm pre scan,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 32.43014453124998,,,,,
Y Right: 103.57991015624994,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 254.05937500000002,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 254.05937500000002,,,,,
X max Position (raw - not laser corrected): 730.3453125000001,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
48.43,0.0,0.0,2.45597e-08,--,na
48.43,0.25,0.0,2.45095e-08,--,na
48.43,0.5,0.0,2.50397e-08,--,na
48.43,0.75,0.0,2.61433e-08,--,na
48.43,1.0,0.0,2.51001e-08,--,na
48.43,1.25,0.0,2.500555e-08,--,na
48.43,1.5,0.0,2.24177e-08,--,na
48.43,1.75,0.0,2.79956e-08,--,na
48.43,2.0,0.0,2.96426e-08,--,na
48.43,2.25,0.0,2.9637249999999996e-08,--,na
48.43,2.5,0.0,2.86904e-08,--,na
48.43,2.75,0.0,2.888895e-08,--,na
48.43,3.0,0.0,3.05051e-08,--,na
48.43,3.25,0.0,3.1379799999999996e-08,--,na
48.43,3.5,0.0,2.92216e-08,--,na
48.43,3.75,0.0,3.14078e-08,--,na
48.43,4.0,0.0,3.318435e-08,--,na
48.43,4.25,0.0,3.227705e-08,--,na
48.43,4.5,0.0,3.21651e-08,--,na
48.43,4.75,0.0,3.47001e-08,--,na
48.43,5.0,0.0,3.29218e-08,--,na
48.43,5.25,0.0,3.334335e-08,--,na
48.43,5.5,0.0,3.33842e-08,--,na
48.43,5.75,0.0,3.45463e-08,--,na
48.43,6.0,0.0,3.5315900000000005e-08,--,na
48.43,6.25,0.0,3.63264e-08,--,na
48.43,6.5,0.0,3.57424e-08,--,na
48.43,6.75,0.0,3.61978e-08,--,na
48.43,7.0,0.0,3.64668e-08,--,na
48.43,7.25,0.0,3.7150950000000004e-08,--,na
48.43,7.5,0.0,3.7886e-08,--,na
48.43,7.75,0.0,3.810165e-08,--,na
48.43,8.0,0.0,3.81218e-08,--,na
48.43,8.25,0.0,4.005025e-08,--,na
48.43,8.5,0.0,4.02908e-08,--,na
48.43,8.75,0.0,4.2172e-08,--,na
48.43,9.0,0.0,4.12101e-08,--,na
48.43,9.25,0.0,4.205925e-08,--,na
48.43,9.5,0.0,4.23297e-08,--,na
48.43,9.75,0.0,4.259395e-08,--,na
48.43,10.0,0.0,4.27449e-08,--,na
48.43,10.25,0.0,4.32005e-08,--,na
48.43,10.5,0.0,4.45867e-08,--,na
48.43,10.75,0.0,4.285995e-08,--,na
48.43,11.0,0.0,4.1487799999999996e-08,--,na
48.43,11.25,0.0,4.288765e-08,--,na
48.43,11.5,0.0,4.17649e-08,--,na
48.43,11.75,0.0,4.15845e-08,--,na
48.43,12.0,0.0,4.339435e-08,--,na
48.43,12.25,0.0,4.064175e-08,--,na
48.43,12.5,0.0,4.22645e-08,--,na
48.43,12.75,0.0,4.096265e-08,--,na
48.43,13.0,0.0,4.26119e-08,--,na
48.43,13.25,0.0,4.34707e-08,--,na
48.43,13.5,0.0,4.31924e-08,--,na
48.43,13.75,0.0,4.357035e-08,--,na
48.43,14.0,0.0,4.28843e-08,--,na
48.43,14.25,0.0,4.3062449999999997e-08,--,na
48.43,14.5,0.0,4.35777e-08,--,na
48.43,14.75,0.0,4.356975e-08,--,na
48.43,15.0,0.0,4.28756e-08,--,na
48.43,15.25,0.0,4.267445e-08,--,na
48.43,15.5,0.0,4.43242e-08,--,na
48.43,15.75,0.0,4.33265e-08,--,na
48.43,16.0,0.0,4.3405750000000005e-08,--,na
48.43,16.25,0.0,4.36043e-08,--,na
48.43,16.5,0.0,4.36863e-08,--,na
48.43,16.75,0.0,4.29357e-08,--,na
48.43,17.0,0.0,4.3218250000000004e-08,--,na
48.43,17.25,0.0,4.34571e-08,--,na
48.43,17.5,0.0,4.30696e-08,--,na
48.43,17.75,0.0,4.307865e-08,--,na
48.43,18.0,0.0,4.3990549999999995e-08,--,na
48.43,18.25,0.0,4.35684e-08,--,na
48.43,18.5,0.0,4.37538e-08,--,na
48.43,18.75,0.0,4.33429e-08,--,na
48.43,19.0,0.0,4.297305e-08,--,na
48.43,19.25,0.0,4.35426e-08,--,na
48.43,19.5,0.0,4.26483e-08,--,na
48.43,19.75,0.0,4.313435e-08,--,na
48.43,20.0,0.0,4.23101e-08,--,na
48.43,20.25,0.0,4.26508e-08,--,na
48.43,20.5,0.0,4.28175e-08,--,na
48.43,20.75,0.0,4.3563650000000006e-08,--,na
48.43,21.0,0.0,4.30906e-08,--,na
48.43,21.25,0.0,4.401435e-08,--,na
48.43,21.5,0.0,4.446615e-08,--,na
48.43,21.75,0.0,4.39796e-08,--,na
48.43,22.0,0.0,4.4962150000000004e-08,--,na
48.43,22.25,0.0,4.5037849999999995e-08,--,na
48.43,22.5,0.0,4.30466e-08,--,na
48.43,22.75,0.0,4.347015e-08,--,na
48.43,23.0,0.0,4.3013150000000004e-08,--,na
48.43,23.25,0.0,4.22882e-08,--,na
48.43,23.5,0.0,4.16805e-08,--,na
48.43,23.75,0.0,4.121455e-08,--,na
48.43,24.0,0.0,4.1237e-08,--,na
