ECM File Output,,,,,
Filename (includes date): 2025-09-08-14-24-dic13a-177.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: redo for x axis alignment, 3 breaks,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 37.366277343749985,,,,,
Y Right: 113.18230078124994,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 29.103125000000002,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 36.30625,,,,,
X max Position (raw - not laser corrected): 898.6828125000001,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
53.366,0.0,0.0,4.6317000000000004e-08,--,na
53.366,0.25,0.0,4.7615e-08,--,na
53.366,0.5,0.0,4.566105e-08,--,na
53.366,0.75,0.0,4.682805e-08,--,na
53.366,1.0,0.0,4.38499e-08,--,na
53.366,1.25,0.0,4.850665e-08,--,na
53.366,1.5,0.0,4.88894e-08,--,na
53.366,1.75,0.0,4.866335e-08,--,na
53.366,2.0,0.0,4.87223e-08,--,na
53.366,2.25,0.0,4.8309899999999995e-08,--,na
53.366,2.5,0.0,4.77986e-08,--,na
53.366,2.75,0.0,4.632315e-08,--,na
53.366,3.0,0.0,4.6582e-08,--,na
53.366,3.25,0.0,4.72814e-08,--,na
53.366,3.5,0.0,4.73775e-08,--,na
53.366,3.75,0.0,4.59467e-08,--,na
53.366,4.0,0.0,4.73627e-08,--,na
53.366,4.25,0.0,4.6532750000000004e-08,--,na
53.366,4.5,0.0,4.774695e-08,--,na
53.366,4.75,0.0,4.86211e-08,--,na
53.366,5.0,0.0,4.74117e-08,--,na
53.366,5.25,0.0,4.7560199999999995e-08,--,na
53.366,5.5,0.0,4.7056900000000004e-08,--,na
53.366,5.75,0.0,4.60795e-08,--,na
53.366,6.0,0.0,4.581095e-08,--,na
53.366,6.25,0.0,4.615715e-08,--,na
53.366,6.5,0.0,4.44074e-08,--,na
53.366,6.75,0.0,4.44999e-08,--,na
53.366,7.0,0.0,4.42304e-08,--,na
53.366,7.25,0.0,4.43222e-08,--,na
53.366,7.5,0.0,4.46891e-08,--,na
53.366,7.75,0.0,4.42999e-08,--,na
53.366,8.0,0.0,4.5162850000000004e-08,--,na
53.366,8.25,0.0,4.5653850000000005e-08,--,na
53.366,8.5,0.0,4.51377e-08,--,na
53.366,8.75,0.0,4.43345e-08,--,na
53.366,9.0,0.0,4.40588e-08,--,na
53.366,9.25,0.0,4.37074e-08,--,na
53.366,9.5,0.0,4.3958e-08,--,na
53.366,9.75,0.0,4.39305e-08,--,na
53.366,10.0,0.0,4.35551e-08,--,na
53.366,10.25,0.0,4.35541e-08,--,na
53.366,10.5,0.0,4.290805e-08,--,na
53.366,10.75,0.0,4.32932e-08,--,na
53.366,11.0,0.0,4.266625e-08,--,na
53.366,11.25,0.0,4.22973e-08,--,na
53.366,11.5,0.0,4.26314e-08,--,na
53.366,11.75,0.0,4.29248e-08,--,na
53.366,12.0,0.0,4.36754e-08,--,na
53.366,12.25,0.0,4.24846e-08,--,na
53.366,12.5,0.0,4.230195e-08,--,na
53.366,12.75,0.0,4.11994e-08,--,na
53.366,13.0,0.0,4.02048e-08,--,na
53.366,13.25,0.0,4.17131e-08,--,na
53.366,13.5,0.0,4.16134e-08,--,na
53.366,13.75,0.0,4.11045e-08,--,na
53.366,14.0,0.0,4.13057e-08,--,na
53.366,14.25,0.0,4.2263e-08,--,na
53.366,14.5,0.0,4.12711e-08,--,na
53.366,14.75,0.0,4.16572e-08,--,na
53.366,15.0,0.0,4.1304750000000005e-08,--,na
53.366,15.25,0.0,4.3091e-08,--,na
53.366,15.5,0.0,4.24118e-08,--,na
53.366,15.75,0.0,4.17168e-08,--,na
53.366,16.0,0.0,4.1253799999999996e-08,--,na
53.366,16.25,0.0,4.09866e-08,--,na
53.366,16.5,0.0,4.007255e-08,--,na
53.366,16.75,0.0,4.11221e-08,--,na
53.366,17.0,0.0,4.08078e-08,--,na
53.366,17.25,0.0,4.062545e-08,--,na
53.366,17.5,0.0,4.03218e-08,--,na
53.366,17.75,0.0,4.096965e-08,--,na
53.366,18.0,0.0,4.1098e-08,--,na
53.366,18.25,0.0,3.9934449999999997e-08,--,na
53.366,18.5,0.0,4.442105e-08,--,na
53.366,18.75,0.0,4.07747e-08,--,na
53.366,19.0,0.0,4.1010149999999996e-08,--,na
53.366,19.25,0.0,4.06415e-08,--,na
53.366,19.5,0.0,3.91608e-08,--,na
53.366,19.75,0.0,4.28102e-08,--,na
53.366,20.0,0.0,3.9419650000000006e-08,--,na
53.366,20.25,0.0,3.8575549999999996e-08,--,na
53.366,20.5,0.0,3.989e-08,--,na
53.366,20.75,0.0,3.910945e-08,--,na
53.366,21.0,0.0,3.96328e-08,--,na
53.366,21.25,0.0,3.9446499999999995e-08,--,na
53.366,21.5,0.0,3.94197e-08,--,na
53.366,21.75,0.0,3.992045e-08,--,na
53.366,22.0,0.0,3.98039e-08,--,na
53.366,22.25,0.0,3.75605e-08,--,na
53.366,22.5,0.0,4.01215e-08,--,na
53.366,22.75,0.0,4.03169e-08,--,na
53.366,23.0,0.0,3.9774050000000005e-08,--,na
53.366,23.25,0.0,3.86304e-08,--,na
53.366,23.5,0.0,3.8770849999999995e-08,--,na
53.366,23.75,0.0,4.15924e-08,--,na
53.366,24.0,0.0,3.8409750000000004e-08,--,na
