ECM File Output,,,,,
Filename (includes date): 2025-09-08-15-31-den13a-175.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: redo for x axis, 6 breaks!!!!!,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 5,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 34.887792968749984,,,,,
Y Right: 102.02862499999995,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 19.3265625,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 19.3265625,,,,,
X max Position (raw - not laser corrected): 922.0812500000001,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
50.888,0.0,0.0,1.26677e-08,--,na
50.888,0.25,0.0,1.334015e-08,--,na
50.888,0.5,0.0,1.38315e-08,--,na
50.888,0.75,0.0,1.38723e-08,--,na
50.888,1.0,0.0,1.45594e-08,--,na
50.888,1.25,0.0,1.411455e-08,--,na
50.888,1.5,0.0,1.48465e-08,--,na
50.888,1.75,0.0,1.263985e-08,--,na
50.888,2.0,0.0,1.407865e-08,--,na
50.888,2.25,0.0,1.30756e-08,--,na
50.888,2.5,0.0,1.312005e-08,--,na
50.888,2.75,0.0,1.26105e-08,--,na
50.888,3.0,0.0,1.288945e-08,--,na
50.888,3.25,0.0,1.24252e-08,--,na
50.888,3.5,0.0,1.135025e-08,--,na
50.888,3.75,0.0,1.164515e-08,--,na
50.888,4.0,0.0,1.2097100000000001e-08,--,na
50.888,4.25,0.0,1.17246e-08,--,na
50.888,4.5,0.0,1.20299e-08,--,na
50.888,4.75,0.0,1.20378e-08,--,na
50.888,5.0,0.0,1.17669e-08,--,na
50.888,5.25,0.0,1.21083e-08,--,na
50.888,5.5,0.0,1.243615e-08,--,na
50.888,5.75,0.0,1.2148800000000001e-08,--,na
50.888,6.0,0.0,1.22011e-08,--,na
50.888,6.25,0.0,1.31047e-08,--,na
50.888,6.5,0.0,1.33066e-08,--,na
50.888,6.75,0.0,1.325765e-08,--,na
50.888,7.0,0.0,1.41918e-08,--,na
50.888,7.25,0.0,1.5285e-08,--,na
50.888,7.5,0.0,1.4439550000000001e-08,--,na
50.888,7.75,0.0,1.4707e-08,--,na
50.888,8.0,0.0,1.36646e-08,--,na
50.888,8.25,0.0,1.40619e-08,--,na
50.888,8.5,0.0,1.342275e-08,--,na
50.888,8.75,0.0,1.309665e-08,--,na
50.888,9.0,0.0,1.28554e-08,--,na
50.888,9.25,0.0,1.29579e-08,--,na
50.888,9.5,0.0,1.289475e-08,--,na
50.888,9.75,0.0,1.18465e-08,--,na
50.888,10.0,0.0,1.270935e-08,--,na
50.888,10.25,0.0,1.26654e-08,--,na
50.888,10.5,0.0,1.3252549999999998e-08,--,na
50.888,10.75,0.0,1.24651e-08,--,na
50.888,11.0,0.0,1.2634400000000001e-08,--,na
50.888,11.25,0.0,1.14764e-08,--,na
50.888,11.5,0.0,1.25838e-08,--,na
50.888,11.75,0.0,1.1703e-08,--,na
50.888,12.0,0.0,1.2459400000000001e-08,--,na
50.888,12.25,0.0,1.32985e-08,--,na
50.888,12.5,0.0,1.2649e-08,--,na
50.888,12.75,0.0,1.24177e-08,--,na
50.888,13.0,0.0,1.2404049999999999e-08,--,na
50.888,13.25,0.0,1.42397e-08,--,na
50.888,13.5,0.0,1.3334900000000001e-08,--,na
50.888,13.75,0.0,1.32389e-08,--,na
50.888,14.0,0.0,1.33294e-08,--,na
50.888,14.25,0.0,1.32795e-08,--,na
50.888,14.5,0.0,1.585455e-08,--,na
50.888,14.75,0.0,1.366325e-08,--,na
50.888,15.0,0.0,1.426495e-08,--,na
50.888,15.25,0.0,1.51196e-08,--,na
50.888,15.5,0.0,1.31712e-08,--,na
50.888,15.75,0.0,1.552825e-08,--,na
50.888,16.0,0.0,1.3603849999999999e-08,--,na
50.888,16.25,0.0,1.38906e-08,--,na
50.888,16.5,0.0,1.39361e-08,--,na
50.888,16.75,0.0,1.3810299999999999e-08,--,na
50.888,17.0,0.0,1.40252e-08,--,na
50.888,17.25,0.0,1.14982e-08,--,na
50.888,17.5,0.0,8.749179999999999e-09,--,na
50.888,17.75,0.0,7.989925e-09,--,na
50.888,18.0,0.0,8.682995e-09,--,na
50.888,18.25,0.0,8.73697e-09,--,na
50.888,18.5,0.0,9.16956e-09,--,na
50.888,18.75,0.0,8.757375e-09,--,na
50.888,19.0,0.0,8.1309e-09,--,na
50.888,19.25,0.0,7.69093e-09,--,na
50.888,19.5,0.0,8.723030000000001e-09,--,na
50.888,19.75,0.0,8.173085e-09,--,na
50.888,20.0,0.0,9.69667e-09,--,na
50.888,20.25,0.0,8.268340000000001e-09,--,na
50.888,20.5,0.0,6.4825599999999996e-09,--,na
50.888,20.75,0.0,8.71375e-09,--,na
50.888,21.0,0.0,7.827135000000001e-09,--,na
50.888,21.25,0.0,6.62654e-09,--,na
50.888,21.5,0.0,6.8609949999999994e-09,--,na
50.888,21.75,0.0,7.19084e-09,--,na
50.888,22.0,0.0,6.06647e-09,--,na
50.888,22.25,0.0,6.96943e-09,--,na
50.888,22.5,0.0,6.61999e-09,--,na
50.888,22.75,0.0,6.83977e-09,--,na
50.888,23.0,0.0,6.8789e-09,--,na
50.888,23.25,0.0,6.188385e-09,--,na
50.888,23.5,0.0,6.544255e-09,--,na
50.888,23.75,0.0,6.67228e-09,--,na
50.888,24.0,0.0,6.56476e-09,--,na
50.888,24.25,0.0,5.26222e-09,--,na
50.888,24.5,0.0,6.068305e-09,--,na
50.888,24.75,0.0,6.05797e-09,--,na
50.888,25.0,0.0,3.79993e-09,--,na
50.888,25.25,0.0,4.662185e-09,--,na
50.888,25.5,0.0,5.3606100000000006e-09,--,na
50.888,25.75,0.0,5.69278e-09,--,na
50.888,26.0,0.0,6.75973e-09,--,na
50.888,26.25,0.0,7.860715e-09,--,na
50.888,26.5,0.0,7.160285e-09,--,na
50.888,26.75,0.0,6.974575e-09,--,na
50.888,27.0,0.0,7.4153e-09,--,na
50.888,27.25,0.0,8.22632e-09,--,na
50.888,27.5,0.0,8.62958e-09,--,na
