ECM File Output,,,,,
Filename (includes date): 2025-09-09-10-07-dic-161.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: 1break, took the two good sections in middle for scan, left out junk above and below,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 28.034753906249986,,,,,
Y Right: 102.18092578124994,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 130.5625,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 133.553125,,,,,
X max Position (raw - not laser corrected): 803.0359375,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
44.035,0.0,0.0,3.89444e-08,--,na
44.035,0.25,0.0,3.8793999999999997e-08,--,na
44.035,0.5,0.0,3.89663e-08,--,na
44.035,0.75,0.0,3.89873e-08,--,na
44.035,1.0,0.0,3.887425e-08,--,na
44.035,1.25,0.0,4.03057e-08,--,na
44.035,1.5,0.0,3.9937900000000005e-08,--,na
44.035,1.75,0.0,4.28921e-08,--,na
44.035,2.0,0.0,4.23745e-08,--,na
44.035,2.25,0.0,4.33956e-08,--,na
44.035,2.5,0.0,4.425435e-08,--,na
44.035,2.75,0.0,4.4953000000000006e-08,--,na
44.035,3.0,0.0,4.48372e-08,--,na
44.035,3.25,0.0,4.54914e-08,--,na
44.035,3.5,0.0,4.5719e-08,--,na
44.035,3.75,0.0,4.5744e-08,--,na
44.035,4.0,0.0,4.56742e-08,--,na
44.035,4.25,0.0,4.57204e-08,--,na
44.035,4.5,0.0,4.564775e-08,--,na
44.035,4.75,0.0,4.55853e-08,--,na
44.035,5.0,0.0,4.56204e-08,--,na
44.035,5.25,0.0,4.572e-08,--,na
44.035,5.5,0.0,4.609625e-08,--,na
44.035,5.75,0.0,4.70423e-08,--,na
44.035,6.0,0.0,4.6008349999999997e-08,--,na
44.035,6.25,0.0,4.64577e-08,--,na
44.035,6.5,0.0,4.645135e-08,--,na
44.035,6.75,0.0,4.67849e-08,--,na
44.035,7.0,0.0,4.70112e-08,--,na
44.035,7.25,0.0,4.73747e-08,--,na
44.035,7.5,0.0,4.68883e-08,--,na
44.035,7.75,0.0,4.700835e-08,--,na
44.035,8.0,0.0,4.70177e-08,--,na
44.035,8.25,0.0,4.82609e-08,--,na
44.035,8.5,0.0,4.75615e-08,--,na
44.035,8.75,0.0,4.737665e-08,--,na
44.035,9.0,0.0,4.6964349999999995e-08,--,na
44.035,9.25,0.0,4.90132e-08,--,na
44.035,9.5,0.0,4.8869199999999997e-08,--,na
44.035,9.75,0.0,4.82001e-08,--,na
44.035,10.0,0.0,4.89534e-08,--,na
44.035,10.25,0.0,4.91387e-08,--,na
44.035,10.5,0.0,4.8547000000000005e-08,--,na
44.035,10.75,0.0,4.9480850000000003e-08,--,na
44.035,11.0,0.0,5.0028e-08,--,na
44.035,11.25,0.0,4.94877e-08,--,na
44.035,11.5,0.0,4.91981e-08,--,na
44.035,11.75,0.0,5.0270100000000005e-08,--,na
44.035,12.0,0.0,5.03646e-08,--,na
44.035,12.25,0.0,5.07815e-08,--,na
44.035,12.5,0.0,5.17883e-08,--,na
44.035,12.75,0.0,5.10327e-08,--,na
44.035,13.0,0.0,5.16561e-08,--,na
44.035,13.25,0.0,5.2361e-08,--,na
44.035,13.5,0.0,5.2149450000000004e-08,--,na
44.035,13.75,0.0,5.22215e-08,--,na
44.035,14.0,0.0,5.2558399999999995e-08,--,na
44.035,14.25,0.0,5.41472e-08,--,na
44.035,14.5,0.0,5.3783e-08,--,na
44.035,14.75,0.0,5.32326e-08,--,na
44.035,15.0,0.0,5.36417e-08,--,na
44.035,15.25,0.0,5.32605e-08,--,na
44.035,15.5,0.0,5.3327e-08,--,na
44.035,15.75,0.0,5.3085099999999994e-08,--,na
44.035,16.0,0.0,5.318525e-08,--,na
44.035,16.25,0.0,5.23747e-08,--,na
44.035,16.5,0.0,5.237e-08,--,na
44.035,16.75,0.0,5.2749949999999996e-08,--,na
44.035,17.0,0.0,5.26952e-08,--,na
44.035,17.25,0.0,5.24773e-08,--,na
44.035,17.5,0.0,5.28382e-08,--,na
44.035,17.75,0.0,5.19167e-08,--,na
44.035,18.0,0.0,5.18966e-08,--,na
44.035,18.25,0.0,5.18329e-08,--,na
44.035,18.5,0.0,5.16197e-08,--,na
44.035,18.75,0.0,5.117715e-08,--,na
44.035,19.0,0.0,5.19987e-08,--,na
44.035,19.25,0.0,5.0133249999999997e-08,--,na
44.035,19.5,0.0,5.005655e-08,--,na
44.035,19.75,0.0,4.98788e-08,--,na
44.035,20.0,0.0,4.97097e-08,--,na
44.035,20.25,0.0,4.9965049999999994e-08,--,na
44.035,20.5,0.0,4.82929e-08,--,na
44.035,20.75,0.0,4.86208e-08,--,na
44.035,21.0,0.0,4.76114e-08,--,na
44.035,21.25,0.0,4.70201e-08,--,na
44.035,21.5,0.0,4.790875e-08,--,na
44.035,21.75,0.0,4.6664e-08,--,na
44.035,22.0,0.0,4.61589e-08,--,na
44.035,22.25,0.0,4.65081e-08,--,na
44.035,22.5,0.0,4.60094e-08,--,na
44.035,22.75,0.0,4.54632e-08,--,na
44.035,23.0,0.0,4.510815e-08,--,na
44.035,23.25,0.0,4.49952e-08,--,na
44.035,23.5,0.0,4.461845e-08,--,na
44.035,23.75,0.0,4.401425e-08,--,na
44.035,24.0,0.0,4.32103e-08,--,na
44.035,24.25,0.0,4.358485e-08,--,na
