ECM File Output,,,,,
Filename (includes date): 2025-09-11-11-45-dic-182.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: bottom 17cm of core, rest small chunks,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 29.624734374999985,,,,,
Y Right: 102.76234765624994,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 397.296875,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 400.296875,,,,,
X max Position (raw - not laser corrected): 566.2375000000001,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
45.625,0.0,0.0,2.18222e-08,--,na
45.625,0.25,0.0,2.1976499999999998e-08,--,na
45.625,0.5,0.0,2.1801200000000002e-08,--,na
45.625,0.75,0.0,2.18273e-08,--,na
45.625,1.0,0.0,2.16859e-08,--,na
45.625,1.25,0.0,2.1745150000000002e-08,--,na
45.625,1.5,0.0,2.34314e-08,--,na
45.625,1.75,0.0,2.61374e-08,--,na
45.625,2.0,0.0,2.72951e-08,--,na
45.625,2.25,0.0,2.8677550000000003e-08,--,na
45.625,2.5,0.0,3.06904e-08,--,na
45.625,2.75,0.0,3.3228100000000004e-08,--,na
45.625,3.0,0.0,3.45883e-08,--,na
45.625,3.25,0.0,3.659765e-08,--,na
45.625,3.5,0.0,3.8962e-08,--,na
45.625,3.75,0.0,4.114895e-08,--,na
45.625,4.0,0.0,4.31565e-08,--,na
45.625,4.25,0.0,4.533815e-08,--,na
45.625,4.5,0.0,4.71251e-08,--,na
45.625,4.75,0.0,4.944225e-08,--,na
45.625,5.0,0.0,5.229185e-08,--,na
45.625,5.25,0.0,5.36638e-08,--,na
45.625,5.5,0.0,5.51375e-08,--,na
45.625,5.75,0.0,5.74032e-08,--,na
45.625,6.0,0.0,6.01878e-08,--,na
45.625,6.25,0.0,6.19384e-08,--,na
45.625,6.5,0.0,6.26077e-08,--,na
45.625,6.75,0.0,6.464940000000001e-08,--,na
45.625,7.0,0.0,6.609275e-08,--,na
45.625,7.25,0.0,6.72303e-08,--,na
45.625,7.5,0.0,6.84154e-08,--,na
45.625,7.75,0.0,6.922655e-08,--,na
45.625,8.0,0.0,7.01318e-08,--,na
45.625,8.25,0.0,7.105835e-08,--,na
45.625,8.5,0.0,7.25634e-08,--,na
45.625,8.75,0.0,7.294345e-08,--,na
45.625,9.0,0.0,7.4514e-08,--,na
45.625,9.25,0.0,7.413725e-08,--,na
45.625,9.5,0.0,7.51486e-08,--,na
45.625,9.75,0.0,7.594740000000001e-08,--,na
45.625,10.0,0.0,7.5841e-08,--,na
45.625,10.25,0.0,7.590310000000001e-08,--,na
45.625,10.5,0.0,7.58838e-08,--,na
45.625,10.75,0.0,7.594670000000001e-08,--,na
45.625,11.0,0.0,7.60402e-08,--,na
45.625,11.25,0.0,7.65114e-08,--,na
45.625,11.5,0.0,7.72715e-08,--,na
45.625,11.75,0.0,7.74927e-08,--,na
45.625,12.0,0.0,7.773735e-08,--,na
45.625,12.25,0.0,7.83259e-08,--,na
45.625,12.5,0.0,7.80961e-08,--,na
45.625,12.75,0.0,7.734125e-08,--,na
45.625,13.0,0.0,7.76586e-08,--,na
45.625,13.25,0.0,7.717635e-08,--,na
45.625,13.5,0.0,7.70882e-08,--,na
45.625,13.75,0.0,7.672285e-08,--,na
45.625,14.0,0.0,7.69127e-08,--,na
45.625,14.25,0.0,7.687660000000001e-08,--,na
45.625,14.5,0.0,7.63634e-08,--,na
45.625,14.75,0.0,7.602485e-08,--,na
45.625,15.0,0.0,7.551435e-08,--,na
45.625,15.25,0.0,7.53302e-08,--,na
45.625,15.5,0.0,7.447589999999999e-08,--,na
45.625,15.75,0.0,7.42696e-08,--,na
45.625,16.0,0.0,7.398910000000001e-08,--,na
45.625,16.25,0.0,7.370945e-08,--,na
45.625,16.5,0.0,7.25875e-08,--,na
45.625,16.75,0.0,7.23113e-08,--,na
45.625,17.0,0.0,7.157719999999999e-08,--,na
45.625,17.25,0.0,7.088955e-08,--,na
45.625,17.5,0.0,7.08116e-08,--,na
45.625,17.75,0.0,7.057405e-08,--,na
45.625,18.0,0.0,6.99504e-08,--,na
45.625,18.25,0.0,6.959065e-08,--,na
45.625,18.5,0.0,6.8698e-08,--,na
45.625,18.75,0.0,6.85138e-08,--,na
45.625,19.0,0.0,6.756e-08,--,na
45.625,19.25,0.0,6.66799e-08,--,na
45.625,19.5,0.0,6.610890000000001e-08,--,na
45.625,19.75,0.0,6.51909e-08,--,na
45.625,20.0,0.0,6.516499999999999e-08,--,na
45.625,20.25,0.0,6.379715e-08,--,na
45.625,20.5,0.0,6.36533e-08,--,na
45.625,20.75,0.0,6.312654999999999e-08,--,na
45.625,21.0,0.0,6.205319999999999e-08,--,na
45.625,21.25,0.0,6.11963e-08,--,na
45.625,21.5,0.0,6.07441e-08,--,na
45.625,21.75,0.0,6.01378e-08,--,na
45.625,22.0,0.0,5.98526e-08,--,na
45.625,22.25,0.0,5.85451e-08,--,na
45.625,22.5,0.0,5.852305e-08,--,na
45.625,22.75,0.0,5.7719099999999994e-08,--,na
45.625,23.0,0.0,5.7603e-08,--,na
45.625,23.25,0.0,5.7531e-08,--,na
45.625,23.5,0.0,5.714755e-08,--,na
45.625,23.75,0.0,5.66796e-08,--,na
45.625,24.0,0.0,5.62331e-08,--,na
45.625,24.25,0.0,5.55973e-08,--,na
