ECM File Output,,,,,
Filename (includes date): 2025-09-12-09-33-dic-190.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: no breaks,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 35.38140624999998,,,,,
Y Right: 103.42264843749994,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 321.175,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 329.64375,,,,,
X max Position (raw - not laser corrected): 462.16093750000005,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
51.381,0.0,0.0,5.576606666666667e-08,--,na
51.381,0.25,0.0,5.568215e-08,--,na
51.381,0.5,0.0,5.5763649999999997e-08,--,na
51.381,0.75,0.0,5.5862e-08,--,na
51.381,1.0,0.0,5.61069e-08,--,na
51.381,1.25,0.0,5.822425e-08,--,na
51.381,1.5,0.0,6.00955e-08,--,na
51.381,1.75,0.0,6.11152e-08,--,na
51.381,2.0,0.0,6.18749e-08,--,na
51.381,2.25,0.0,6.3554e-08,--,na
51.381,2.5,0.0,6.49491e-08,--,na
51.381,2.75,0.0,6.54047e-08,--,na
51.381,3.0,0.0,6.58194e-08,--,na
51.381,3.25,0.0,6.63145e-08,--,na
51.381,3.5,0.0,6.597519999999999e-08,--,na
51.381,3.75,0.0,6.637765e-08,--,na
51.381,4.0,0.0,6.6138e-08,--,na
51.381,4.25,0.0,6.625845e-08,--,na
51.381,4.5,0.0,6.61894e-08,--,na
51.381,4.75,0.0,6.67889e-08,--,na
51.381,5.0,0.0,6.641649999999999e-08,--,na
51.381,5.25,0.0,6.654294999999999e-08,--,na
51.381,5.5,0.0,6.662395e-08,--,na
51.381,5.75,0.0,6.58455e-08,--,na
51.381,6.0,0.0,6.57033e-08,--,na
51.381,6.25,0.0,6.510545e-08,--,na
51.381,6.5,0.0,6.490315e-08,--,na
51.381,6.75,0.0,6.46272e-08,--,na
51.381,7.0,0.0,6.445e-08,--,na
51.381,7.25,0.0,6.460054999999999e-08,--,na
51.381,7.5,0.0,6.43913e-08,--,na
51.381,7.75,0.0,6.37004e-08,--,na
51.381,8.0,0.0,6.32029e-08,--,na
51.381,8.25,0.0,6.25352e-08,--,na
51.381,8.5,0.0,6.13901e-08,--,na
51.381,8.75,0.0,6.09838e-08,--,na
51.381,9.0,0.0,6.064005e-08,--,na
51.381,9.25,0.0,6.03351e-08,--,na
51.381,9.5,0.0,6.06804e-08,--,na
51.381,9.75,0.0,6.03215e-08,--,na
51.381,10.0,0.0,5.971505e-08,--,na
51.381,10.25,0.0,5.92281e-08,--,na
51.381,10.5,0.0,5.8287600000000004e-08,--,na
51.381,10.75,0.0,5.73881e-08,--,na
51.381,11.0,0.0,5.6942149999999996e-08,--,na
51.381,11.25,0.0,5.69005e-08,--,na
51.381,11.5,0.0,5.64059e-08,--,na
51.381,11.75,0.0,5.63005e-08,--,na
51.381,12.0,0.0,5.5683849999999996e-08,--,na
51.381,12.25,0.0,5.524815e-08,--,na
51.381,12.5,0.0,5.5033300000000004e-08,--,na
51.381,12.75,0.0,5.3504e-08,--,na
51.381,13.0,0.0,5.39526e-08,--,na
51.381,13.25,0.0,5.3655450000000004e-08,--,na
51.381,13.5,0.0,5.3421199999999997e-08,--,na
51.381,13.75,0.0,5.29499e-08,--,na
51.381,14.0,0.0,5.289315e-08,--,na
51.381,14.25,0.0,5.30289e-08,--,na
51.381,14.5,0.0,5.316925e-08,--,na
51.381,14.75,0.0,5.30877e-08,--,na
51.381,15.0,0.0,5.23836e-08,--,na
51.381,15.25,0.0,5.216925e-08,--,na
51.381,15.5,0.0,5.18528e-08,--,na
51.381,15.75,0.0,5.19694e-08,--,na
51.381,16.0,0.0,5.20839e-08,--,na
51.381,16.25,0.0,5.249375e-08,--,na
51.381,16.5,0.0,5.20656e-08,--,na
51.381,16.75,0.0,5.2223099999999996e-08,--,na
51.381,17.0,0.0,5.234115e-08,--,na
51.381,17.25,0.0,5.2833e-08,--,na
51.381,17.5,0.0,5.24239e-08,--,na
51.381,17.75,0.0,5.27483e-08,--,na
51.381,18.0,0.0,5.27218e-08,--,na
51.381,18.25,0.0,5.28079e-08,--,na
51.381,18.5,0.0,5.3005000000000004e-08,--,na
51.381,18.75,0.0,5.36571e-08,--,na
51.381,19.0,0.0,5.402275e-08,--,na
51.381,19.25,0.0,5.41005e-08,--,na
51.381,19.5,0.0,5.414955e-08,--,na
51.381,19.75,0.0,5.44504e-08,--,na
51.381,20.0,0.0,5.5419749999999996e-08,--,na
51.381,20.25,0.0,5.493605e-08,--,na
51.381,20.5,0.0,5.4868e-08,--,na
51.381,20.75,0.0,5.54694e-08,--,na
51.381,21.0,0.0,5.604395e-08,--,na
51.381,21.25,0.0,5.5947449999999996e-08,--,na
51.381,21.5,0.0,5.61709e-08,--,na
51.381,21.75,0.0,5.61519e-08,--,na
51.381,22.0,0.0,5.6222899999999995e-08,--,na
51.381,22.25,0.0,5.65422e-08,--,na
51.381,22.5,0.0,5.65013e-08,--,na
51.381,22.75,0.0,5.692115e-08,--,na
51.381,23.0,0.0,5.69188e-08,--,na
51.381,23.25,0.0,5.72187e-08,--,na
51.381,23.5,0.0,5.696095e-08,--,na
51.381,23.75,0.0,5.74593e-08,--,na
51.381,24.0,0.0,5.7004950000000004e-08,--,na
51.381,24.25,0.0,5.721175e-08,--,na
51.381,24.5,0.0,5.76455e-08,--,na
51.381,24.75,0.0,5.69529e-08,--,na
51.381,25.0,0.0,5.6731299999999997e-08,--,na
51.381,25.25,0.0,5.638765e-08,--,na
51.381,25.5,0.0,5.64593e-08,--,na
