ECM File Output,,,,,
Filename (includes date): 2025-09-12-09-45-dic-187a.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: ,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 26.108421874999987,,,,,
Y Right: 97.83316015624995,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 312.61093750000003,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: no breaks,,,,,
X min Position (raw - not laser corrected): 323.046875,,,,,
X max Position (raw - not laser corrected): 742.0343750000001,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
42.108,0.0,0.0,1.537875e-08,--,na
42.108,0.25,0.0,1.52842e-08,--,na
42.108,0.5,0.0,1.5499e-08,--,na
42.108,0.75,0.0,1.515745e-08,--,na
42.108,1.0,0.0,1.50727e-08,--,na
42.108,1.25,0.0,1.516205e-08,--,na
42.108,1.5,0.0,1.80686e-08,--,na
42.108,1.75,0.0,1.915215e-08,--,na
42.108,2.0,0.0,2.05176e-08,--,na
42.108,2.25,0.0,2.09353e-08,--,na
42.108,2.5,0.0,2.27029e-08,--,na
42.108,2.75,0.0,2.37949e-08,--,na
42.108,3.0,0.0,2.529375e-08,--,na
42.108,3.25,0.0,2.71604e-08,--,na
42.108,3.5,0.0,2.99763e-08,--,na
42.108,3.75,0.0,2.94179e-08,--,na
42.108,4.0,0.0,3.10887e-08,--,na
42.108,4.25,0.0,3.23149e-08,--,na
42.108,4.5,0.0,3.47288e-08,--,na
42.108,4.75,0.0,3.6248900000000004e-08,--,na
42.108,5.0,0.0,3.8968999999999996e-08,--,na
42.108,5.25,0.0,4.02996e-08,--,na
42.108,5.5,0.0,4.17835e-08,--,na
42.108,5.75,0.0,4.282425e-08,--,na
42.108,6.0,0.0,4.48368e-08,--,na
42.108,6.25,0.0,4.57328e-08,--,na
42.108,6.5,0.0,4.723585e-08,--,na
42.108,6.75,0.0,5.005225e-08,--,na
42.108,7.0,0.0,5.01106e-08,--,na
42.108,7.25,0.0,5.12372e-08,--,na
42.108,7.5,0.0,5.1785349999999996e-08,--,na
42.108,7.75,0.0,5.245205e-08,--,na
42.108,8.0,0.0,5.12866e-08,--,na
42.108,8.25,0.0,5.29231e-08,--,na
42.108,8.5,0.0,5.29745e-08,--,na
42.108,8.75,0.0,5.3587749999999996e-08,--,na
42.108,9.0,0.0,5.45158e-08,--,na
42.108,9.25,0.0,5.26333e-08,--,na
42.108,9.5,0.0,5.5259000000000005e-08,--,na
42.108,9.75,0.0,5.51044e-08,--,na
42.108,10.0,0.0,5.54169e-08,--,na
42.108,10.25,0.0,5.66237e-08,--,na
42.108,10.5,0.0,5.574685e-08,--,na
42.108,10.75,0.0,5.67397e-08,--,na
42.108,11.0,0.0,5.66273e-08,--,na
42.108,11.25,0.0,5.63144e-08,--,na
42.108,11.5,0.0,5.519685e-08,--,na
42.108,11.75,0.0,5.6334e-08,--,na
42.108,12.0,0.0,5.651205e-08,--,na
42.108,12.25,0.0,5.63841e-08,--,na
42.108,12.5,0.0,5.6241999999999995e-08,--,na
42.108,12.75,0.0,5.61652e-08,--,na
42.108,13.0,0.0,5.63327e-08,--,na
42.108,13.25,0.0,5.55508e-08,--,na
42.108,13.5,0.0,5.60527e-08,--,na
42.108,13.75,0.0,5.6491950000000004e-08,--,na
42.108,14.0,0.0,5.5462199999999995e-08,--,na
42.108,14.25,0.0,5.5723e-08,--,na
42.108,14.5,0.0,5.76008e-08,--,na
42.108,14.75,0.0,5.79679e-08,--,na
42.108,15.0,0.0,5.518265e-08,--,na
42.108,15.25,0.0,5.48445e-08,--,na
42.108,15.5,0.0,5.55233e-08,--,na
42.108,15.75,0.0,5.399095e-08,--,na
42.108,16.0,0.0,5.4980999999999994e-08,--,na
42.108,16.25,0.0,5.38613e-08,--,na
42.108,16.5,0.0,5.36901e-08,--,na
42.108,16.75,0.0,5.3409e-08,--,na
42.108,17.0,0.0,5.36229e-08,--,na
42.108,17.25,0.0,4.98112e-08,--,na
42.108,17.5,0.0,5.283315e-08,--,na
42.108,17.75,0.0,5.527285e-08,--,na
