ECM File Output,,,,,
Filename (includes date): 2025-09-12-10-17-dic-187b.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: no breaks,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 32.762031249999986,,,,,
Y Right: 101.58809374999994,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 436.09062500000005,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 438.72812500000003,,,,,
X max Position (raw - not laser corrected): 676.6265625000001,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
44.762,0.0,0.0,--,2.552815e-05,na
44.762,0.0,0.0,--,-1.031571e-06,na
44.762,0.0,0.0,--,-4.455505e-07,na
44.762,0.12564502061574445,0.0,--,-1.153094e-07,na
44.762,0.3063014326817536,0.0,--,1.273002e-07,na
44.762,0.5333204609576168,0.0,--,3.169989e-07,na
44.762,0.7856283545649856,0.0,--,4.154717e-07,na
44.762,1.0750878227749348,0.0,--,9.329669e-07,na
44.762,1.419893382181932,0.0,--,7.029594e-07,na
44.762,1.808965598772009,0.0,--,9.898504e-07,na
44.762,2.242417889582573,0.0,--,1.057997e-06,na
44.762,2.6643937129353876,0.0,--,1.145745e-06,na
44.762,3.0774053586444547,0.0,--,8.831848e-07,na
44.762,3.47232489717997,0.0,--,1.098029e-06,na
44.762,3.909857953538823,0.0,--,8.412753e-07,na
44.762,4.305797346691029,0.0,--,8.485076e-07,na
44.762,4.740881450391603,0.0,--,8.920324e-07,na
44.762,5.163543098204303,0.0,--,8.320058e-07,na
44.762,5.5428736247169175,0.0,--,1.040113e-06,na
